%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1538765738230891752,13542,1538765738229803560,base_link,37.98,0.0
1538765738277033288,13543,1538765738276861000,base_link,37.98,0.0
1538765738392631016,13544,1538765738392167400,base_link,37.98,0.0
1538765738493780264,13545,1538765738493196872,base_link,37.98,0.0
1538765738592231272,13546,1538765738591322760,base_link,37.97,0.0
1538765738724161736,13547,1538765738723805384,base_link,37.97,0.0
1538765738781900776,13548,1538765738781594344,base_link,37.97,0.0
1538765738893772584,13549,1538765738893401832,base_link,37.96,0.0
1538765738987253864,13550,1538765738982219432,base_link,37.96,0.0
1538765739083912936,13551,1538765739083705832,base_link,37.96,0.0
1538765739178920712,13552,1538765739178608680,base_link,37.96,0.0
1538765739306075240,13553,1538765739305823784,base_link,37.95,0.0
1538765739373283816,13554,1538765739372779784,base_link,37.95,0.0
1538765739482545416,13555,1538765739482000264,base_link,37.95,0.0
1538765739632735528,13556,1538765739632111592,base_link,37.94,0.0
1538765739689540296,13557,1538765739689246888,base_link,37.94,0.0
1538765739794631240,13558,1538765739794458600,base_link,37.94,0.0
1538765739885556040,13559,1538765739884507560,base_link,37.94,0.0
1538765739981785960,13560,1538765739981536168,base_link,37.94,0.0
1538765740094919624,13561,1538765740094679336,base_link,37.93,0.0
1538765740198171784,13562,1538765740197374472,base_link,37.93,0.0
1538765740288387464,13563,1538765740287934024,base_link,37.93,0.0
1538765740385507208,13564,1538765740385134760,base_link,37.92,0.0
1538765740493054536,13565,1538765740490952264,base_link,37.92,0.0
1538765740589878120,13566,1538765740589404232,base_link,37.92,0.0
1538765740718960168,13567,1538765740718581736,base_link,37.92,0.0
1538765740807047240,13568,1538765740804347496,base_link,37.92,0.0
1538765740892382728,13569,1538765740892177448,base_link,37.91,0.0
1538765740999834376,13570,1538765740999498504,base_link,37.91,0.0
1538765741122042632,13571,1538765741121674760,base_link,37.91,0.0
1538765741195928104,13572,1538765741194002248,base_link,37.91,0.0
1538765741287172424,13573,1538765741284392072,base_link,37.9,0.0
1538765741404306280,13574,1538765741401208008,base_link,37.9,0.0
1538765741501159528,13575,1538765741500760040,base_link,37.9,0.0
1538765741597987112,13576,1538765741597148296,base_link,37.89,0.0
1538765741712311880,13577,1538765741711444744,base_link,37.9,0.0
1538765741836248744,13578,1538765741835938312,base_link,37.89,0.0
1538765741892940328,13579,1538765741892673192,base_link,37.89,0.0
1538765741981398056,13580,1538765741980781320,base_link,37.89,0.0
1538765742094403400,13581,1538765742093813736,base_link,37.89,0.0
1538765742199070536,13582,1538765742195610984,base_link,37.88,0.0
1538765742339309640,13583,1538765742338726856,base_link,37.88,0.0
1538765742418319400,13584,1538765742418020936,base_link,37.88,0.0
1538765742503704584,13585,1538765742503420360,base_link,37.88,0.0
1538765742602767432,13586,1538765742602180648,base_link,37.88,0.0
1538765742722229480,13587,1538765742721800200,base_link,37.87,0.0
1538765742793001224,13588,1538765742789040744,base_link,37.87,0.0
1538765742889155304,13589,1538765742888528360,base_link,37.87,0.0
1538765742978434024,13590,1538765742977712456,base_link,37.87,0.0
1538765743087594760,13591,1538765743087099624,base_link,37.87,0.0
1538765743188723304,13592,1538765743188391976,base_link,37.86,0.0
1538765743290266312,13593,1538765743289885288,base_link,37.86,0.0
1538765743390281864,13594,1538765743389857224,base_link,37.85,0.0
1538765743486339016,13595,1538765743485880776,base_link,37.85,0.0
1538765743600623656,13596,1538765743600418056,base_link,37.86,0.0
1538765743697257608,13597,1538765743696598536,base_link,37.85,0.0
1538765743800878536,13598,1538765743800327528,base_link,37.85,0.0
1538765743893867016,13599,1538765743893472232,base_link,37.85,0.0
1538765743985878344,13600,1538765743984960552,base_link,37.85,0.0
1538765744096403336,13601,1538765744095902792,base_link,37.84,0.0
1538765744211743208,13602,1538765744210956360,base_link,37.84,0.0
1538765744309765416,13603,1538765744309318216,base_link,37.84,0.0
1538765744392643496,13604,1538765744388361000,base_link,37.84,0.0
1538765744488326920,13605,1538765744483859496,base_link,37.84,0.0
1538765744591253384,13606,1538765744590537288,base_link,37.84,0.0
1538765744699689288,13607,1538765744699297992,base_link,37.83,0.0
1538765744834888776,13608,1538765744834264136,base_link,37.83,0.0
1538765744897412040,13609,1538765744896940712,base_link,37.83,0.0
1538765744978077608,13610,1538765744977753384,base_link,37.83,0.0
1538765745060696936,13611,1538765745060464456,base_link,37.82,0.0
1538765745166209096,13612,1538765745165896392,base_link,37.82,0.0
1538765745271856168,13613,1538765745271629096,base_link,37.82,0.0
1538765745415560392,13614,1538765745406846568,base_link,37.81,0.0
1538765745483810504,13615,1538765745483561032,base_link,37.82,0.0
1538765745603410696,13616,1538765745602984552,base_link,37.82,0.0
1538765745685517288,13617,1538765745685094920,base_link,37.82,0.0
1538765745781222376,13618,1538765745780732712,base_link,37.81,0.0
1538765745891369640,13619,1538765745890874408,base_link,37.81,0.0
1538765746020147400,13620,1538765746016417000,base_link,37.81,0.0
1538765746090607240,13621,1538765746090359624,base_link,37.8,0.0
1538765746190720136,13622,1538765746190488072,base_link,37.8,0.0
1538765746297542600,13623,1538765746296663368,base_link,37.8,0.0
1538765746427805032,13624,1538765746427544296,base_link,37.8,0.0
1538765746489568328,13625,1538765746489309480,base_link,37.8,0.0
1538765746609609224,13626,1538765746607516936,base_link,37.79,0.0
1538765746715048296,13627,1538765746714678504,base_link,37.79,0.0
