%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1538765738258798888,13304,1538765738255240552,NED,-5.19000005722,-6.35856056213
1538765738271640360,13305,1538765738270868808,NED,-5.19000005722,-6.35856056213
1538765738341863272,13306,1538765738340970056,NED,-2.75,-6.35856056213
1538765738376978632,13307,1538765738371802472,NED,-2.74000000954,-6.35856056213
1538765738445344776,13308,1538765738444393672,NED,-1.94999992847,-6.35856056213
1538765738489784328,13309,1538765738489270408,NED,-3.73000001907,-6.35856056213
1538765738530531848,13310,1538765738524186568,NED,-3.72000002861,-6.35856056213
1538765738573552168,13311,1538765738572509192,NED,-3.70999979973,-6.35856056213
1538765738674549832,13312,1538765738673149320,NED,-5.44000005722,-5.08291053772
1538765738757180168,13313,1538765738752223112,NED,-7.13999986649,-5.08291053772
1538765738779782664,13314,1538765738778210632,NED,-7.1299996376,-5.08291053772
1538765738811016616,13315,1538765738808056456,NED,-8.75,-5.08291053772
1538765738866316488,13316,1538765738862781832,NED,-8.73999977112,-5.08291053772
1538765738908185416,13317,1538765738906275336,NED,-10.3099994659,-5.08291053772
1538765738958649736,13318,1538765738956373768,NED,-10.3000001907,-5.08291053772
1538765739007446056,13319,1538765739005719592,NED,-11.7899999619,-5.67155504227
1538765739051837768,13320,1538765739045672200,NED,-11.779999733,-5.67155504227
1538765739100792136,13321,1538765739100057256,NED,-13.1599998474,-5.67155504227
1538765739155970888,13322,1538765739154765704,NED,-13.1599998474,-5.67155504227
1538765739279373448,13323,1538765739276837960,NED,-14.3699998856,-5.67155504227
1538765739315860424,13324,1538765739314828552,NED,-15.4499998093,-5.67155504227
1538765739352662280,13325,1538765739342693768,NED,-15.4499998093,-9.67831230164
1538765739420634952,13326,1538765739418762344,NED,-16.4200000763,-9.67831230164
1538765739456846152,13327,1538765739455921064,NED,-16.4200000763,-9.67831230164
1538765739498818504,13328,1538765739497803144,NED,-17.3099994659,-9.67831230164
1538765739553333064,13329,1538765739552211624,NED,-17.3099994659,-9.67831230164
1538765739583817000,13330,1538765739581195912,NED,-18.1000003815,-9.67831230164
1538765739640917416,13331,1538765739640077960,NED,-18.1000003815,-9.67831230164
1538765739682550728,13332,1538765739680437928,NED,-18.109998703,-9.67831230164
