%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1538765738257346600,13304,1538765738255237416,NED,23.3999996185,17.7410774231
1538765738271689864,13305,1538765738270865832,NED,22.859998703,17.7410774231
1538765738341831944,13306,1538765738340965608,NED,24.0699996948,17.7410774231
1538765738373163880,13307,1538765738371799688,NED,24.0799999237,17.7410774231
1538765738445306728,13308,1538765738444377160,NED,42.1100006104,17.7410774231
1538765738489746664,13309,1538765738489266792,NED,41.5400009155,17.7410774231
1538765738524797352,13310,1538765738524183208,NED,41.5499992371,17.7410774231
1538765738573519752,13311,1538765738572505832,NED,41.5499992371,17.7410774231
1538765738674295656,13312,1538765738673145544,NED,40.8799972534,25.6697158813
1538765738757141256,13313,1538765738752218984,NED,40.0999984741,25.6697158813
1538765738779323240,13314,1538765738778208328,NED,40.0999984741,25.6697158813
1538765738811011720,13315,1538765738808053544,NED,39.2399978638,25.6697158813
1538765738866283176,13316,1538765738862779080,NED,39.2299995422,25.6697158813
1538765738906935080,13317,1538765738906272232,NED,38.2900009155,25.6697158813
1538765738958629736,13318,1538765738956370856,NED,38.2900009155,25.6697158813
1538765739007377096,13319,1538765739005717512,NED,37.2999992371,33.7988166809
1538765739050739656,13320,1538765739045668232,NED,37.2799987793,33.7988166809
1538765739100733032,13321,1538765739100053704,NED,36.25,33.7988166809
1538765739155243912,13322,1538765739154761672,NED,36.2099990845,33.7988166809
1538765739279262568,13323,1538765739276833352,NED,35.1599998474,33.7988166809
1538765739315603016,13324,1538765739314825224,NED,34.1599998474,33.7988166809
1538765739343275208,13325,1538765739342690184,NED,34.1100006104,36.8576698303
1538765739420607944,13326,1538765739418758280,NED,32.969997406,36.8576698303
1538765739456825352,13327,1538765739455917448,NED,32.9500007629,36.8576698303
1538765739498797480,13328,1538765739497799784,NED,31.6700000763,36.8576698303
1538765739553007816,13329,1538765739552207432,NED,31.6199989319,36.8576698303
1538765739581759624,13330,1538765739581193128,NED,30.3299999237,36.8576698303
1538765739640556616,13331,1538765739640075368,NED,30.2799987793,36.8576698303
1538765739680920488,13332,1538765739680434792,NED,30.2399997711,36.8576698303
1538765739724427688,13333,1538765739722051240,NED,28.8299999237,36.8576698303
1538765739779575432,13334,1538765739777433928,NED,28.7899990082,34.9319229126
1538765739798676168,13335,1538765739798261576,NED,27.4200000763,34.9319229126
1538765739867326184,13336,1538765739866698120,NED,27.3699989319,34.9319229126
1538765739917430344,13337,1538765739916839560,NED,25.9399986267,34.9319229126
1538765739973186152,13338,1538765739972014504,NED,25.9200000763,34.9319229126
1538765740049632296,13339,1538765740045521064,NED,24.5599994659,34.9319229126
1538765740083747208,13340,1538765740083275944,NED,23.0900001526,34.9319229126
1538765740123609064,13341,1538765740122819400,NED,23.0699996948,34.9319229126
1538765740176563336,13342,1538765740174667080,NED,23.0599994659,34.9319229126
1538765740239655400,13343,1538765740237365768,NED,21.609998703,32.2278327942
1538765740279606120,13344,1538765740279021128,NED,20.1399993896,32.2278327942
1538765740319702152,13345,1538765740317212808,NED,20.1199989319,32.2278327942
1538765740372009640,13346,1538765740371235560,NED,20.0900001526,32.2278327942
1538765740447263656,13347,1538765740445619560,NED,18.5399990082,32.2278327942
1538765740475719496,13348,1538765740474968616,NED,18.5200004578,32.2278327942
1538765740550136200,13349,1538765740549158952,NED,17.0399990082,32.2278327942
1538765740569129928,13350,1538765740564251848,NED,17.0399990082,32.2278327942
1538765740648511304,13351,1538765740647134088,NED,15.7100000381,32.2278327942
1538765740711008296,13352,1538765740710222088,NED,14.5,32.2278327942
1538765740748733320,13353,1538765740744218440,NED,14.4899997711,25.0712070465
1538765740796850696,13354,1538765740795059112,NED,13.25,25.0712070465
1538765740836891528,13355,1538765740835065800,NED,13.2399997711,25.0712070465
1538765740872111784,13356,1538765740871509256,NED,13.2299995422,25.0712070465
1538765740918392840,13357,1538765740917058184,NED,12.0699996948,25.0712070465
1538765740976800680,13358,1538765740975474728,NED,12.0500001907,25.0712070465
1538765741035211400,13359,1538765741034688328,NED,10.9699993134,25.0712070465
1538765741115444840,13360,1538765741114878376,NED,9.92000007629,19.1776599884
1538765741130272392,13361,1538765741129789512,NED,9.90999984741,19.1776599884
1538765741183389448,13362,1538765741182690056,NED,9.89999961853,19.1776599884
1538765741237562952,13363,1538765741236666792,NED,9.02999973297,19.1776599884
1538765741277130088,13364,1538765741276672040,NED,9.02999973297,19.1776599884
1538765741329534120,13365,1538765741328885768,NED,8.64999961853,19.1776599884
1538765741395119784,13366,1538765741394376424,NED,7.91999959946,19.1776599884
1538765741431475848,13367,1538765741428485928,NED,7.91999959946,13.6619215012
1538765741494792328,13368,1538765741494081672,NED,7.19000005722,13.6619215012
1538765741523051272,13369,1538765741519677128,NED,7.19000005722,13.6619215012
1538765741591398088,13370,1538765741590246792,NED,6.39999961853,13.6619215012
1538765741675335688,13371,1538765741674465096,NED,6.39999961853,13.6619215012
1538765741728249160,13372,1538765741727573800,NED,5.78999996185,13.6619215012
1538765741809776520,13373,1538765741809230152,NED,5.27999973297,10.7372274399
1538765741854901640,13374,1538765741854361032,NED,5.27999973297,10.7372274399
1538765741887150728,13375,1538765741885898824,NED,5.27999973297,10.7372274399
1538765741918756264,13376,1538765741917351400,NED,7.34999990463,10.7372274399
1538765741968236872,13377,1538765741967736360,NED,7.34999990463,10.7372274399
1538765742025445992,13378,1538765742024645224,NED,7.0499997139,10.7372274399
1538765742089731240,13379,1538765742088999112,NED,7.96000003815,10.7372274399
1538765742151604232,13380,1538765742149867272,NED,7.96999979019,10.7372274399
1538765742186637096,13381,1538765742181696456,NED,7.96000003815,10.7372274399
1538765742241519176,13382,1538765742240908776,NED,7.73000001907,7.19488525391
1538765742275858184,13383,1538765742272510536,NED,7.73000001907,7.19488525391
1538765742375405416,13384,1538765742362820424,NED,12.5199995041,7.19488525391
1538765742440627496,13385,1538765742439501480,NED,12.3099994659,7.19488525391
1538765742493150664,13386,1538765742485624776,NED,12.3099994659,7.19488525391
1538765742517421736,13387,1538765742516799400,NED,12.0999994278,7.19488525391
1538765742594078568,13388,1538765742593048424,NED,16.4099998474,8.07134151459
1538765742642422472,13389,1538765742637167976,NED,16.4200000763,8.07134151459
1538765742715489832,13390,1538765742715033640,NED,16.2099990845,8.07134151459
1538765742746431880,13391,1538765742742555688,NED,16.2099990845,8.07134151459
1538765742775931432,13392,1538765742775222344,NED,16.2199993134,8.07134151459
1538765742863046632,13393,1538765742862242984,NED,18.5900001526,8.07134151459
1538765742879327496,13394,1538765742878615976,NED,18.5900001526,8.07134151459
1538765742956732840,13395,1538765742954763496,NED,18.3199996948,8.07134151459
1538765743011718888,13396,1538765743009130984,NED,26.2099990845,8.07134151459
1538765743048602728,13397,1538765743044977448,NED,26.2099990845,9.23515987396
1538765743110814920,13398,1538765743110519144,NED,25.8799991608,9.23515987396
1538765743178581256,13399,1538765743177678632,NED,25.8899993896,9.23515987396
1538765743202445192,13400,1538765743197193608,NED,25.4200000763,9.23515987396
1538765743252777864,13401,1538765743250053256,NED,25.4099998474,9.23515987396
1538765743280640712,13402,1538765743279708200,NED,25.4099998474,9.23515987396
1538765743349160680,13403,1538765743348311240,NED,30.2199993134,9.23515987396
1538765743416918760,13404,1538765743416185352,NED,29.6899986267,9.23515987396
1538765743478549320,13405,1538765743475315656,NED,29.7199993134,16.3695087433
1538765743493292264,13406,1538765743492559496,NED,39.8899993896,16.3695087433
1538765743544258152,13407,1538765743543838728,NED,39.9300003052,16.3695087433
1538765743595536840,13408,1538765743595004008,NED,39.9300003052,16.3695087433
