%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1538765738364782280,1553,1538765738364065032,,1538766435981000000,fcu
1538765738727208456,1554,1538765738726902664,,1538766436339000000,fcu
1538765739165795848,1555,1538765739165405352,,1538766436784000000,fcu
1538765739648558152,1556,1538765739648121512,,1538766437260000000,fcu
1538765740213808648,1557,1538765740213369864,,1538766437822000000,fcu
1538765740752655592,1558,1538765740751220264,,1538766438360000000,fcu
1538765741248971976,1559,1538765741248774760,,1538766438860000000,fcu
1538765741509606632,1560,1538765741509241032,,1538766439119000000,fcu
1538765742038689928,1561,1538765742038474952,,1538766439660000000,fcu
1538765742449702152,1562,1538765742449034920,,1538766440060000000,fcu
1538765742961640360,1563,1538765742960807912,,1538766440560000000,fcu
1538765743427853192,1564,1538765743427718600,,1538766441039000000,fcu
1538765743883597992,1565,1538765743882576360,,1538766441484000000,fcu
1538765744395074632,1566,1538765744394407464,,1538766442001000000,fcu
1538765744717941736,1567,1538765744717583656,,1538766442339000000,fcu
1538765745294311016,1568,1538765745293719528,,1538766442919000000,fcu
1538765745629587464,1569,1538765745629166600,,1538766443223000000,fcu
1538765746211553512,1570,1538765746210993224,,1538766443822000000,fcu
1538765746534906408,1571,1538765746534657736,,1538766444160000000,fcu
1538765746903389128,1572,1538765746902943688,,1538766444520000000,fcu
1538765747485244456,1573,1538765747484915464,,1538766445082000000,fcu
1538765747881574248,1574,1538765747881048232,,1538766445482000000,fcu
1538765748199720488,1575,1538765748199501192,,1538766445801000000,fcu
1538765748719455976,1576,1538765748719054600,,1538766446340000000,fcu
1538765749344951368,1577,1538765749344092968,,1538766446941000000,fcu
1538765749850288360,1578,1538765749849985512,,1538766447441000000,fcu
1538765750353799656,1579,1538765750353585416,,1538766447961000000,fcu
1538765750841164872,1580,1538765750840481896,,1538766448459000000,fcu
1538765751493999848,1581,1538765751493723720,,1538766449083000000,fcu
1538765751865138696,1582,1538765751864344744,,1538766449460000000,fcu
1538765752282608072,1583,1538765752282354152,,1538766449881000000,fcu
1538765752843945896,1584,1538765752842768040,,1538766450441000000,fcu
1538765753356255048,1585,1538765753355955464,,1538766450960000000,fcu
1538765753853882728,1586,1538765753853261480,,1538766451459000000,fcu
1538765754295525768,1587,1538765754295270728,,1538766451918000000,fcu
1538765754732021384,1588,1538765754731807464,,1538766452341000000,fcu
1538765755172335880,1589,1538765755171696616,,1538766452780000000,fcu
1538765755646824424,1590,1538765755644613480,,1538766453259000000,fcu
1538765756204579976,1591,1538765756204245416,,1538766453820000000,fcu
1538765756616098120,1592,1538765756615797832,,1538766454221000000,fcu
1538765756989394376,1593,1538765756989184328,,1538766454599000000,fcu
1538765757522863464,1594,1538765757522593512,,1538766455138000000,fcu
1538765757963701064,1595,1538765757963145544,,1538766455581000000,fcu
1538765758531053544,1596,1538765758530811880,,1538766456138000000,fcu
1538765758932376584,1597,1538765758930472008,,1538766456540000000,fcu
1538765759479859144,1598,1538765759479410504,,1538766457080000000,fcu
1538765759841012008,1599,1538765759840832232,,1538766457439000000,fcu
1538765760441607208,1600,1538765760439808424,,1538766458059000000,fcu
1538765760924667880,1601,1538765760924395720,,1538766458539000000,fcu
1538765761421301192,1602,1538765761421049288,,1538766459022000000,fcu
