%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1538765738595338280,3974,1538765738595101768,,0.0,18.4840316772,268,0.419999986887,417.75,-0.924056351185
1538765738977805832,3975,1538765738975936040,,0.0,18.7523021698,272,0.34999999404,417.489990234,0.0278263036162
1538765739322063656,3976,1538765739321805352,,0.0,18.8698863983,278,0.270000010729,417.029998779,0.238614171743
1538765739751071560,3977,1538765739750755208,,0.0,19.130941391,285,0.189999997616,416.0,-0.96223539114
1538765740201557832,3978,1538765740200497992,,0.0,19.4822273254,290,0.129999995232,414.369995117,-2.57228136063
1538765740729293512,3979,1538765740728862024,,0.0,20.0376605988,296,0.0799999982119,412.109985352,-3.94430708885
1538765741048168520,3980,1538765741046803976,,0.0,20.4398651123,300,0.0599999986589,410.41998291,-4.48896074295
1538765741415495144,3981,1538765741415180616,,0.0,20.8795681,304,0.0399999991059,408.639984131,-5.94372272491
1538765741768224744,3982,1538765741767791048,,0.0,21.3482074738,305,0.0399999991059,406.679992676,-5.307554245
1538765742203075976,3983,1538765742202416424,,0.0,21.8192558289,306,0.0399999991059,404.190002441,-6.01840019226
1538765742572413000,3984,1538765742571460456,,0.0,22.2950019836,307,0.0500000007451,402.130004883,-7.05747270584
1538765743032379688,3985,1538765743032005256,,0.0,22.8568668365,309,0.0500000007451,399.660003662,-5.96774816513
1538765743423164040,3986,1538765743422415816,,0.0,23.0186862946,310,0.070000000298,397.429992676,-5.8943529129
1538765743742838536,3987,1538765743742635944,,0.0,23.6032543182,312,0.0799999982119,395.709991455,-6.70402431488
1538765744180858696,3988,1538765744180462568,,0.0,23.6731967926,316,0.119999997318,393.479980469,-6.01171588898
1538765744592520232,3989,1538765744592124616,,0.0,24.375246048,325,0.280000001192,390.929992676,-7.01220178604
1538765744962822152,3990,1538765744962283432,,0.0,25.0491943359,333,0.419999986887,389.089996338,-5.72906398773
1538765745415981064,3991,1538765745415637224,,0.0,25.4851722717,344,0.540000021458,387.639984131,-4.77586078644
1538765745753882408,3992,1538765745753621448,,0.0,25.4526977539,352,0.569999992847,387.139984131,-3.87199902534
1538765746144519432,3993,1538765746144030824,,0.0,24.9791240692,359,0.600000023842,387.16998291,-1.90947973728
1538765746428485416,3994,1538765746428214696,,0.0,24.5887680054,4,0.600000023842,387.41998291,-0.332246363163
1538765746801187912,3995,1538765746800797224,,0.0,24.0090293884,12,0.600000023842,387.959991455,2.10337758064
1538765747255544904,3996,1538765747255266344,,0.0,23.3764476776,22,0.639999985695,388.440002441,1.18128311634
1538765747562238728,3997,1538765747561709832,,0.0,23.0939064026,29,0.639999985695,388.739990234,1.22097253799
1538765747999345832,3998,1538765747997019912,,0.0,22.6457767487,40,0.629999995232,389.149993896,1.05583798885
1538765748366850760,3999,1538765748366474536,,0.0,22.1798706055,49,0.660000026226,389.479980469,3.9866194725
1538765748806435912,4000,1538765748805828008,,0.0,21.9171390533,61,0.610000014305,390.16998291,1.68620741367
1538765749285225192,4001,1538765749284829096,,0.0,21.5029773712,73,0.600000023842,390.850006104,1.38725042343
1538765749711344328,4002,1538765749710843336,,0.0,21.1201381683,83,0.560000002384,391.259979248,0.631892383099
1538765750061778440,4003,1538765750059176328,,0.0,20.7690486908,92,0.560000002384,391.5,3.54716300964
1538765750513767432,4004,1538765750513211816,,0.0,20.3020572662,101,0.519999980927,391.839996338,1.44111502171
1538765750949645864,4005,1538765750949324392,,0.0,19.9645614624,110,0.509999990463,392.329986572,0.9633898139
1538765751451370728,4006,1538765751450793224,,0.0,19.6087703705,122,0.509999990463,392.429992676,-0.143934443593
1538765751797618120,4007,1538765751797370216,,0.0,19.2151889801,131,0.540000021458,392.069976807,-1.33615636826
1538765752051729352,4008,1538765752051347432,,0.0,18.8598442078,137,0.540000021458,391.769989014,-2.1528813839
1538765752487000680,4009,1538765752485978120,,0.0,18.2955493927,147,0.540000021458,391.399993896,-1.03572177887
1538765753018050280,4010,1538765753015665480,,0.0,17.7239189148,156,0.52999997139,391.25,-1.34363281727
1538765753450881384,4011,1538765753450331176,,0.0,17.3339481354,165,0.509999990463,391.199981689,0.872289001942
1538765753804422152,4012,1538765753803962792,,0.0,17.045627594,170,0.490000009537,391.350006104,-0.778612315655
1538765754079585096,4013,1538765754079172008,,0.0,16.8544025421,171,0.469999998808,391.679992676,1.79089844227
1538765754550126152,4014,1538765754549351816,,0.0,16.568857193,173,0.409999996424,392.509979248,2.06169652939
1538765754901954056,4015,1538765754900801160,,0.0,16.4415435791,175,0.379999995232,393.039978027,2.38985323906
1538765755356120840,4016,1538765755355719272,,0.0,16.275220871,176,0.370000004768,393.440002441,1.39472138882
1538765755789839560,4017,1538765755789327400,,0.0,16.0768241882,174,0.34999999404,393.809997559,1.10645723343
1538765756056458536,4018,1538765756055799144,,0.0,15.9312076569,172,0.340000003576,393.910003662,1.43228399754
1538765756538409288,4019,1538765756538136520,,0.0,15.8297262192,172,0.340000003576,393.850006104,-0.56779384613
1538765756846155656,4020,1538765756841090728,,0.0,15.7983551025,172,0.340000003576,393.799987793,0.146440058947
1538765757231235656,4021,1538765757230903720,,0.0,15.8026189804,170,0.360000014305,393.359985352,-1.01461410522
1538765757701761736,4022,1538765757701408040,,0.0,16.0259284973,167,0.389999985695,392.509979248,-1.86232554913
1538765758040726888,4023,1538765758040420840,,0.0,16.2612323761,166,0.40000000596,392.089996338,-2.40097904205
1538765758490533992,4024,1538765758490095016,,0.0,16.5115566254,164,0.419999986887,391.639984131,-2.16167664528
1538765758866752104,4025,1538765758865263624,,0.0,16.6576404572,164,0.439999997616,391.069976807,-1.72103762627
1538765759147353512,4026,1538765759147023784,,0.0,16.6904067993,165,0.460000008345,390.660003662,-1.30077660084
1538765759603077096,4027,1538765759602922088,,0.0,16.5394229889,168,0.490000009537,390.41998291,-2.16408085823
1538765759943567240,4028,1538765759943302504,,0.0,16.4264659882,174,0.519999980927,389.959991455,-0.748410344124
1538765760380362792,4029,1538765760380096072,,0.0,16.3459682465,182,0.569999992847,389.149993896,-3.03798866272
1538765760799821576,4030,1538765760790838344,,0.0,16.3422813416,189,0.600000023842,388.440002441,-1.92149400711
1538765761173632552,4031,1538765761173376616,,0.0,16.4156208038,197,0.629999995232,387.880004883,-2.07807326317
1538765761536920072,4032,1538765761536701608,,0.0,16.6319007874,205,0.649999976158,387.66998291,-2.38861322403
1538765762036503528,4033,1538765762035871400,,0.0,17.0477409363,216,0.649999976158,387.549987793,0.328661441803
1538765762479212584,4034,1538765762479036424,,0.0,17.3974533081,227,0.660000026226,387.569976807,0.276693820953
1538765762955712840,4035,1538765762955350632,,0.0,17.8159713745,238,0.660000026226,387.829986572,1.03933691978
1538765763352504648,4036,1538765763351182632,,0.0,18.181060791,248,0.639999985695,388.199981689,0.657861232758
