%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1538765738352163688,3382,1538765738351439016,,-0.883309540561,-2.3775301024,0.0,0.0,0.0,0.0
1538765738725705800,3383,1538765738725387464,,-0.890593743918,-2.37193993638,0.0,0.0,0.0,0.0
1538765739164415976,3384,1538765739163919080,,-0.907018201209,-2.3559648923,0.0,0.0,0.0,0.0
1538765739645212968,3385,1538765739644561736,,-0.923454373511,-2.32634004606,0.0,0.0,0.0,0.0
1538765740212811560,3386,1538765740212329416,,-0.924518723571,-2.2814285173,0.0,0.0,0.0,0.0
1538765740752713000,3387,1538765740751005960,,-0.927324994562,-2.25287508995,0.0,0.0,0.0,0.0
1538765741247949960,3388,1538765741247680712,,-0.912564025073,-2.22466745716,0.0,0.0,0.0,0.0
1538765741506925960,3389,1538765741506700264,,-0.900980589128,-2.21692940971,0.0,0.0,0.0,0.0
1538765742038004680,3390,1538765742037292328,,-0.855057795262,-2.19770142318,0.0,0.0,0.0,0.0
1538765742448056008,3391,1538765742447779688,,-0.833377033169,-2.19092855301,0.0,0.0,0.0,0.0
1538765742959340104,3392,1538765742959117320,,-0.809641656467,-2.18742230291,0.0,0.0,0.0,0.0
1538765743427387208,3393,1538765743427173416,,-0.770517225951,-2.1794440099,0.0,0.0,0.0,0.0
1538765743883601800,3394,1538765743880870216,,-0.737714733205,-2.17025590255,0.0,0.0,0.0,0.0
1538765744394901288,3395,1538765744393896264,,-0.679576411505,-2.15419071989,0.0,0.0,0.0,0.0
1538765744716563464,3396,1538765744716285448,,-0.633483313305,-2.14499820832,0.0,0.0,0.0,0.0
1538765745292353032,3397,1538765745292094312,,-0.539545845944,-2.13934777901,0.0,0.0,0.0,0.0
1538765745629056200,3398,1538765745626794280,,-0.487442915605,-2.13203762477,0.0,0.0,0.0,0.0
1538765746210795720,3399,1538765746207602664,,-0.388249745405,-2.12487220599,0.0,0.0,0.0,0.0
1538765746533477704,3400,1538765746533128200,,-0.36365552619,-2.1239445378,0.0,0.0,0.0,0.0
1538765746902156648,3401,1538765746898244328,,-0.329626426831,-2.1130582056,0.0,0.0,0.0,0.0
1538765747482340296,3402,1538765747481851400,,-0.24505019027,-2.09194662264,0.0,0.0,0.0,0.0
1538765747881067048,3403,1538765747880823080,,-0.175168994989,-2.073790147,0.0,0.0,0.0,0.0
1538765748198472296,3404,1538765748198013384,,-0.116652896749,-2.06797362792,0.0,0.0,0.0,0.0
1538765748718092200,3405,1538765748717544648,,-0.0458423263677,-2.06194779047,0.0,0.0,0.0,0.0
1538765749344925192,3406,1538765749343766824,,0.0189769965821,-2.07517911626,0.0,0.0,0.0,0.0
1538765749849834600,3407,1538765749849238216,,0.0334239687853,-2.08288961913,0.0,0.0,0.0,0.0
1538765750352687048,3408,1538765750352168456,,0.0319710235168,-2.10297483032,0.0,0.0,0.0,0.0
1538765750840533928,3409,1538765750839129416,,-0.0159769626182,-2.11661913109,0.0,0.0,0.0,0.0
1538765751492708936,3410,1538765751492189768,,-0.0905492806342,-2.13499158968,0.0,0.0,0.0,0.0
1538765751865156328,3411,1538765751864032872,,-0.172078967126,-2.1503999567,0.0,0.0,0.0,0.0
1538765752281269384,3412,1538765752280736136,,-0.262610927903,-2.15902227024,0.0,0.0,0.0,0.0
1538765752843388072,3413,1538765752842487464,,-0.379856745636,-2.15748992193,0.0,0.0,0.0,0.0
1538765753354659176,3414,1538765753354323752,,-0.434873228741,-2.15006428479,0.0,0.0,0.0,0.0
1538765753853150856,3415,1538765753851228648,,-0.493300290733,-2.13937732555,0.0,0.0,0.0,0.0
1538765754279947752,3416,1538765754279765416,,-0.5280842813,-2.13182100201,0.0,0.0,0.0,0.0
1538765754730793128,3417,1538765754730554920,,-0.52270231656,-2.12711083925,0.0,0.0,0.0,0.0
1538765755170569224,3418,1538765755170259080,,-0.534323639011,-2.12144543347,0.0,0.0,0.0,0.0
1538765755642050024,3419,1538765755641527752,,-0.576353408169,-2.11526068918,0.0,0.0,0.0,0.0
1538765756203251144,3420,1538765756202588360,,-0.605697504722,-2.10991948348,0.0,0.0,0.0,0.0
1538765756614884168,3421,1538765756614519624,,-0.619898954819,-2.10749869426,0.0,0.0,0.0,0.0
1538765756987757896,3422,1538765756987528328,,-0.638368350836,-2.10530042741,0.0,0.0,0.0,0.0
1538765757521149736,3423,1538765757520845320,,-0.671472662923,-2.10347428238,0.0,0.0,0.0,0.0
1538765757963556232,3424,1538765757961688008,,-0.682074377686,-2.10224330753,0.0,0.0,0.0,0.0
1538765758529557448,3425,1538765758529032264,,-0.705675794045,-2.10187820078,0.0,0.0,0.0,0.0
1538765758932497896,3426,1538765758930259560,,-0.731939820181,-2.1029992724,0.0,0.0,0.0,0.0
1538765759477930344,3427,1538765759477506312,,-0.753150205967,-2.10497213662,0.0,0.0,0.0,0.0
1538765759840709512,3428,1538765759840485768,,-0.748035313435,-2.10411094143,0.0,0.0,0.0,0.0
1538765760441599240,3429,1538765760438818248,,-0.73068524645,-2.0999044418,0.0,0.0,0.0,0.0
1538765760923470440,3430,1538765760923091240,,-0.698995154777,-2.09953820242,0.0,0.0,0.0,0.0
1538765761420377448,3431,1538765761420054312,,-0.653737656284,-2.10289334551,0.0,0.0,0.0,0.0
1538765761884223368,3432,1538765761883771208,,-0.609633139485,-2.11386997128,0.0,0.0,0.0,0.0
1538765762517073832,3433,1538765762516731496,,-0.575986194681,-2.14014567898,0.0,0.0,0.0,0.0
1538765763085225672,3434,1538765763084163720,,-0.569217964348,-2.16256523633,0.0,0.0,0.0,0.0
1538765763537455304,3435,1538765763537216808,,-0.574141101721,-2.18607904359,0.0,0.0,0.0,0.0
1538765764028907592,3436,1538765764028081064,,-0.609133829838,-2.1977224379,0.0,0.0,0.0,0.0
1538765764594316456,3437,1538765764593978856,,-0.65078244485,-2.20908241186,0.0,0.0,0.0,0.0
1538765765190450152,3438,1538765765190235784,,-0.685714690959,-2.21188105432,0.0,0.0,0.0,0.0
1538765765729153032,3439,1538765765723530984,,-0.717513541934,-2.20614234187,0.0,0.0,0.0,0.0
1538765766101711400,3440,1538765766101003880,,-0.735568881286,-2.19930430035,0.0,0.0,0.0,0.0
