%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1538767917495753671,277,1538767917493448647,NED,15.0,0.0
1538767917517084103,278,1538767917515604935,NED,15.0,0.0
1538767917564752839,279,1538767917563598471,NED,15.0,0.0
1538767917613805127,280,1538767917613355175,NED,15.0,0.0
1538767917648561831,281,1538767917646777959,NED,15.0,0.0
1538767917726961927,282,1538767917725019527,NED,15.0,0.0
1538767917780855783,283,1538767917779014247,NED,15.0,0.0
1538767917806036775,284,1538767917799272455,NED,15.0,0.0
1538767917849601607,285,1538767917849011495,NED,15.0,0.0
1538767917883435623,286,1538767917882637447,NED,15.0,0.0
1538767917960234663,287,1538767917957416647,NED,15.0,0.0
1538767918043097127,288,1538767918042347527,NED,15.0,0.0
1538767918063961543,289,1538767918063372935,NED,15.0,0.0
1538767918142319175,290,1538767918140455239,NED,15.0,0.0
1538767918165496071,291,1538767918164818535,NED,15.0,0.0
1538767918246278951,292,1538767918244105223,NED,15.0,0.0
1538767918269221543,293,1538767918266694407,NED,15.0,0.0
1538767918299452071,294,1538767918298305735,NED,15.0,0.0
1538767918349763111,295,1538767918349119047,NED,15.0,0.0
1538767918435724167,296,1538767918435242471,NED,15.0,0.0
1538767918467385447,297,1538767918465450183,NED,15.0,0.0
1538767918531533319,298,1538767918530504487,NED,15.0,0.0
1538767918554460199,299,1538767918553623367,NED,15.0,0.0
1538767918607861127,300,1538767918607229543,NED,15.0,0.0
1538767918643690695,301,1538767918642522855,NED,15.0,0.0
1538767918732464967,302,1538767918731922727,NED,15.0,0.0
1538767918814156903,303,1538767918805851079,NED,15.0,0.0
1538767918902109479,304,1538767918899854823,NED,15.0,0.0
1538767918949223975,305,1538767918947695527,NED,15.0,0.0
1538767918995863175,306,1538767918995070119,NED,15.0,0.0
1538767919045887207,307,1538767919044735335,NED,15.0,0.0
1538767919094686567,308,1538767919093819431,NED,15.0,0.0
1538767919135264775,309,1538767919131549511,NED,15.0,0.0
1538767919206944391,310,1538767919205495079,NED,15.0,0.0
1538767919259722823,311,1538767919259129575,NED,15.0,0.0
1538767919297450567,312,1538767919296542279,NED,15.0,0.0
1538767919414464839,313,1538767919411882791,NED,15.0,0.0
1538767919446227431,314,1538767919440420295,NED,15.0,0.0
1538767919482217607,315,1538767919480865255,NED,15.0,0.0
1538767919546480615,316,1538767919545792071,NED,15.0,0.0
1538767919614569287,317,1538767919610140263,NED,15.0,0.0
1538767919637184807,318,1538767919635989447,NED,15.0,0.0
1538767919677911399,319,1538767919677211687,NED,15.0,0.0
1538767919772688487,320,1538767919771368839,NED,15.0,0.0
1538767919809884519,321,1538767919801098727,NED,15.0,0.0
1538767919844396039,322,1538767919843591399,NED,15.0,0.0
1538767919890561543,323,1538767919888377287,NED,15.0,0.0
1538767919977871335,324,1538767919977254311,NED,15.0,0.0
1538767920029936167,325,1538767920029101575,NED,15.0,0.0
1538767920106895047,326,1538767920105483815,NED,15.0,0.0
1538767920151033479,327,1538767920146780615,NED,15.0,0.0
1538767920225849927,328,1538767920224882695,NED,15.0,0.0
1538767920257112071,329,1538767920256759687,NED,15.0,0.0
1538767920279486087,330,1538767920277574055,NED,15.0,0.0
1538767920324895943,331,1538767920324297959,NED,15.0,0.0
1538767920400171783,332,1538767920399803783,NED,15.0,0.0
1538767920467009351,333,1538767920465704615,NED,15.0,0.0
1538767920533621031,334,1538767920532161607,NED,15.0,0.0
1538767920574545991,335,1538767920573631367,NED,15.0,0.0
1538767920603719335,336,1538767920603219527,NED,15.0,0.0
1538767920652682823,337,1538767920649645319,NED,15.0,0.0
1538767920704510055,338,1538767920703855591,NED,15.0,0.0
1538767920788227111,339,1538767920787552391,NED,15.0,0.0
1538767920855758599,340,1538767920854681543,NED,15.0,0.0
1538767920885825159,341,1538767920885467943,NED,15.0,0.0
1538767920951201447,342,1538767920949056807,NED,15.0,0.0
1538767921034469799,343,1538767921031753351,NED,15.0,0.0
1538767921076198887,344,1538767921075243047,NED,15.0,0.0
1538767921098609479,345,1538767921098067239,NED,15.0,0.0
1538767921190742759,346,1538767921189962151,NED,15.0,0.0
1538767921265994759,347,1538767921264613671,NED,15.0,0.0
1538767921302623047,348,1538767921300397479,NED,15.0,0.0
1538767921359723783,349,1538767921359286087,NED,15.0,0.0
1538767921424997863,350,1538767921416448231,NED,15.0,0.0
1538767921449329159,351,1538767921447951111,NED,15.0,0.0
1538767921482278631,352,1538767921481779847,NED,15.0,0.0
1538767921572215047,353,1538767921571520359,NED,15.0,0.0
1538767921589219399,354,1538767921588266215,NED,15.0,0.0
1538767921642491847,355,1538767921641483015,NED,15.0,0.0
1538767921720626471,356,1538767921719556999,NED,15.0,0.0
1538767921758482247,357,1538767921758050567,NED,15.0,0.0
1538767921836115623,358,1538767921835661031,NED,15.0,0.0
1538767921862607975,359,1538767921861976295,NED,15.0,0.0
1538767921914705799,360,1538767921913806855,NED,15.0,0.0
1538767921952654247,361,1538767921952143591,NED,15.0,0.0
1538767922011978727,362,1538767922011474215,NED,15.0,0.0
1538767922043481287,363,1538767922043039559,NED,15.0,0.0
1538767922096934407,364,1538767922095905351,NED,15.0,0.0
1538767922146923239,365,1538767922146583783,NED,15.0,0.0
1538767922204983623,366,1538767922200343559,NED,15.0,0.0
1538767922243094151,367,1538767922242205031,NED,15.0,0.0
1538767922363568903,368,1538767922363016167,NED,15.0,0.0
1538767922425230151,369,1538767922422710407,NED,15.0,0.0
1538767922481036583,370,1538767922480193831,NED,15.0,0.0
1538767922492184487,371,1538767922490901415,NED,15.0,0.0
1538767922557061319,372,1538767922556447751,NED,15.0,0.0
1538767922587507559,373,1538767922586600167,NED,15.0,0.0
1538767922652581351,374,1538767922652258567,NED,15.0,0.0
1538767922685943815,375,1538767922685509447,NED,15.0,0.0
1538767922753518311,376,1538767922750689735,NED,15.0,0.0
1538767922816468455,377,1538767922814959783,NED,15.0,0.0
1538767922844652679,378,1538767922844077223,NED,15.0,0.0
1538767922884899431,379,1538767922882814343,NED,15.0,0.0
1538767922967342887,380,1538767922965236487,NED,15.0,0.0
1538767922995408679,381,1538767922992473191,NED,15.0,0.0
1538767923034850983,382,1538767923032360327,NED,15.0,0.0
1538767923071534343,383,1538767923070055143,NED,15.0,0.0
1538767923150365223,384,1538767923150025415,NED,15.0,0.0
1538767923169996967,385,1538767923169106727,NED,15.0,0.0
1538767923209629703,386,1538767923209092039,NED,15.0,0.0
