%time,field.header.seq,field.header.stamp,field.header.frame_id,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
1538767917494841415,283,1538767917489843591,NED,-64.7099990845,-2307.73120117,0.0,278
1538767917514671015,284,1538767917513150663,NED,-64.7099990845,-2307.73120117,0.0,278
1538767917562970023,285,1538767917560929607,NED,-64.7099990845,-2307.73120117,0.0,278
1538767917610390119,286,1538767917607542631,NED,-65.0599975586,-2307.73120117,0.0,276
1538767917648400359,287,1538767917644080999,NED,-65.0599975586,-2307.73120117,0.0,276
1538767917702071879,288,1538767917701222823,NED,-65.4199981689,-2289.93261719,0.0,0
1538767917780672967,289,1538767917775932583,NED,-0.280000001192,-2289.93261719,-42.2484321594,1
1538767917797952839,290,1538767917793980679,NED,-0.280000001192,-2289.93261719,-42.2484321594,1
1538767917845243591,291,1538767917843985063,NED,-0.280000001192,-2289.93261719,-42.2484321594,1
1538767917880369287,292,1538767917879033383,NED,-0.610000014305,-779.993041992,-40.2021942139,3
1538767917958772103,293,1538767917954098503,NED,-0.610000014305,-779.993041992,-40.2021942139,3
1538767918037362855,294,1538767918035744167,NED,-0.930000007153,-769.400024414,-38.1099739075,5
1538767918059872903,295,1538767918058667079,NED,-0.930000007153,-769.400024414,-38.1099739075,5
1538767918139289511,296,1538767918136537319,NED,-1.25999999046,-769.400024414,-36.052482605,7
1538767918164161223,297,1538767918161715975,NED,-1.25999999046,-769.400024414,-36.052482605,7
1538767918240914599,298,1538767918239822855,NED,-1.59999990463,-769.400024414,-34.0168762207,9
1538767918269182759,299,1538767918266403943,NED,-1.94999992847,-742.668518066,-32.0133171082,11
1538767918294177479,300,1538767918292850343,NED,-1.94999992847,-742.668518066,-32.0133171082,11
1538767918345382247,301,1538767918343186407,NED,-1.94999992847,-742.668518066,-32.0133171082,11
1538767918407736839,302,1538767918402219399,NED,-2.27999997139,-742.668518066,-30.0180587769,13
1538767918464321543,303,1538767918463186055,NED,-2.27999997139,-742.668518066,-30.0180587769,13
1538767918481459623,304,1538767918480174375,NED,-2.59999990463,-699.376098633,-28.0623588562,15
1538767918548747527,305,1538767918547087399,NED,-2.90999984741,-699.376098633,-26.1222515106,17
1538767918597888359,306,1538767918595522919,NED,-2.90999984741,-699.376098633,-26.1222515106,17
1538767918641452615,307,1538767918639147271,NED,-2.90999984741,-699.376098633,-26.1222515106,17
1538767918726104423,308,1538767918724750247,NED,-3.22000002861,-663.071044922,-24.1759395599,19
1538767918813569063,309,1538767918802324615,NED,-3.51999998093,-624.027648926,-22.2701396942,21
1538767918890182407,310,1538767918886684359,NED,-3.80999994278,-624.027648926,-20.3490371704,23
1538767918946939719,311,1538767918944102055,NED,-3.80999994278,-624.027648926,-20.3490371704,23
1538767918993783463,312,1538767918992536871,NED,-4.09999990463,-624.027648926,-18.4329681396,25
1538767919043349255,313,1538767919042576615,NED,-4.09999990463,-624.027648926,-18.4329681396,25
1538767919088939175,314,1538767919087970407,NED,-4.34999990463,-599.689697266,-16.5143203735,27
1538767919125050439,315,1538767919123226087,NED,-4.34999990463,-599.689697266,-16.5143203735,27
1538767919206629479,316,1538767919202316519,NED,-4.57999992371,-599.689697266,-14.734834671,29
1538767919255171399,317,1538767919254169351,NED,-4.76999998093,-571.638671875,-12.8423042297,31
1538767919292157831,318,1538767919286914151,NED,-4.76999998093,-571.638671875,-12.8423042297,31
1538767919406020615,319,1538767919403448263,NED,-4.92999982834,-571.638671875,-10.9358482361,33
1538767919445808647,320,1538767919438247271,NED,-4.92999982834,-571.638671875,-10.9358482361,33
1538767919477665447,321,1538767919475902279,NED,-5.03999996185,-554.51184082,-9.07461166382,34
1538767919545490439,322,1538767919541239463,NED,-5.03999996185,-554.51184082,-9.07461166382,34
1538767919608303623,323,1538767919597790055,NED,-5.11999988556,-554.51184082,-7.19826126099,36
1538767919629088135,324,1538767919627960807,NED,-5.11999988556,-554.51184082,-7.19826126099,36
1538767919676865287,325,1538767919674384775,NED,-5.13999986649,-541.425720215,-5.32337188721,38
1538767919766477927,326,1538767919765163143,NED,-5.13999986649,-541.425720215,-3.44887924194,40
1538767919800105575,327,1538767919796527655,NED,-5.13999986649,-541.425720215,-3.44887924194,40
1538767919825675015,328,1538767919825178183,NED,-5.13999986649,-541.425720215,-3.44887924194,40
1538767919886749383,329,1538767919885737959,NED,-5.07999992371,-528.948974609,-1.57975006104,42
1538767919939657895,330,1538767919936894407,NED,-5.07999992371,-528.948974609,-1.57975006104,42
1538767920000246759,331,1538767919994502119,NED,-5.0,-528.948974609,0.290424346924,44
1538767920026978535,332,1538767920026179431,NED,-5.0,-528.948974609,0.290424346924,44
1538767920100586439,333,1538767920097024775,NED,-4.85999965668,-517.545532227,2.13388824463,46
1538767920142344935,334,1538767920141316455,NED,-4.85999965668,-517.545532227,2.13388824463,46
1538767920225856423,335,1538767920224674343,NED,-4.71000003815,-517.545532227,4.00360107422,48
1538767920252922343,336,1538767920252137191,NED,-4.71000003815,-517.545532227,4.00360107422,48
1538767920279474887,337,1538767920276455911,NED,-4.53999996185,-509.769256592,5.86243438721,49
1538767920320224839,338,1538767920319186183,NED,-4.53999996185,-509.769256592,5.86243438721,49
1538767920397462791,339,1538767920396858823,NED,-4.40000009537,-509.769256592,7.74141311646,51
1538767920464067047,340,1538767920463142663,NED,-4.25999975204,-513.828063965,9.63536071777,53
1538767920533287751,341,1538767920529954311,NED,-4.25999975204,-513.828063965,9.63536071777,53
1538767920574385383,342,1538767920566352615,NED,-4.13999986649,-529.87097168,11.5159492493,55
1538767920596953703,343,1538767920590864615,NED,-4.13999986649,-529.87097168,11.5159492493,55
