%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1538767917691204007,1180,1538767917690879655,,0,1343,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767918069228743,1181,1538767918068874759,,0,1425,1537,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767918446192039,1182,1538767918445359751,,0,1480,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767918815447271,1183,1538767918810830791,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767919079534983,1184,1538767919078856359,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767919423295975,1185,1538767919422910663,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767919782550663,1186,1538767919781299399,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767920110764455,1187,1538767920110255847,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767920403720903,1188,1538767920403476743,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767920808241159,1189,1538767920807222919,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767921147303175,1190,1538767921147036007,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767921515452327,1191,1538767921515106855,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767921867173191,1192,1538767921866902535,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767922235582279,1193,1538767922235450759,,0,1494,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767922559940839,1194,1538767922559717543,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767922834492871,1195,1538767922834188935,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767923087080007,1196,1538767923086785159,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767923463756231,1197,1538767923463575687,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767923771841671,1198,1538767923771651559,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767924179672615,1199,1538767924179467591,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767924491853607,1200,1538767924491525671,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767924850280711,1201,1538767924849290727,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767925178906087,1202,1538767925178332999,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767925520970759,1203,1538767925517078855,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
1538767925768450183,1204,1538767925768214119,,0,1496,1535,1679,1513,1514,2036,2036,1101,1514,1514,1514,1514,1514,1514,1514,1514
