%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.latitude,field.longitude,field.altitude,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1538767917495882503,277,1538767917494631239,,5,65528,40.5912871,-79.8982351,345.259979248,0.0,0.0,0.0,-21.1246585846,4.07526493073,3.23366737366,-15.0,-0.0
1538767917518207047,278,1538767917515810983,,5,65528,40.5912871,-79.8982351,345.259979248,0.0,0.0,0.0,-21.1228256226,3.82125377655,3.20704865456,-15.0,-0.0
1538767917566114311,279,1538767917563918823,,5,65528,40.5912871,-79.8982351,345.259979248,0.0,0.0,0.0,-21.1216545105,3.56031370163,3.19300746918,-15.0,-0.0
1538767917613829127,280,1538767917613571655,,5,65528,40.5912871,-79.8982351,345.259979248,0.0,0.0,0.0,-21.1108570099,3.11497879028,3.27261090279,-15.0,-0.0
1538767917648677383,281,1538767917647352583,,5,65528,40.5912871,-79.8982351,345.259979248,0.0,0.0,0.0,-21.0924758911,2.84819173813,3.27995538712,-15.0,-0.0
1538767917727126503,282,1538767917725284231,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-21.0630607605,2.47405695915,3.157954216,-15.0,-0.0
1538767917780978855,283,1538767917779334151,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-21.0495166779,2.35098791122,3.0439696312,-15.0,-0.0
1538767917812995527,284,1538767917799519207,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-21.0290355682,2.28222846985,3.01997470856,-15.0,-0.0
1538767917850881607,285,1538767917849259367,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.9845848083,2.07410264015,2.92088532448,-15.0,-0.0
1538767917890107111,286,1538767917883086535,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.9287052155,1.94583106041,2.86502528191,-15.0,-0.0
1538767917961357447,287,1538767917958204775,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.8344211578,1.73866415024,2.80654549599,-15.0,-0.0
1538767918043269191,288,1538767918042677895,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.6663188934,1.42656350136,2.98357486725,-15.0,-0.0
1538767918064527495,289,1538767918063650503,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.620059967,1.36584925652,3.0260746479,-15.0,-0.0
1538767918142377223,290,1538767918140912903,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.4396419525,1.21023333073,3.05072236061,-15.0,-0.0
1538767918166432359,291,1538767918166043079,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.3961811066,1.19332921505,3.0449860096,-15.0,-0.0
1538767918247126279,292,1538767918244519527,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.2235050201,1.17180323601,2.91286635399,-15.0,-0.0
1538767918269366407,293,1538767918266896103,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.1859874725,1.17218315601,2.86181378365,-15.0,-0.0
1538767918299492167,294,1538767918299041511,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-20.1046085358,1.17649722099,2.79607534409,-15.0,-0.0
1538767918350170439,295,1538767918349460839,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-19.9828071594,1.19699978828,2.67586565018,-15.0,-0.0
1538767918435963655,296,1538767918435506087,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-19.8153991699,1.30032086372,2.49989819527,-15.0,-0.0
1538767918467720615,297,1538767918465703655,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-19.771156311,1.33355784416,2.46077370644,-15.0,-0.0
1538767918531677383,298,1538767918530848583,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-19.6041584015,1.5154594183,2.42938756943,-15.0,-0.0
1538767918554672263,299,1538767918553906887,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-19.5626029968,1.56300210953,2.42527103424,-15.0,-0.0
1538767918609580231,300,1538767918607600007,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-19.4425239563,1.74388813972,2.36974787712,-15.0,-0.0
1538767918644677127,301,1538767918644217767,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-19.3736553192,1.85605823994,2.27183675766,-15.0,-0.0
1538767918732551047,302,1538767918732237671,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-19.2346134186,2.10586190224,2.13438200951,-15.0,-0.0
1538767918814185767,303,1538767918807992583,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-19.1303195953,2.3520526886,2.081823349,-15.0,-0.0
1538767918902207879,304,1538767918900191559,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.9674453735,2.82057952881,2.00759506226,-15.0,-0.0
1538767918950591399,305,1538767918950133223,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.8787345886,3.06325554848,1.86423659325,-15.0,-0.0
1538767918996049799,306,1538767918995358791,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.8209896088,3.22633481026,1.72589790821,-15.0,-0.0
1538767919046204295,307,1538767919045022855,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.7327957153,3.48471140862,1.52680790424,-15.0,-0.0
1538767919095379655,308,1538767919094963943,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.6755466461,3.67069649696,1.41952395439,-15.0,-0.0
1538767919135596007,309,1538767919132108935,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.6160507202,3.86858773232,1.32750821114,-15.0,-0.0
1538767919207122791,310,1538767919205786567,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.5271224976,4.18487596512,1.16933858395,-15.0,-0.0
1538767919260164839,311,1538767919259411175,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.4379959106,4.48546504974,0.992938876152,-15.0,-0.0
1538767919297665255,312,1538767919296892423,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.3803520203,4.67863035202,0.848840773106,-15.0,-0.0
1538767919414653575,313,1538767919412415655,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.2406368256,5.13989543915,0.474736452103,-15.0,-0.0
1538767919446407207,314,1538767919441579207,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.1792583466,5.33011722565,0.318096756935,-15.0,-0.0
1538767919482749159,315,1538767919481186535,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.1180877686,5.53324651718,0.185164883733,-15.0,-0.0
1538767919546779847,316,1538767919546353895,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-18.005607605,5.92079544067,-0.0903636366129,-15.0,-0.0
1538767919614803431,317,1538767919610481351,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.9422187805,6.13643407822,-0.228126049042,-15.0,-0.0
1538767919638019495,318,1538767919637395175,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.8552379608,6.43012523651,-0.445641160011,-15.0,-0.0
1538767919678389959,319,1538767919677472935,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.8194217682,6.54659986496,-0.507285892963,-15.0,-0.0
1538767919773053799,320,1538767919771707399,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.7042884827,6.93850231171,-0.785385668278,-15.0,-0.0
1538767919810017607,321,1538767919801498471,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.640460968,7.15554094315,-0.90511649847,-15.0,-0.0
1538767919844955463,322,1538767919844603687,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.5482902527,7.4620885849,-1.11545801163,-15.0,-0.0
1538767919890746951,323,1538767919888663143,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.5127849579,7.55276679993,-1.19688272476,-15.0,-0.0
1538767919979052295,324,1538767919978523527,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.361907959,7.99976587296,-1.60808706284,-15.0,-0.0
1538767920030144967,325,1538767920029340007,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.2647914886,8.30107212067,-1.82648444176,-15.0,-0.0
1538767920107868519,326,1538767920105743623,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.1466751099,8.68313980103,-1.9386330843,-15.0,-0.0
1538767920151183687,327,1538767920147912199,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.034954071,9.07175350189,-1.92531454563,-15.0,-0.0
1538767920225872295,328,1538767920225022471,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.9677410126,9.29695034027,-1.92230188847,-15.0,-0.0
1538767920257168935,329,1538767920256925447,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.9141235352,9.49164295197,-1.87872779369,-15.0,-0.0
1538767920279539975,330,1538767920277740423,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.8686199188,9.6566991806,-1.8321672678,-15.0,-0.0
1538767920325283015,331,1538767920324537543,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.8363800049,9.78720760345,-1.76956152916,-15.0,-0.0
1538767920400499367,332,1538767920400065447,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.8074207306,9.94150257111,-1.72881114483,-15.0,-0.0
1538767920467070503,333,1538767920465934631,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.8003921509,9.99844074249,-1.67662513256,-15.0,-0.0
1538767920533674759,334,1538767920532423175,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.8105964661,9.98535251617,-1.68733930588,-15.0,-0.0
1538767920574672935,335,1538767920573903783,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.8191318512,9.97198200226,-1.70455563068,-15.0,-0.0
1538767920604551399,336,1538767920603903463,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.8489894867,9.91155910492,-1.72305238247,-15.0,-0.0
1538767920652750279,337,1538767920650715175,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.8644275665,9.8564414978,-1.79207611084,-15.0,-0.0
1538767920704617543,338,1538767920704233543,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.9056911469,9.76225185394,-1.8349840641,-15.0,-0.0
1538767920789044039,339,1538767920787833991,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-16.9683380127,9.59954929352,-1.92031466961,-15.0,-0.0
1538767920855816103,340,1538767920854915879,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.0133914948,9.46029949188,-2.02058196068,-15.0,-0.0
1538767920886395975,341,1538767920886062983,,5,65528,40.5916895,-79.8950398,410.75,0.0,0.0,0.0,-17.0451641083,9.36685752869,-2.0933816433,-15.0,-0.0
