%time,field.data
1538768398838896039,35.8
1538768399107448647,30.81
1538768399343372743,27.42
1538768399630639911,23.27
1538768399840651847,21.12
1538768400081074663,20.0
1538768400350893031,19.31
1538768400575017191,17.31
1538768400799520071,13.5
1538768401058525863,8.41
1538768401293848231,5.07
1538768401561480999,2.14
1538768401791253639,358.33
1538768402034252199,352.7
1538768402268239143,346.45
1538768402553197543,338.93
1538768402796393575,332.45
1538768402963711623,327.36
1538768403225849351,320.17
1538768403476264615,312.29
1538768403739269607,306.01
1538768403971520007,302.1
1538768404217701415,300.05
1538768404470074695,299.38
1538768404694847047,298.88
1538768404989031047,299.13
1538768405211239847,299.96
1538768405405024615,301.25
1538768405668708455,302.51
1538768405910808295,303.59
1538768406177154951,304.69
1538768406412503431,304.35
1538768406675946055,304.88
1538768406890102247,306.87
1538768407144120519,308.78
1538768407390137607,311.07
1538768407603887463,312.86
1538768407824497479,313.88
1538768408060734727,314.71
1538768408310289415,315.93
1538768408521611335,317.23
1538768408775899559,318.41
1538768409006388583,319.31
1538768409258153959,318.18
1538768409514493479,314.94
1538768409752667687,312.32
1538768410014896071,309.36
1538768410249953159,306.32
1538768410504524743,302.88
1538768410746697063,299.97
1538768411013767847,295.13
1538768411268178375,289.69
1538768411475768711,284.86
1538768411695766791,280.09
1538768411941388199,275.49
1538768412200623911,270.65
1538768412469250631,264.58
1538768412703335655,258.77
1538768412941264359,254.97
1538768413209214407,249.05
1538768413459399079,244.28
1538768413699620135,239.18
1538768413939443079,234.69
1538768414204180039,231.48
1538768414430677543,228.86
1538768414697895687,227.25
1538768414963636263,227.26
1538768415219540359,227.61
1538768415469594151,226.23
1538768415698860679,224.79
1538768415951507879,224.05
1538768416191242727,225.14
1538768416480336103,227.86
1538768416677478375,228.54
1538768416925592807,228.02
1538768417168637735,228.18
1538768417420041383,229.63
1538768417667284295,230.64
1538768417929898119,231.98
1538768418135155399,233.17
1538768418348575207,233.21
1538768418611736423,232.09
1538768418847117447,230.81
1538768419161016583,229.89
1538768419351018119,229.14
1538768419599031559,228.18
1538768419842250183,228.18
1538768420109009639,228.47
1538768420361972807,227.79
1538768420574429447,228.24
1538768420836372615,229.76
1538768421062068807,231.0
1538768421303498823,231.82
1538768421555964743,233.03
1538768421795087495,233.78
1538768422075481671,234.52
1538768422291097095,234.25
1538768422550172615,233.08
1538768422802752487,232.37
1538768423040957415,232.38
1538768423305660583,231.79
1538768423535660167,229.29
1538768423793164807,227.46
1538768424042771719,228.92
1538768424291377511,231.08
1538768424540950951,231.63
1538768424770362247,230.84
1538768425065195399,228.71
1538768425259885863,227.4
1538768425525417991,226.53
1538768425749897159,227.14
1538768425924656103,228.66
1538768426206004007,231.59
1538768426475017991,231.82
1538768426663233063,231.05
1538768426903747591,230.94
1538768427167069927,231.68
1538768427446151111,232.28
1538768427652700199,231.78
1538768427919102151,230.25
1538768428136815911,228.99
1538768428400065191,229.32
1538768428646283335,230.78
1538768428913651271,231.74
1538768429153240647,232.84
1538768429430223367,233.27
1538768429615942727,232.87
1538768429830535591,232.26
1538768430042766247,231.74
1538768430269700807,231.71
1538768430531969127,232.25
1538768430777363047,232.46
1538768431031644519,231.69
1538768431269332615,231.16
1538768431531444807,230.57
1538768431775959239,230.51
1538768432040369895,231.36
1538768432322216839,232.26
1538768432510961735,232.48
1538768432762481831,231.98
1538768432976570855,231.26
1538768433225577671,230.8
1538768433476729863,230.84
1538768433720620135,231.41
1538768433948506375,232.19
1538768434231506695,233.18
1538768434445543751,234.11
1538768434709126343,235.67
1538768434964060807,238.0
1538768435178283719,240.27
1538768435440804583,243.0
1538768435669579559,245.82
1538768435934894535,249.25
1538768436185314919,252.83
1538768436439963431,256.42
1538768436717875495,260.91
1538768436929947623,264.57
1538768437168002439,268.17
1538768437392195143,272.71
1538768437675566983,277.7
1538768437854751559,281.72
1538768438123607079,287.08
1538768438343184583,292.1
1538768438585348679,298.73
1538768438819538535,304.72
1538768439002952039,310.58
1538768439248937703,317.34
1538768439501414503,324.71
1538768439752489991,331.49
1538768440001645863,338.96
1538768440240378727,344.85
1538768440500444871,351.06
1538768440782474087,357.16
1538768441007430855,2.49
1538768441257008647,6.02
1538768441506339399,9.25
1538768441782424263,11.18
