%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1538768398788075175,8231,1538768398787287271,base_link,292000.0,263000.0,-153000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768398898235367,8232,1538768398896897415,base_link,194000.0,281000.0,-210000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768398997709383,8233,1538768398997256039,base_link,184000.0,267000.0,-255000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768399099784807,8234,1538768399099346503,base_link,171000.0,243000.0,-284000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768399203068647,8235,1538768399202596231,base_link,133000.0,243000.0,-330000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768399276078471,8236,1538768399275573031,base_link,106000.0,263000.0,-347000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768399397559111,8237,1538768399396971815,base_link,96000.0,284000.0,-341000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768399488098087,8238,1538768399487468775,base_link,80000.0,312000.0,-338000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768399625619431,8239,1538768399624849799,base_link,79000.0,339000.0,-335000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768399687827783,8240,1538768399687411367,base_link,79000.0,354000.0,-330000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768399788262439,8241,1538768399787640711,base_link,77000.0,365000.0,-326000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538768399883993223,8242,1538768399883366663,base_link,91000.0,368000.0,-318000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
