%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1538768398789072487,8231,1538768398788710471,base_link,41.5,0.0
1538768398901256167,8232,1538768398900918791,base_link,41.5,0.0
1538768399004933447,8233,1538768399004507111,base_link,41.5,0.0
1538768399101508263,8234,1538768399101200231,base_link,41.49,0.0
1538768399204593543,8235,1538768399204172359,base_link,41.49,0.0
1538768399280468807,8236,1538768399280054375,base_link,41.48,0.0
1538768399398530151,8237,1538768399398336935,base_link,41.48,0.0
1538768399489665895,8238,1538768399489483783,base_link,41.47,0.0
1538768399627870727,8239,1538768399627608583,base_link,41.47,0.0
1538768399689195239,8240,1538768399689023111,base_link,41.46,0.0
1538768399791329895,8241,1538768399791109223,base_link,41.46,0.0
1538768399905567399,8242,1538768399905251239,base_link,41.45,0.0
1538768399993220199,8243,1538768399992898055,base_link,41.44,0.0
1538768400075897383,8244,1538768400075527495,base_link,41.44,0.0
1538768400187454023,8245,1538768400187063783,base_link,41.43,0.0
1538768400285733415,8246,1538768400285479079,base_link,41.43,0.0
1538768400385316775,8247,1538768400385061575,base_link,41.42,0.0
1538768400495126567,8248,1538768400494859335,base_link,41.42,0.0
1538768400580850919,8249,1538768400580558023,base_link,41.41,0.0
1538768400716091879,8250,1538768400713128327,base_link,41.41,0.0
1538768400798242599,8251,1538768400797977831,base_link,41.4,0.0
1538768400898589479,8252,1538768400898337991,base_link,41.4,0.0
1538768400993021543,8253,1538768400991573063,base_link,41.39,0.0
1538768401083386055,8254,1538768401082912551,base_link,41.39,0.0
1538768401222231751,8255,1538768401221926567,base_link,41.38,0.0
1538768401292098055,8256,1538768401291863015,base_link,41.38,0.0
1538768401411157287,8257,1538768401410916391,base_link,41.37,0.0
1538768401508618919,8258,1538768401508139655,base_link,41.37,0.0
1538768401587301767,8259,1538768401587067751,base_link,41.36,0.0
1538768401679888839,8260,1538768401679680231,base_link,41.36,0.0
1538768401787225095,8261,1538768401785933447,base_link,41.35,0.0
1538768401896944775,8262,1538768401896184199,base_link,41.35,0.0
1538768401998824839,8263,1538768401996727943,base_link,41.34,0.0
1538768402084617095,8264,1538768402084285543,base_link,41.34,0.0
1538768402166492007,8265,1538768402165655495,base_link,41.33,0.0
1538768402288497575,8266,1538768402288183431,base_link,41.33,0.0
1538768402389872487,8267,1538768402389664935,base_link,41.32,0.0
1538768402509050759,8268,1538768402507920903,base_link,41.32,0.0
1538768402591095367,8269,1538768402590844967,base_link,41.31,0.0
1538768402690463303,8270,1538768402690009575,base_link,41.31,0.0
1538768402818467367,8271,1538768402815802727,base_link,41.3,0.0
1538768402901693383,8272,1538768402901479975,base_link,41.3,0.0
1538768402992417799,8273,1538768402991668743,base_link,41.3,0.0
1538768403096488391,8274,1538768403096225607,base_link,41.29,0.0
1538768403208758823,8275,1538768403207591687,base_link,41.28,0.0
1538768403305022055,8276,1538768403304112999,base_link,41.28,0.0
1538768403367682439,8277,1538768403367392071,base_link,41.27,0.0
1538768403487271879,8278,1538768403483825639,base_link,41.27,0.0
1538768403613622183,8279,1538768403613020551,base_link,41.27,0.0
1538768403709169671,8280,1538768403708687655,base_link,41.26,0.0
1538768403830110215,8281,1538768403829864999,base_link,41.26,0.0
1538768403897352039,8282,1538768403895283975,base_link,41.25,0.0
1538768403982879559,8283,1538768403981854727,base_link,41.25,0.0
1538768404106867143,8284,1538768404106400999,base_link,41.24,0.0
1538768404195458215,8285,1538768404193974343,base_link,41.24,0.0
1538768404317275015,8286,1538768404316424199,base_link,41.23,0.0
1538768404417885479,8287,1538768404417575079,base_link,41.23,0.0
1538768404485062247,8288,1538768404484681799,base_link,41.22,0.0
1538768404606037959,8289,1538768404605726407,base_link,41.22,0.0
1538768404686231783,8290,1538768404685325191,base_link,41.21,0.0
1538768404791628039,8291,1538768404791305895,base_link,41.21,0.0
1538768404904756455,8292,1538768404899046599,base_link,41.21,0.0
1538768405011169927,8293,1538768405010825351,base_link,41.2,0.0
1538768405108933383,8294,1538768405108372263,base_link,41.2,0.0
1538768405207979847,8295,1538768405206487143,base_link,41.19,0.0
1538768405285799463,8296,1538768405285468711,base_link,41.19,0.0
1538768405386777063,8297,1538768405386214759,base_link,41.18,0.0
1538768405537689063,8298,1538768405537359591,base_link,41.18,0.0
1538768405602599943,8299,1538768405602357575,base_link,41.17,0.0
1538768405692623975,8300,1538768405691957095,base_link,41.17,0.0
1538768405798192583,8301,1538768405797843751,base_link,41.16,0.0
1538768405903126951,8302,1538768405902364391,base_link,41.16,0.0
1538768406015708967,8303,1538768406011557191,base_link,41.16,0.0
1538768406096932263,8304,1538768406096558919,base_link,41.15,0.0
1538768406203658823,8305,1538768406203362791,base_link,41.14,0.0
1538768406315071015,8306,1538768406311778663,base_link,41.14,0.0
1538768406388333223,8307,1538768406387991527,base_link,41.14,0.0
1538768406489610823,8308,1538768406489120327,base_link,41.13,0.0
1538768406643493415,8309,1538768406643045735,base_link,41.13,0.0
1538768406703777575,8310,1538768406703265991,base_link,41.12,0.0
1538768406789396871,8311,1538768406789156231,base_link,41.12,0.0
1538768406888611527,8312,1538768406888391047,base_link,41.11,0.0
1538768406985414247,8313,1538768406984938727,base_link,41.11,0.0
1538768407077594087,8314,1538768407077315495,base_link,41.11,0.0
1538768407181983175,8315,1538768407181651079,base_link,41.1,0.0
1538768407330790695,8316,1538768407330535655,base_link,41.1,0.0
1538768407397459079,8317,1538768407396571623,base_link,41.09,0.0
1538768407490093671,8318,1538768407489805447,base_link,41.09,0.0
1538768407575443335,8319,1538768407573843207,base_link,41.09,0.0
1538768407694333607,8320,1538768407693182791,base_link,41.08,0.0
1538768407770453575,8321,1538768407770140199,base_link,41.08,0.0
1538768407897899975,8322,1538768407897685703,base_link,41.07,0.0
1538768408011653671,8323,1538768408011276167,base_link,41.07,0.0
1538768408090096615,8324,1538768408089896135,base_link,41.06,0.0
1538768408224699847,8325,1538768408224134439,base_link,41.06,0.0
1538768408277884423,8326,1538768408277706951,base_link,41.06,0.0
1538768408401179463,8327,1538768408400986471,base_link,41.05,0.0
1538768408479336839,8328,1538768408479177927,base_link,41.05,0.0
1538768408617248871,8329,1538768408616740007,base_link,41.04,0.0
1538768408697032903,8330,1538768408696508039,base_link,41.04,0.0
1538768408789120935,8331,1538768408788800839,base_link,41.03,0.0
1538768408895402823,8332,1538768408895017703,base_link,41.03,0.0
1538768408988861991,8333,1538768408988619143,base_link,41.03,0.0
1538768409102743399,8334,1538768409102419271,base_link,41.02,0.0
1538768409251701575,8335,1538768409251276615,base_link,41.01,0.0
1538768409302603943,8336,1538768409302333319,base_link,41.01,0.0
1538768409401761351,8337,1538768409401024327,base_link,41.01,0.0
1538768409510106311,8338,1538768409509841831,base_link,41.0,0.0
1538768409623112615,8339,1538768409622859047,base_link,41.0,0.0
1538768409713880199,8340,1538768409713672967,base_link,41.0,0.0
1538768409819168615,8341,1538768409818968327,base_link,40.99,0.0
1538768409898699431,8342,1538768409898278599,base_link,40.99,0.0
1538768409986740903,8343,1538768409986334023,base_link,40.99,0.0
1538768410084750119,8344,1538768410084482183,base_link,40.98,0.0
1538768410206964071,8345,1538768410206439175,base_link,40.97,0.0
1538768410311377319,8346,1538768410311147431,base_link,40.97,0.0
1538768410384857991,8347,1538768410384367303,base_link,40.97,0.0
