%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1538768398805809063,1854,1538768398805106151,NED,15.0,0.0
1538768398837887591,1855,1538768398836546951,NED,15.0,0.0
1538768398895331847,1856,1538768398894121383,NED,15.0,0.0
1538768398991998599,1857,1538768398991572263,NED,16.0,0.0
1538768399046252359,1858,1538768399045407687,NED,16.0,0.0
1538768399098121447,1859,1538768399097294343,NED,16.0,0.0
1538768399184848615,1860,1538768399182193671,NED,16.0,0.0
1538768399260519687,1861,1538768399258220391,NED,16.0,0.0
1538768399272532135,1862,1538768399272106087,NED,16.0,0.0
1538768399340366855,1863,1538768399339145991,NED,16.0,0.0
1538768399395914695,1864,1538768399395481543,NED,16.0,0.0
1538768399466389703,1865,1538768399462856359,NED,16.0,0.0
1538768399481944647,1866,1538768399481389735,NED,16.0,0.0
1538768399565278343,1867,1538768399564832007,NED,16.0,0.0
1538768399624604999,1868,1538768399623738407,NED,16.0,0.0
1538768399655359623,1869,1538768399654630119,NED,16.0,0.0
1538768399670006343,1870,1538768399669432871,NED,16.0,0.0
1538768399738899399,1871,1538768399735459783,NED,16.0,0.0
1538768399785874759,1872,1538768399785100039,NED,16.0,0.0
1538768399838588295,1873,1538768399838122791,NED,16.0,0.0
1538768399877071335,1874,1538768399875890087,NED,16.0,0.0
1538768399981077511,1875,1538768399980260551,NED,16.0,0.0
1538768400031634439,1876,1538768400030626855,NED,16.0,0.0
1538768400071729959,1877,1538768400071260455,NED,16.0,0.0
1538768400160693479,1878,1538768400159021671,NED,16.0,0.0
1538768400226601479,1879,1538768400225946183,NED,16.0,0.0
1538768400255829927,1880,1538768400254769479,NED,16.0,0.0
1538768400347675687,1881,1538768400346374247,NED,16.0,0.0
1538768400374554919,1882,1538768400374047495,NED,16.0,0.0
1538768400414952263,1883,1538768400414393767,NED,16.0,0.0
1538768400482588103,1884,1538768400481426823,NED,16.0,0.0
1538768400505360391,1885,1538768400504095591,NED,16.0,0.0
1538768400573571143,1886,1538768400573274407,NED,16.0,0.0
1538768400605353959,1887,1538768400604650119,NED,16.0,0.0
1538768400655088615,1888,1538768400654051527,NED,16.0,0.0
1538768400709437735,1889,1538768400708673287,NED,16.0,0.0
1538768400761783431,1890,1538768400761543015,NED,16.0,0.0
1538768400780592551,1891,1538768400779806439,NED,16.0,0.0
1538768400835551815,1892,1538768400834822247,NED,16.0,0.0
1538768400870179239,1893,1538768400867552487,NED,16.0,0.0
1538768400980829127,1894,1538768400980223367,NED,16.0,0.0
1538768401053812583,1895,1538768401053318855,NED,16.0,0.0
1538768401078873191,1896,1538768401078134055,NED,16.0,0.0
1538768401138401831,1897,1538768401135635783,NED,16.0,0.0
1538768401194119047,1898,1538768401193005575,NED,16.0,0.0
1538768401233331399,1899,1538768401232287143,NED,16.0,0.0
1538768401276490151,1900,1538768401268195143,NED,16.0,0.0
1538768401341935847,1901,1538768401340835719,NED,16.0,0.0
1538768401397532199,1902,1538768401396958279,NED,16.0,0.0
1538768401494590439,1903,1538768401493936487,NED,16.0,0.0
1538768401558243815,1904,1538768401557687367,NED,16.0,0.0
1538768401586186279,1905,1538768401584293063,NED,16.0,0.0
1538768401634108711,1906,1538768401632486151,NED,16.0,0.0
1538768401673764551,1907,1538768401673324039,NED,16.0,0.0
1538768401748811847,1908,1538768401747364967,NED,16.0,0.0
1538768401783928039,1909,1538768401780668039,NED,16.0,0.0
1538768401840556519,1910,1538768401839831527,NED,16.0,0.0
1538768401935018823,1911,1538768401934292839,NED,16.0,0.0
1538768401964255175,1912,1538768401958840455,NED,16.0,0.0
1538768402032537415,1913,1538768402032068231,NED,16.0,0.0
1538768402066493159,1914,1538768402065218951,NED,16.0,0.0
1538768402107023751,1915,1538768402106588551,NED,16.0,0.0
1538768402150513575,1916,1538768402150071943,NED,16.0,0.0
1538768402241815975,1917,1538768402241379975,NED,16.0,0.0
1538768402256726087,1918,1538768402255303047,NED,16.0,0.0
1538768402310866247,1919,1538768402310529703,NED,16.0,0.0
1538768402362133447,1920,1538768402361400807,NED,16.0,0.0
1538768402425093671,1921,1538768402423021255,NED,16.0,0.0
1538768402508795975,1922,1538768402506825255,NED,16.0,0.0
1538768402544190343,1923,1538768402542035143,NED,16.0,0.0
1538768402582625351,1924,1538768402581786183,NED,16.0,0.0
1538768402610006215,1925,1538768402609335495,NED,16.0,0.0
1538768402676988903,1926,1538768402676578887,NED,16.0,0.0
1538768402703352039,1927,1538768402702698119,NED,16.0,0.0
1538768402792825671,1928,1538768402791870183,NED,16.0,0.0
1538768402839695655,1929,1538768402839306151,NED,16.0,0.0
1538768402860431815,1930,1538768402859990183,NED,16.0,0.0
1538768402910466503,1931,1538768402908383527,NED,16.0,0.0
1538768402953489479,1932,1538768402952672775,NED,16.0,0.0
1538768403010710311,1933,1538768403010233863,NED,16.0,0.0
1538768403050485703,1934,1538768403049608039,NED,16.0,0.0
1538768403110507783,1935,1538768403108772135,NED,16.0,0.0
1538768403184418887,1936,1538768403183862215,NED,16.0,0.0
1538768403223792615,1937,1538768403223462119,NED,16.0,0.0
1538768403260268615,1938,1538768403259718535,NED,16.0,0.0
1538768403337876807,1939,1538768403337302951,NED,16.0,0.0
1538768403357980519,1940,1538768403357517639,NED,16.0,0.0
1538768403420411207,1941,1538768403418705159,NED,16.0,0.0
1538768403475170759,1942,1538768403474720135,NED,16.0,0.0
1538768403509534599,1943,1538768403508660103,NED,16.0,0.0
1538768403602303943,1944,1538768403601444423,NED,16.0,0.0
1538768403626446663,1945,1538768403624741159,NED,16.0,0.0
1538768403705079431,1946,1538768403704106791,NED,16.0,0.0
1538768403736419655,1947,1538768403735886695,NED,16.0,0.0
1538768403789463111,1948,1538768403788944871,NED,16.0,0.0
1538768403844003047,1949,1538768403843466279,NED,16.0,0.0
1538768403870358567,1950,1538768403869803719,NED,16.0,0.0
1538768403921125127,1951,1538768403913822695,NED,16.0,0.0
1538768403958215975,1952,1538768403957294599,NED,16.0,0.0
1538768404085367687,1953,1538768404084329639,NED,16.0,0.0
1538768404137956967,1954,1538768404136659111,NED,16.0,0.0
1538768404188933895,1955,1538768404186138983,NED,16.0,0.0
1538768404209366311,1956,1538768404207636455,NED,16.0,0.0
1538768404239653607,1957,1538768404239263495,NED,16.0,0.0
1538768404312684999,1958,1538768404309904967,NED,16.0,0.0
1538768404389540391,1959,1538768404388878695,NED,16.0,0.0
1538768404465790599,1960,1538768404465236967,NED,16.0,0.0
1538768404483762503,1961,1538768404481383431,NED,16.0,0.0
1538768404569631815,1962,1538768404568189511,NED,16.0,0.0
