%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1538768399048412807,2742,1538768399048100199,,0,1249,1498,1742,1524,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768399466732839,2743,1538768399465754631,,0,1112,1478,1742,1609,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768399757789511,2744,1538768399757048199,,0,1139,1473,1742,1601,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768400180261703,2745,1538768400179695559,,0,1272,1452,1743,1516,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768400529350695,2746,1538768400528991335,,0,1428,1534,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768400901776775,2747,1538768400901414983,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768401226168103,2748,1538768401226015367,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768401512772007,2749,1538768401512316743,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768401865147847,2750,1538768401864856935,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768402245346375,2751,1538768402245125479,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768402589367719,2752,1538768402586034439,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768402869465127,2753,1538768402869144199,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768403196298599,2754,1538768403190120871,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768403423094855,2755,1538768403422900359,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768403847651207,2756,1538768403847345991,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768404242602247,2757,1538768404242313447,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768404573703815,2758,1538768404572477383,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768404869582407,2759,1538768404869195943,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768405233580839,2760,1538768405231896999,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768405543241511,2761,1538768405543015271,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768405809980167,2762,1538768405809446695,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768406063351975,2763,1538768406063183271,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768406464907431,2764,1538768406464682279,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768406775867655,2765,1538768406775686759,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768407177144295,2766,1538768407176963719,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768407532970375,2767,1538768407532144135,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768407861031815,2768,1538768407860897639,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768408130715399,2769,1538768408130459111,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768408403552071,2770,1538768408403316199,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768408735291175,2771,1538768408732517447,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768409104767783,2772,1538768409104582055,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768409413667783,2773,1538768409413478151,,0,1496,1536,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1538768409656775047,2774,1538768409656658375,,0,1496,1535,1743,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
