%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1538768399187255175,2407,1538768399184378119,,0.0,24.9850406647,29,0.300000011921,406.549987793,8.7631444931
1538768399566976839,2408,1538768399566521543,,0.0,24.1190757751,24,0.129999995232,407.839996338,4.94139146805
1538768400016560519,2409,1538768400016317575,,0.0,23.2981033325,20,0.0599999986589,408.459991455,3.73599553108
1538768400483202215,2410,1538768400482996039,,0.0,22.6295852661,18,0.070000000298,407.899993896,0.343984127045
1538768400902318695,2411,1538768400902147047,,0.0,22.2349185944,11,0.0500000007451,406.479980469,-3.39074325562
1538768401255719431,2412,1538768401255517703,,0.0,22.0505657196,5,0.10000000149,404.859985352,-4.76103019714
1538768401634312711,2413,1538768401632835943,,0.0,22.0615825653,0,0.189999997616,402.449981689,-7.20132780075
1538768401969069447,2414,1538768401968712039,,0.0,22.2628555298,354,0.319999992847,400.289978027,-7.54743719101
1538768402425387975,2415,1538768402423514503,,0.0,22.8023319244,342,0.449999988079,397.130004883,-8.96940612793
1538768402840838151,2416,1538768402840673447,,0.0,23.3143043518,331,0.560000002384,394.709991455,-9.86917591095
1538768403229782887,2417,1538768403229482535,,0.0,23.5786952972,319,0.629999995232,392.809997559,-7.00849914551
1538768403530750791,2418,1538768403530357223,,0.0,23.5250701904,310,0.660000026226,391.889984131,-8.54677009583
1538768404085589479,2419,1538768404084904231,,0.0,22.7394866943,301,0.629999995232,391.619995117,-2.08420205116
1538768404391439975,2420,1538768404391113063,,0.0,22.0079021454,299,0.600000023842,392.220001221,2.0224776268
1538768404696673191,2421,1538768404695783399,,0.0,21.186668396,298,0.569999992847,393.209991455,2.96957468987
1538768405143694951,2422,1538768405143482567,,0.0,20.2912883759,299,0.519999980927,394.829986572,4.46608066559
1538768405583491527,2423,1538768405580454439,,0.0,19.7183132172,302,0.479999989271,396.089996338,4.23501729965
1538768405923491111,2424,1538768405922050407,,0.0,19.4397392273,303,0.460000008345,396.75,4.49747848511
1538768406317957063,2425,1538768406317524103,,0.0,19.1061496735,304,0.449999988079,397.209991455,2.59750509262
1538768406704674567,2426,1538768406704300903,,0.0,18.9159488678,305,0.439999997616,397.549987793,1.30654335022
1538768407240401863,2427,1538768407233501639,,0.0,18.9230079651,309,0.439999997616,397.5,-0.141448512673
