%time,field.data
1538768616175449735,2
1538768616678915015,2
1538768617178698087,2
1538768617677226695,2
1538768618178063175,2
1538768618675239143,2
1538768619179300039,2
1538768619676239431,2
1538768620183147655,2
1538768620675521639,2
1538768621177271655,2
1538768621678607847,2
1538768622176173991,2
1538768622676732807,2
1538768623175139079,2
1538768623676313543,2
1538768624174925031,2
1538768624686489959,2
1538768625175243975,2
1538768625675245127,2
1538768626174751495,2
1538768626674604743,2
1538768627173888007,2
1538768627674744455,2
1538768628175438727,2
1538768628674371911,2
1538768629176586535,2
1538768629675475015,2
1538768630179072583,2
1538768630675791175,2
1538768631184538887,2
1538768631675733191,2
1538768632180173543,2
1538768632677892807,2
1538768633177853063,2
1538768633675398727,2
1538768634178205831,2
1538768634680148135,2
1538768635174101607,2
1538768635674300615,2
1538768636183943367,2
1538768636674247335,2
1538768637176159207,2
1538768637674920231,2
1538768638185562119,2
1538768638675954311,2
1538768639184983815,2
1538768639674373415,2
1538768640176733447,2
