%time,field.data
1538768543887046663,118.75
1538768544155033863,118.73
1538768544406391687,116.75
1538768544639771943,113.32
1538768544859244871,109.24
1538768545106582183,105.24
1538768545345404775,102.18
1538768545597214215,98.21
1538768545862342791,92.0
1538768546093669831,84.71
1538768546344478503,77.31
1538768546624488615,69.6
1538768546853760391,62.58
1538768547116948135,53.88
1538768547347475623,47.53
1538768547602436967,39.64
1538768547839667239,31.45
1538768548087583111,22.83
1538768548334891751,14.2
1538768548545444711,7.43
1538768548802438535,359.24
1538768549026465095,354.67
1538768549299761735,351.26
1538768549539297255,350.65
1538768549804903719,350.01
1538768550056552807,348.99
1538768550314279655,348.39
1538768550548153095,348.23
1538768550810108295,349.64
1538768551044432071,352.57
1538768551302041543,353.58
1538768551547562823,354.19
1538768551775177223,355.06
1538768552035713191,356.47
1538768552246520871,358.08
1538768552485354279,358.82
1538768552716582951,358.56
1538768552950312071,357.59
1538768553193764007,355.36
1538768553436987591,352.35
1538768553694617799,348.54
1538768553945262087,344.28
1538768554233227687,338.78
1538768554428597223,332.81
1538768554698470727,324.99
1538768554966948327,317.71
1538768555161980935,311.9
1538768555406295591,303.48
1538768555641337863,296.49
1538768555865123047,288.65
1538768556105239687,280.34
1538768556357678215,273.47
1538768556562839495,266.21
1538768556820577671,257.65
1538768557039161543,250.17
1538768557303686919,244.1
1538768557561742951,240.27
1538768557803495431,234.33
1538768558023357767,232.3
1538768558265122023,231.44
1538768558493568999,231.81
1538768558749976103,231.98
1538768559023452615,232.15
1538768559266140967,231.57
1538768559507307527,231.02
1538768559767644743,230.89
1538768560004592615,231.49
1538768560255457127,232.71
1538768560484207239,233.3
1538768560739279879,232.59
1538768560973750087,232.0
1538768561214102663,232.28
1538768561465153575,232.08
1538768561717445095,231.85
1538768561976820327,230.78
1538768562218713383,230.29
1538768562477396807,229.43
1538768562668217351,228.46
1538768562914325287,227.49
1538768563137738439,227.01
1538768563420881415,226.34
1538768563653434663,224.93
1538768563927256199,224.34
1538768564157711815,224.13
1538768564448666343,224.76
1538768564649455047,225.66
1538768564890663079,226.66
1538768565144404231,227.22
1538768565425025511,227.43
1538768565697103623,227.77
1538768565904962535,228.4
1538768566152831943,229.22
1538768566441789191,229.82
1538768566642780519,229.98
1538768566894297159,229.76
1538768567143222215,229.49
1538768567406552135,229.46
1538768567640222087,229.53
1538768567898454535,229.56
1538768568157049863,229.92
1538768568406841031,231.23
1538768568654885671,231.6
1538768568856823591,231.42
1538768569116848071,230.44
1538768569383448423,228.35
1538768569616425863,228.04
1538768569823026055,229.57
1538768570069471079,231.42
1538768570311868103,232.6
1538768570558773383,232.44
1538768570835564903,231.98
1538768571069120167,232.51
1538768571345358087,233.57
1538768571573322983,234.16
1538768571827425255,233.8
1538768572063648295,232.68
1538768572340596135,231.55
1538768572578338503,230.94
1538768572813792807,230.35
1538768573035727111,229.77
1538768573271575335,229.28
1538768573550790343,229.04
1538768573777715783,229.22
1538768574007877159,229.3
1538768574248189991,229.3
1538768574504835367,228.88
1538768574749398151,228.84
1538768575023631399,228.83
1538768575247216839,228.85
1538768575497171079,228.76
1538768575787489383,228.18
1538768576014856423,228.01
1538768576247851879,227.8
1538768576509488775,228.03
1538768576761892391,229.01
1538768577003794887,229.74
1538768577265690023,229.17
1538768577506493191,228.52
1538768577781474695,228.61
1538768578002974599,228.78
1538768578255972231,229.05
1538768578504980807,230.42
1538768578746393191,230.07
1538768579001215879,231.07
1538768579263696551,233.83
1538768579517119687,236.35
1538768579729498983,239.32
1538768579978707399,242.41
1538768580214697863,245.91
1538768580475480583,250.12
1538768580704614951,253.44
1538768580941962279,256.56
1538768581198446823,260.62
1538768581432613095,263.62
1538768581677565415,267.01
1538768581934005415,271.24
1538768582166805799,276.85
1538768582427898343,284.48
1538768582651652583,290.38
1538768582936640967,297.92
1538768583163408359,305.04
1538768583392693351,311.27
1538768583637484647,319.13
1538768583898838567,326.77
1538768584146275015,333.56
1538768584351934695,337.84
1538768584587614599,342.29
1538768584856541543,347.85
1538768585060527527,351.85
1538768585297088903,354.84
1538768585558488775,356.94
1538768585786554631,359.08
1538768586017082151,0.71
1538768586279522151,1.54
1538768586499670183,1.34
1538768586760086279,0.6
1538768586989081255,0.25
1538768587253641319,359.26
1538768587483546087,358.3
1538768587744941959,357.21
1538768587970330215,355.82
1538768588228913831,352.65
1538768588502406759,352.29
1538768588649780423,354.08
1538768588888716711,355.3
1538768589129786471,354.12
1538768589409147303,353.57
1538768589644498279,354.94
1538768589927936455,358.77
1538768590139732359,2.13
1538768590402981319,5.75
1538768590621576327,9.11
1538768590851652903,13.69
1538768591091724839,19.93
1538768591363979207,27.03
1538768591602106407,33.03
1538768591840206471,39.28
1538768592065742119,46.14
1538768592315620519,53.76
1538768592564298151,61.51
1538768592854835239,69.79
1538768593050943847,75.47
1538768593349177895,83.33
1538768593569706887,89.28
1538768593822626343,96.49
1538768594030884967,101.47
1538768594301498855,107.81
1538768594533252007,113.79
1538768594817994535,119.46
1538768595042922247,124.37
1538768595294502375,129.74
1538768595562246631,134.28
1538768595804926375,137.51
1538768596044759207,139.7
1538768596306335527,141.04
1538768596546294951,142.32
1538768596804080007,143.39
1538768597045485351,143.26
1538768597242631175,142.76
1538768597508621255,141.93
1538768597737995463,141.41
1538768598005782151,140.62
1538768598260509671,139.71
1538768598502252007,139.29
1538768598760466535,139.12
1538768599018196775,138.85
1538768599251382279,137.64
1538768599533036679,135.29
1538768599720302215,134.18
1538768599967777831,133.78
1538768600208147623,133.57
1538768600456960359,132.49
1538768600724797927,130.78
1538768600964801991,129.69
1538768601239232487,129.88
1538768601469478215,130.37
1538768601731258215,130.98
1538768601959057511,130.84
1538768602211298663,129.98
1538768602452055719,130.65
1538768602669253735,132.16
1538768602929730919,133.31
1538768603178434183,133.22
1538768603414530567,133.06
1538768603702358151,133.09
1538768603926716551,132.33
1538768604196615751,131.28
1538768604427189607,131.07
1538768604658244487,130.94
1538768604938526215,130.56
1538768605159457767,130.38
1538768605424166855,130.06
1538768605661159207,130.17
1538768605934400263,131.1
1538768606171749671,130.99
1538768606423246247,130.87
1538768606694713671,132.41
1538768606940468999,134.41
1538768607162210375,134.83
1538768607416741959,134.54
1538768607692777063,134.81
1538768607939899847,135.13
1538768608167412231,134.61
1538768608420640935,134.28
1538768608670697351,134.07
1538768608902649479,134.26
1538768609164301863,134.58
1538768609354369735,134.62
1538768609571597063,134.24
1538768609842827175,133.1
1538768610037478375,131.91
1538768610274582407,131.13
1538768610539087847,131.36
1538768610770082407,132.47
1538768611037019815,134.07
1538768611254454279,134.18
1538768611547882535,133.68
1538768611797683527,133.97
1538768612011242855,134.34
1538768612263113831,135.86
1538768612517622087,136.14
1538768612804442087,135.03
1538768612981297223,134.49
1538768613230570119,134.12
1538768613497695207,133.72
1538768613725425639,133.78
1538768613963051591,133.53
1538768614201109351,132.86
1538768614425973607,132.18
1538768614657612167,131.75
1538768614915047495,131.6
1538768615183918823,131.13
1538768615437857607,129.59
1538768615678569031,126.82
1538768615916425447,125.12
1538768616158161959,124.45
1538768616405256487,123.17
1538768616642777191,120.88
1538768616901988903,118.19
1538768617162923559,115.42
1538768617419781415,112.01
1538768617646545799,108.17
1538768617895251847,102.44
1538768618107332199,98.02
1538768618354577479,92.43
1538768618611301319,85.78
1538768618860549159,78.82
1538768619103310791,72.23
1538768619365765831,64.07
1538768619595330471,56.3
1538768619814020135,47.86
1538768620096177607,37.05
1538768620302513863,27.13
1538768620579156295,18.68
1538768620785204775,12.26
1538768621043929287,4.83
1538768621296911399,357.13
1538768621558306503,352.46
1538768621807784583,350.97
1538768622069417031,352.12
1538768622286570631,352.68
1538768622487554471,352.89
1538768622759047591,351.95
1538768623015173671,350.41
1538768623211167463,350.4
1538768623454968551,352.07
1538768623728446247,354.02
1538768623962978887,354.62
1538768624280117415,354.83
1538768624459326279,355.4
1538768624720458599,357.46
1538768624944563847,359.25
1538768625166579719,0.42
1538768625441953959,0.57
1538768625698517063,359.61
1538768625932757479,357.75
1538768626163662119,355.74
1538768626431732903,353.58
1538768626636843783,351.69
1538768626914899463,347.92
1538768627124787783,343.34
1538768627362148007,338.05
1538768627620461991,332.31
1538768627866629511,326.22
1538768628134469799,319.41
1538768628362501799,313.17
1538768628583238407,305.88
1538768628826932455,298.17
1538768629095896039,289.63
1538768629369468455,281.21
1538768629627508615,272.72
1538768629856804647,264.77
1538768630110414503,256.22
1538768630378195559,247.19
1538768630599621255,239.97
1538768630842926919,233.79
1538768631145212391,229.52
1538768631371980999,227.58
1538768631603956519,224.77
1538768631833076007,222.39
1538768632091481415,221.95
1538768632380078087,223.19
1538768632600047463,224.15
1538768632848512711,224.6
1538768633119104743,224.92
1538768633339632295,225.89
1538768633611404999,227.49
1538768633829476743,228.5
1538768634042127207,229.85
1538768634298323783,232.4
1538768634587941159,234.1
1538768634792172679,235.04
1538768635027682631,235.7
1538768635255491911,236.32
1538768635506038375,236.82
1538768635763967655,236.3
1538768636026066855,234.11
1538768636259324871,232.59
1538768636541179751,232.41
1538768636774716327,233.1
1538768637029241031,233.59
1538768637275008007,231.45
1538768637501017479,229.94
1538768637733320871,228.2
1538768638010234887,226.67
1538768638227621511,226.84
1538768638419680647,227.47
1538768638663447495,228.07
1538768638927832967,227.1
1538768639188138279,225.51
1538768639446597575,225.31
1538768639662369511,225.82
1538768639902724551,225.9
1538768640174192359,225.56
