%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1538768543782378183,9681,1538768543781948391,base_link,97364.1235352,0.0
1538768543885404871,9682,1538768543884738119,base_link,97362.1398926,0.0
1538768543990672935,9683,1538768543990385319,base_link,97358.3557129,0.0
1538768544083763239,9684,1538768544083341319,base_link,97362.8356934,0.0
1538768544194326023,9685,1538768544194044167,base_link,97359.6313477,0.0
1538768544282102151,9686,1538768544281699335,base_link,97359.4116211,0.0
1538768544385854087,9687,1538768544384410311,base_link,97357.7697754,0.0
1538768544482391175,9688,1538768544477273287,base_link,97360.6384277,0.0
1538768544586846663,9689,1538768544585219431,base_link,97355.9265137,0.0
1538768544676940743,9690,1538768544676251591,base_link,97354.8278809,0.0
1538768544796170023,9691,1538768544793190887,base_link,97355.8105469,0.0
1538768544886576871,9692,1538768544886072327,base_link,97359.2407227,0.0
1538768545009079975,9693,1538768545008205767,base_link,97357.5622559,0.0
1538768545099385511,9694,1538768545098886439,base_link,97361.5966797,0.0
1538768545219655015,9695,1538768545219276903,base_link,97359.777832,0.0
1538768545293756743,9696,1538768545293182311,base_link,97366.5710449,0.0
1538768545414521991,9697,1538768545414011847,base_link,97363.2629395,0.0
1538768545517141575,9698,1538768545516074471,base_link,97365.1367188,0.0
1538768545593034983,9699,1538768545591263911,base_link,97371.2158203,0.0
1538768545714462727,9700,1538768545711656967,base_link,97369.2504883,0.0
1538768545824222823,9701,1538768545823861927,base_link,97372.4914551,0.0
1538768545899285319,9702,1538768545896621671,base_link,97375.2319336,0.0
1538768546017987719,9703,1538768546017663815,base_link,97376.7456055,0.0
1538768546090799047,9704,1538768546090329255,base_link,97379.3273926,0.0
1538768546185835207,9705,1538768546185033415,base_link,97382.043457,0.0
1538768546290049543,9706,1538768546289183495,base_link,97386.5539551,0.0
1538768546386554503,9707,1538768546386111591,base_link,97387.3779297,0.0
1538768546475725223,9708,1538768546475341831,base_link,97383.996582,0.0
1538768546621444231,9709,1538768546621048135,base_link,97391.5466309,0.0
1538768546685997159,9710,1538768546685383271,base_link,97393.6462402,0.0
1538768546805613095,9711,1538768546804983719,base_link,97397.2412109,0.0
1538768546883867367,9712,1538768546883177447,base_link,97398.6450195,0.0
1538768546998384583,9713,1538768546996352999,base_link,97394.2565918,0.0
1538768547081383431,9714,1538768547080714951,base_link,97399.822998,0.0
1538768547190657287,9715,1538768547189093831,base_link,97401.1474609,0.0
1538768547297871047,9716,1538768547297452679,base_link,97393.1396484,0.0
1538768547389871879,9717,1538768547389237767,base_link,97402.7099609,0.0
1538768547594151559,9718,1538768547593763079,base_link,97404.888916,0.0
1538768547686492103,9719,1538768547683546631,base_link,97402.6611328,0.0
1538768547803980231,9720,1538768547803606535,base_link,97410.949707,0.0
1538768547911858439,9721,1538768547909616807,base_link,97410.0891113,0.0
1538768547988518407,9722,1538768547987291047,base_link,97409.9975586,0.0
1538768548106600487,9723,1538768548104995335,base_link,97412.2558594,0.0
1538768548197146471,9724,1538768548196452391,base_link,97415.1245117,0.0
1538768548307653927,9725,1538768548306997799,base_link,97418.8598633,0.0
1538768548401485639,9726,1538768548401027175,base_link,97417.5842285,0.0
1538768548466198375,9727,1538768548465824647,base_link,97415.3442383,0.0
1538768548607498119,9728,1538768548607028839,base_link,97419.8791504,0.0
1538768548724595143,9729,1538768548722457415,base_link,97415.1367188,0.0
1538768548794921543,9730,1538768548793926727,base_link,97412.8417969,0.0
1538768548938921191,9731,1538768548938253351,base_link,97414.0625,0.0
1538768548994453767,9732,1538768548993903431,base_link,97408.2641602,0.0
1538768549081943367,9733,1538768549081226151,base_link,97410.6750488,0.0
1538768549214519559,9734,1538768549213601895,base_link,97401.7944336,0.0
1538768549284343143,9735,1538768549281362503,base_link,97403.8635254,0.0
1538768549407416295,9736,1538768549407044007,base_link,97397.2229004,0.0
1538768549485214375,9737,1538768549484775495,base_link,97394.4885254,0.0
1538768549608675591,9738,1538768549607993831,base_link,97388.6474609,0.0
1538768549694760615,9739,1538768549694250343,base_link,97385.2111816,0.0
1538768549797564135,9740,1538768549795988519,base_link,97382.7880859,0.0
1538768549901099687,9741,1538768549897656967,base_link,97377.4291992,0.0
1538768549989293607,9742,1538768549985386535,base_link,97376.9714355,0.0
1538768550116132007,9743,1538768550111261127,base_link,97370.4833984,0.0
1538768550187155591,9744,1538768550186515975,base_link,97371.5576172,0.0
1538768550310791591,9745,1538768550310382055,base_link,97366.1315918,0.0
1538768550390543015,9746,1538768550390270567,base_link,97365.2099609,0.0
1538768550502775303,9747,1538768550500757383,base_link,97362.2619629,0.0
1538768550585190791,9748,1538768550584885319,base_link,97362.2619629,0.0
1538768550690940711,9749,1538768550690205511,base_link,97361.8164062,0.0
1538768550804725351,9750,1538768550803582887,base_link,97357.1533203,0.0
1538768550884347687,9751,1538768550883832903,base_link,97356.3110352,0.0
1538768550981162887,9752,1538768550980692487,base_link,97357.9345703,0.0
1538768551131497447,9753,1538768551129540295,base_link,97357.7453613,0.0
1538768551191860103,9754,1538768551191510919,base_link,97355.9570312,0.0
1538768551299997927,9755,1538768551299612007,base_link,97352.2460938,0.0
1538768551415996551,9756,1538768551415483431,base_link,97354.9438477,0.0
1538768551484292455,9757,1538768551483849959,base_link,97358.8623047,0.0
1538768551580170887,9758,1538768551579800871,base_link,97357.9956055,0.0
1538768551709749479,9759,1538768551708273479,base_link,97358.3007812,0.0
1538768551809675527,9760,1538768551808371303,base_link,97359.4360352,0.0
1538768551876918503,9761,1538768551876480583,base_link,97360.1928711,0.0
1538768551981227783,9762,1538768551980783367,base_link,97364.9108887,0.0
1538768552086152551,9763,1538768552085478599,base_link,97365.1611328,0.0
