%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1538768543782206151,9681,1538768543781948391,base_link,37.85,0.0
1538768543885189703,9682,1538768543884738119,base_link,37.85,0.0
1538768543990615047,9683,1538768543990385319,base_link,37.85,0.0
1538768544083589639,9684,1538768544083341319,base_link,37.85,0.0
1538768544194271303,9685,1538768544194044167,base_link,37.85,0.0
1538768544282098855,9686,1538768544281699335,base_link,37.84,0.0
1538768544385112551,9687,1538768544384410311,base_link,37.84,0.0
1538768544481527239,9688,1538768544477273287,base_link,37.84,0.0
1538768544586776103,9689,1538768544585219431,base_link,37.84,0.0
1538768544676883527,9690,1538768544676251591,base_link,37.84,0.0
1538768544796131655,9691,1538768544793190887,base_link,37.84,0.0
1538768544886422503,9692,1538768544886072327,base_link,37.84,0.0
1538768545009043847,9693,1538768545008205767,base_link,37.84,0.0
1538768545099352135,9694,1538768545098886439,base_link,37.84,0.0
1538768545219632295,9695,1538768545219276903,base_link,37.83,0.0
1538768545293739207,9696,1538768545293182311,base_link,37.84,0.0
1538768545414475879,9697,1538768545414011847,base_link,37.83,0.0
1538768545517100551,9698,1538768545516074471,base_link,37.83,0.0
1538768545592938503,9699,1538768545591263911,base_link,37.83,0.0
1538768545714443559,9700,1538768545711656967,base_link,37.83,0.0
1538768545824160007,9701,1538768545823861927,base_link,37.83,0.0
1538768545899222119,9702,1538768545896621671,base_link,37.82,0.0
1538768546017902983,9703,1538768546017663815,base_link,37.83,0.0
1538768546090793063,9704,1538768546090329255,base_link,37.82,0.0
1538768546185457223,9705,1538768546185033415,base_link,37.82,0.0
1538768546289970279,9706,1538768546289183495,base_link,37.82,0.0
1538768546386535591,9707,1538768546386111591,base_link,37.82,0.0
1538768546475635079,9708,1538768546475341831,base_link,37.82,0.0
1538768546621353351,9709,1538768546621048135,base_link,37.82,0.0
1538768546685960039,9710,1538768546685383271,base_link,37.81,0.0
1538768546805227111,9711,1538768546804983719,base_link,37.81,0.0
1538768546883839111,9712,1538768546883177447,base_link,37.81,0.0
1538768546998329863,9713,1538768546996352999,base_link,37.81,0.0
1538768547081338087,9714,1538768547080714951,base_link,37.81,0.0
1538768547190618087,9715,1538768547189093831,base_link,37.81,0.0
1538768547297784487,9716,1538768547297452679,base_link,37.81,0.0
1538768547389832615,9717,1538768547389237767,base_link,37.81,0.0
1538768547594074119,9718,1538768547593763079,base_link,37.81,0.0
1538768547686415175,9719,1538768547683546631,base_link,37.8,0.0
1538768547803962695,9720,1538768547803606535,base_link,37.8,0.0
1538768547911803175,9721,1538768547909616807,base_link,37.8,0.0
1538768547988514823,9722,1538768547987291047,base_link,37.8,0.0
1538768548105604807,9723,1538768548104995335,base_link,37.8,0.0
1538768548197136871,9724,1538768548196452391,base_link,37.8,0.0
1538768548307588199,9725,1538768548306997799,base_link,37.8,0.0
1538768548401400583,9726,1538768548401027175,base_link,37.8,0.0
1538768548466109351,9727,1538768548465824647,base_link,37.79,0.0
1538768548607238983,9728,1538768548607028839,base_link,37.79,0.0
1538768548724510887,9729,1538768548722457415,base_link,37.79,0.0
1538768548794897511,9730,1538768548793926727,base_link,37.79,0.0
1538768548938863847,9731,1538768548938253351,base_link,37.79,0.0
