%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1538768543775642727,4647,1538768543768185479,NED,16.0,0.0
1538768543819013703,4648,1538768543817956935,NED,16.0,0.0
1538768543863418151,4649,1538768543862848743,NED,16.0,0.0
1538768543949478599,4650,1538768543947966823,NED,16.0,0.0
1538768543984091559,4651,1538768543982826407,NED,16.0,0.0
1538768544026712423,4652,1538768544025823335,NED,16.0,0.0
1538768544073429927,4653,1538768544071793319,NED,16.0,0.0
1538768544151988167,4654,1538768544150437351,NED,16.0,0.0
1538768544187782567,4655,1538768544187279431,NED,16.0,0.0
1538768544254691175,4656,1538768544253452135,NED,16.0,0.0
1538768544267194215,4657,1538768544265826951,NED,16.0,0.0
1538768544340712839,4658,1538768544339819143,NED,16.0,0.0
1538768544372544903,4659,1538768544371264743,NED,16.0,0.0
1538768544428070631,4660,1538768544427784199,NED,16.0,0.0
1538768544480861351,4661,1538768544473562791,NED,16.0,0.0
1538768544562267431,4662,1538768544561444135,NED,16.0,0.0
1538768544638210343,4663,1538768544637017127,NED,16.0,0.0
1538768544652545127,4664,1538768544651120231,NED,16.0,0.0
1538768544697950503,4665,1538768544697401255,NED,16.0,0.0
1538768544748088743,4666,1538768544747432551,NED,16.0,0.0
1538768544779747239,4667,1538768544779108103,NED,16.0,0.0
1538768544856335175,4668,1538768544855419527,NED,16.0,0.0
1538768544880659911,4669,1538768544880171143,NED,16.0,0.0
1538768544931970695,4670,1538768544928274855,NED,16.0,0.0
1538768544999793159,4671,1538768544997166023,NED,16.0,0.0
1538768545028618823,4672,1538768545025695079,NED,16.0,0.0
1538768545096971143,4673,1538768545094864423,NED,16.0,0.0
1538768545157878727,4674,1538768545154249511,NED,16.0,0.0
1538768545215718535,4675,1538768545215312615,NED,16.0,0.0
1538768545244877031,4676,1538768545243827943,NED,16.0,0.0
1538768545287147175,4677,1538768545283570023,NED,16.0,0.0
1538768545331276295,4678,1538768545330696999,NED,16.0,0.0
1538768545388774727,4679,1538768545387873575,NED,16.0,0.0
1538768545425395847,4680,1538768545424502023,NED,16.0,0.0
1538768545513519975,4681,1538768545512805991,NED,16.0,0.0
1538768545551365863,4682,1538768545549020039,NED,16.0,0.0
1538768545586436039,4683,1538768545585607623,NED,16.0,0.0
1538768545663452647,4684,1538768545662340487,NED,16.0,0.0
1538768545755215175,4685,1538768545754468327,NED,16.0,0.0
1538768545822501863,4686,1538768545821383591,NED,16.0,0.0
1538768545858462055,4687,1538768545857527527,NED,16.0,0.0
1538768545893585415,4688,1538768545891331783,NED,16.0,0.0
1538768545924836295,4689,1538768545924374183,NED,16.0,0.0
1538768545988655495,4690,1538768545988158215,NED,16.0,0.0
1538768546035768583,4691,1538768546035439879,NED,16.0,0.0
1538768546075066887,4692,1538768546069451207,NED,16.0,0.0
1538768546150423783,4693,1538768546149611879,NED,16.0,0.0
1538768546174756551,4694,1538768546172820391,NED,16.0,0.0
1538768546242752487,4695,1538768546242399655,NED,16.0,0.0
1538768546265036295,4696,1538768546263940487,NED,16.0,0.0
1538768546342418247,4697,1538768546340553319,NED,16.0,0.0
1538768546371978311,4698,1538768546370911207,NED,16.0,0.0
1538768546431796519,4699,1538768546431140615,NED,16.0,0.0
1538768546471218823,4700,1538768546469433895,NED,16.0,0.0
1538768546550136103,4701,1538768546549440391,NED,16.0,0.0
1538768546594757575,4702,1538768546594281095,NED,16.0,0.0
1538768546641189479,4703,1538768546640702471,NED,16.0,0.0
1538768546668282887,4704,1538768546665186343,NED,16.0,0.0
1538768546745623015,4705,1538768546745112679,NED,16.0,0.0
1538768546801577095,4706,1538768546801010375,NED,16.0,0.0
1538768546845836615,4707,1538768546844900359,NED,16.0,0.0
1538768546867592071,4708,1538768546866914023,NED,16.0,0.0
1538768546950748935,4709,1538768546948529991,NED,16.0,0.0
1538768546988380231,4710,1538768546985912039,NED,16.0,0.0
1538768547056194311,4711,1538768547055470855,NED,16.0,0.0
1538768547071396647,4712,1538768547070118919,NED,16.0,0.0
1538768547143622503,4713,1538768547142150055,NED,16.0,0.0
1538768547187267143,4714,1538768547183068807,NED,16.0,0.0
1538768547268781031,4715,1538768547268137927,NED,16.0,0.0
1538768547341986343,4716,1538768547340968967,NED,16.0,0.0
1538768547384605191,4717,1538768547383663207,NED,16.0,0.0
1538768547438715623,4718,1538768547437743047,NED,16.0,0.0
1538768547583129415,4719,1538768547582154311,NED,16.0,0.0
1538768547621775303,4720,1538768547621194695,NED,16.0,0.0
1538768547668311335,4721,1538768547667515079,NED,16.0,0.0
1538768547771328999,4722,1538768547760201223,NED,16.0,0.0
1538768547796892551,4723,1538768547796069671,NED,16.0,0.0
1538768547838785863,4724,1538768547836937031,NED,16.0,0.0
1538768547868597063,4725,1538768547867421575,NED,16.0,0.0
1538768547947624071,4726,1538768547946837031,NED,16.0,0.0
1538768547983990727,4727,1538768547982165159,NED,16.0,0.0
1538768548009200967,4728,1538768548008624071,NED,16.0,0.0
1538768548048513031,4729,1538768548045542855,NED,16.0,0.0
1538768548146725223,4730,1538768548143193863,NED,16.0,0.0
1538768548168999271,4731,1538768548168289511,NED,16.0,0.0
1538768548221338567,4732,1538768548220704519,NED,16.0,0.0
1538768548249101255,4733,1538768548248564359,NED,16.0,0.0
