%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1538768543774366759,4723,1538768543766466311,NED,-15.9399995804,-10.1209888458
1538768543806143559,4724,1538768543805650887,NED,-15.9399995804,-10.1209888458
1538768543861433607,4725,1538768543860654151,NED,-15.5099992752,-10.1209888458
1538768543919767751,4726,1538768543919333223,NED,-15.5099992752,-10.1209888458
1538768543970416775,4727,1538768543969771015,NED,-14.8199996948,-10.1209888458
1538768544023901095,4728,1538768544022946471,NED,-14.8199996948,-10.1209888458
1538768544068226823,4729,1538768544067422087,NED,-17.3999996185,-10.1209888458
1538768544146445639,4730,1538768544141773543,NED,-17.3999996185,-10.1209888458
1538768544186350439,4731,1538768544185707911,NED,-17.0900001526,-15.6135835648
1538768544248191271,4732,1538768544247580199,NED,-16.75,-15.6135835648
1538768544263144039,4733,1538768544262215751,NED,-16.75,-15.6135835648
1538768544337328551,4734,1538768544336863335,NED,-16.75,-15.6135835648
1538768544371693383,4735,1538768544369765159,NED,-21.4300003052,-15.6135835648
1538768544425543495,4736,1538768544425251719,NED,-21.4300003052,-15.6135835648
1538768544471627911,4737,1538768544469905447,NED,-21.4300003052,-15.6135835648
1538768544555730151,4738,1538768544555107495,NED,-24.5599994659,-17.4897174835
1538768544635728263,4739,1538768544634319559,NED,-24.5499992371,-17.4897174835
1538768544652230439,4740,1538768544649061319,NED,-24.4699993134,-17.4897174835
1538768544686027751,4741,1538768544685656999,NED,-24.4699993134,-17.4897174835
1538768544729116583,4742,1538768544728513095,NED,-24.4699993134,-17.4897174835
1538768544776209831,4743,1538768544775509735,NED,-30.0499992371,-17.4897174835
1538768544818929991,4744,1538768544818174407,NED,-30.0499992371,-19.3852157593
1538768544877903175,4745,1538768544874438567,NED,-29.8699989319,-19.3852157593
1538768544929842535,4746,1538768544927500167,NED,-29.8699989319,-19.3852157593
1538768544996999015,4747,1538768544994967111,NED,-29.3999996185,-19.3852157593
1538768545024206727,4748,1538768545023510535,NED,-29.3999996185,-19.3852157593
1538768545093868359,4749,1538768545093211975,NED,-31.5,-19.3852157593
1538768545151704007,4750,1538768545150008455,NED,-30.8299999237,-19.3852157593
1538768545197858823,4751,1538768545194713895,NED,-30.8400001526,-19.3852157593
1538768545239692327,4752,1538768545238739783,NED,-30.8400001526,-19.3852157593
1538768545285306567,4753,1538768545283274663,NED,-35.3699989319,-29.0421695709
1538768545328480871,4754,1538768545327859047,NED,-35.3800010681,-29.0421695709
1538768545384508295,4755,1538768545384136775,NED,-34.9199981689,-29.0421695709
1538768545420285735,4756,1538768545419698599,NED,-34.9199981689,-29.0421695709
1538768545512212519,4757,1538768545509335207,NED,-37.969997406,-29.0421695709
1538768545547031559,4758,1538768545546529255,NED,-37.9799995422,-29.0421695709
