%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1538768543954775271,2365,1538768543954175943,,1538768543823000000,fcu
1538768544332671367,2366,1538768544332345895,,1538768544178000000,fcu
1538768544751858727,2367,1538768544751313191,,1538768544621000000,fcu
1538768545221645511,2368,1538768545221412455,,1538768545078000000,fcu
1538768545538782471,2369,1538768545538556263,,1538768545378000000,fcu
1538768546096730023,2370,1538768546096508199,,1538768545960000000,fcu
1538768546554850567,2371,1538768546554572327,,1538768546421000000,fcu
1538768546961667847,2372,1538768546961379047,,1538768546821000000,fcu
1538768547307512743,2373,1538768547306015495,,1538768547178000000,fcu
1538768547771538471,2374,1538768547765092103,,1538768547639000000,fcu
1538768548190443495,2375,1538768548189465095,,1538768548038000000,fcu
1538768548520129159,2376,1538768548519857127,,1538768548359000000,fcu
1538768549000705127,2377,1538768548999777127,,1538768548860000000,fcu
1538768549487752231,2378,1538768549487257639,,1538768549359000000,fcu
1538768549989341703,2379,1538768549988259975,,1538768549859000000,fcu
1538768550505017031,2380,1538768550504699303,,1538768550360000000,fcu
1538768551171340775,2381,1538768551171038407,,1538768551040000000,fcu
1538768551503751911,2382,1538768551502592167,,1538768551379000000,fcu
1538768552109629063,2383,1538768552109289991,,1538768551979000000,fcu
1538768552441271495,2384,1538768552441003751,,1538768552319000000,fcu
1538768552914667399,2385,1538768552914347687,,1538768552760000000,fcu
1538768553301757767,2386,1538768553301414983,,1538768553178000000,fcu
1538768553745900039,2387,1538768553745013415,,1538768553621000000,fcu
1538768554194312967,2388,1538768554191314247,,1538768554059000000,fcu
1538768554540233127,2389,1538768554538554919,,1538768554399000000,fcu
1538768554877738599,2390,1538768554877436903,,1538768554739000000,fcu
1538768555442064327,2391,1538768555441755591,,1538768555321000000,fcu
1538768555874487879,2392,1538768555874140007,,1538768555739000000,fcu
1538768556265128039,2393,1538768556264894183,,1538768556138000000,fcu
1538768556794660807,2394,1538768556794344103,,1538768556659000000,fcu
1538768557365832743,2395,1538768557362868583,,1538768557221000000,fcu
1538768557769325671,2396,1538768557768829575,,1538768557640000000,fcu
