%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1538769412832817024,3776,1538769412830635424,base_link,97319.8425293,0.0
1538769412975925984,3777,1538769412973606784,base_link,97327.7770996,0.0
1538769413108219520,3778,1538769413107049248,base_link,97326.1047363,0.0
1538769413174460640,3779,1538769413173687648,base_link,97326.1047363,0.0
1538769413258991200,3780,1538769413257880832,base_link,97330.5969238,0.0
1538769413356435872,3781,1538769413354309024,base_link,97327.5756836,0.0
1538769413484260512,3782,1538769413482875360,base_link,97327.4291992,0.0
1538769413560740768,3783,1538769413559128864,base_link,97320.916748,0.0
1538769413669759968,3784,1538769413669014848,base_link,97321.1608887,0.0
1538769413759907680,3785,1538769413759584064,base_link,97317.6696777,0.0
1538769413893530688,3786,1538769413892992608,base_link,97312.6708984,0.0
1538769413946821632,3787,1538769413946116320,base_link,97309.7717285,0.0
1538769414064844672,3788,1538769414064422912,base_link,97312.3046875,0.0
1538769414174149024,3789,1538769414173657760,base_link,97305.078125,0.0
1538769414254706144,3790,1538769414253963680,base_link,97303.3203125,0.0
1538769414356450656,3791,1538769414354940288,base_link,97301.7028809,0.0
1538769414474129280,3792,1538769414473411648,base_link,97302.2338867,0.0
1538769414557059264,3793,1538769414556750592,base_link,97299.9694824,0.0
1538769414680189024,3794,1538769414679796928,base_link,97299.7619629,0.0
1538769414747763968,3795,1538769414747245856,base_link,97298.9440918,0.0
1538769414891039808,3796,1538769414887161248,base_link,97297.65625,0.0
1538769414958107584,3797,1538769414957811424,base_link,97297.3327637,0.0
1538769415048439328,3798,1538769415048167616,base_link,97302.0446777,0.0
1538769415165443040,3799,1538769415164932256,base_link,97304.0710449,0.0
1538769415264612992,3800,1538769415264284448,base_link,97304.6203613,0.0
1538769415346971936,3801,1538769415343900672,base_link,97309.5214844,0.0
1538769415499575552,3802,1538769415498809792,base_link,97313.1774902,0.0
1538769415545631456,3803,1538769415545020384,base_link,97315.0817871,0.0
1538769415634895072,3804,1538769415634644608,base_link,97317.0471191,0.0
1538769415766825312,3805,1538769415766381984,base_link,97325.8789062,0.0
1538769415851112544,3806,1538769415850874880,base_link,97325.8117676,0.0
1538769415951456192,3807,1538769415951091584,base_link,97330.2856445,0.0
