%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1538769412803795168,583,1538769412802266272,NED,51.0,-134.566833496
1538769412817774624,584,1538769412815439648,NED,50.0,-134.566833496
1538769412849091168,585,1538769412847684448,NED,50.0,-134.566833496
1538769412921198400,586,1538769412918810816,NED,49.0,-134.566833496
1538769412975323744,587,1538769412971860064,NED,49.0,-134.566833496
1538769413017487040,588,1538769413015617824,NED,48.0,-134.566833496
1538769413075525760,589,1538769413068934432,NED,48.0,-142.126052856
1538769413145576032,590,1538769413140756960,NED,47.0,-142.126052856
1538769413212130528,591,1538769413210960384,NED,44.0,-142.126052856
1538769413240513728,592,1538769413237487968,NED,44.0,-142.126052856
1538769413317874944,593,1538769413315600576,NED,44.0,-146.252380371
1538769413332618112,594,1538769413331691328,NED,44.0,-146.252380371
1538769413420055712,595,1538769413419195136,NED,44.0,-146.252380371
1538769413450107264,596,1538769413448934368,NED,44.0,-146.252380371
1538769413494848896,597,1538769413493221504,NED,44.0,-146.252380371
1538769413532445056,598,1538769413529375008,NED,44.0,-146.252380371
1538769413620632192,599,1538769413619259104,NED,44.0,-146.252380371
1538769413658619360,600,1538769413656500512,NED,44.0,-150.851455688
1538769413723430624,601,1538769413721934656,NED,44.0,-150.851455688
1538769413735127456,602,1538769413734222464,NED,44.0,-150.851455688
1538769413810201216,603,1538769413807296480,NED,44.0,-150.851455688
1538769413879455904,604,1538769413878249120,NED,44.0,-150.851455688
1538769413908197088,605,1538769413907398176,NED,44.0,-150.851455688
1538769413929701248,606,1538769413928288768,NED,44.0,-150.851455688
1538769414003973984,607,1538769414003006592,NED,-10.0,-151.13293457
1538769414053756128,608,1538769414052472960,NED,-10.0,-151.13293457
1538769414100051712,609,1538769414097538208,NED,-10.0,-151.13293457
1538769414160274656,610,1538769414158757408,NED,-10.0,-151.13293457
1538769414214789472,611,1538769414213723392,NED,-10.0,-151.13293457
1538769414230532288,612,1538769414228671168,NED,-10.0,-151.13293457
1538769414300113728,613,1538769414296187136,NED,-10.0,-149.397613525
1538769414349200416,614,1538769414342509344,NED,-10.0,-149.397613525
1538769414404896608,615,1538769414404340928,NED,-10.0,-149.397613525
1538769414450890592,616,1538769414449937120,NED,-10.0,-149.397613525
1538769414496827392,617,1538769414495771104,NED,-10.0,-149.397613525
1538769414551859648,618,1538769414550512640,NED,-10.0,-149.397613525
1538769414608917824,619,1538769414606673312,NED,-10.0,-149.397613525
1538769414650630080,620,1538769414650012512,NED,-10.0,-152.209335327
1538769414704766496,621,1538769414704258208,NED,-10.0,-152.209335327
1538769414742872352,622,1538769414741889408,NED,-10.0,-152.209335327
1538769414809259968,623,1538769414808644480,NED,-10.0,-152.209335327
1538769414875940064,624,1538769414872270880,NED,-10.0,-152.209335327
1538769414915550816,625,1538769414912885344,NED,-10.0,-152.209335327
1538769414954112000,626,1538769414953153056,NED,-10.0,-152.209335327
1538769415008477312,627,1538769415007621504,NED,-10.0,-152.209335327
1538769415035681184,628,1538769415035016928,NED,-10.0,-156.750518799
1538769415086762720,629,1538769415084932800,NED,-10.0,-156.750518799
1538769415158443808,630,1538769415157651488,NED,-10.0,-156.750518799
1538769415219994464,631,1538769415218871872,NED,-10.0,-156.750518799
1538769415248450688,632,1538769415247630016,NED,-10.0,-156.750518799
1538769415299498304,633,1538769415297642784,NED,-10.0,-156.750518799
1538769415340874304,634,1538769415339116832,NED,-10.0,-156.750518799
1538769415382000096,635,1538769415378142784,NED,-10.0,-153.162368774
1538769415411057184,636,1538769415409434784,NED,-10.0,-153.162368774
1538769415513740960,637,1538769415512796352,NED,-10.0,-153.162368774
1538769415585370336,638,1538769415583601888,NED,-10.0,-153.162368774
1538769415617017952,639,1538769415615525728,NED,-10.0,-153.162368774
1538769415647828192,640,1538769415646682816,NED,-10.0,-153.162368774
1538769415701482464,641,1538769415698731840,NED,-10.0,-153.162368774
1538769415754105216,642,1538769415753048384,NED,-10.0,-147.95451355
1538769415818956832,643,1538769415815404576,NED,-10.0,-147.95451355
1538769415824963520,644,1538769415824128416,NED,-10.0,-147.95451355
1538769415938471616,645,1538769415937737216,NED,-10.0,-147.95451355
1538769416011739712,646,1538769416008885152,NED,-10.0,-147.95451355
1538769416056518688,647,1538769416053517536,NED,-10.0,-147.95451355
1538769416116452800,648,1538769416113363264,NED,-10.0,-147.95451355
1538769416155225312,649,1538769416152403008,NED,-10.0,-147.95451355
1538769416209053440,650,1538769416208551520,NED,-10.0,-147.95451355
