%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1538769413019996000,1129,1538769413019264416,,0.0,23.641620636,218,0.52999997139,396.449981689,3.19013595581
1538769413261258944,1130,1538769413260632256,,0.0,23.1404266357,213,0.509999990463,396.359985352,-0.697618305683
1538769413625564000,1131,1538769413625082880,,0.0,22.3277854919,209,0.360000014305,396.869995117,1.32021141052
1538769413973645408,1132,1538769413972859360,,0.0,21.6251506805,208,0.259999990463,397.5,2.68500161171
1538769414276448960,1133,1538769414275877760,,0.0,21.1230888367,210,0.20000000298,397.769989014,2.01283025742
1538769414615724992,1134,1538769414615386144,,0.0,20.5551204681,208,0.170000001788,397.970001221,1.10261166096
1538769415011853216,1135,1538769415011526784,,0.0,20.0461330414,203,0.219999998808,397.910003662,0.608349204063
1538769415350675904,1136,1538769415350368000,,0.0,19.8509407043,206,0.270000010729,397.479980469,-2.07280254364
1538769415709213408,1137,1538769415708031456,,0.0,19.9244022369,212,0.330000013113,396.720001221,-2.85416603088
1538769416233002752,1138,1538769416232697280,,0.0,20.5411720276,221,0.430000007153,395.359985352,-4.48902320862
1538769416534017344,1139,1538769416531781312,,0.0,21.1075572968,228,0.479999989271,394.410003662,-4.2915096283
1538769416895243232,1140,1538769416894683392,,0.0,21.8025417328,237,0.519999980927,393.380004883,-5.02332687378
1538769417377989184,1141,1538769417376784288,,0.0,22.8618144989,249,0.569999992847,392.149993896,-3.33860230446
1538769417780099104,1142,1538769417779365024,,0.0,23.4356708527,261,0.569999992847,391.630004883,-2.48376941681
1538769418153686144,1143,1538769418153310272,,0.0,23.6466674805,271,0.589999973774,391.489990234,-2.34440469742
1538769418460215808,1144,1538769418459759584,,0.0,23.7246131897,279,0.600000023842,391.649993896,0.0520133897662
1538769418851567936,1145,1538769418851095328,,0.0,23.6585483551,289,0.589999973774,392.079986572,0.872075617313
1538769419391446496,1146,1538769419387275616,,0.0,23.5035400391,302,0.569999992847,392.769989014,1.92052257061
1538769419674952704,1147,1538769419674679200,,0.0,23.3743209839,310,0.560000002384,393.149993896,1.36506164074
1538769420085526848,1148,1538769420085055840,,0.0,23.3108634949,320,0.560000002384,393.549987793,1.7543990612
1538769420429978432,1149,1538769420426642560,,0.0,23.3182582855,329,0.540000021458,393.739990234,-0.0527004301548
1538769420938402368,1150,1538769420937939104,,0.0,23.25938797,341,0.479999989271,393.869995117,0.51234126091
1538769421223301216,1151,1538769421223016928,,0.0,23.1330966949,346,0.449999988079,394.0,1.65690433979
1538769421710915072,1152,1538769421710485280,,0.0,22.8018474579,353,0.40000000596,394.329986572,1.9815659523
1538769422051154752,1153,1538769422050798912,,0.0,22.5382728577,356,0.379999995232,394.630004883,0.965802669525
1538769422458020608,1154,1538769422457693888,,0.0,22.2271633148,357,0.360000014305,394.989990234,0.445218086243
1538769422852214464,1155,1538769422851696960,,0.0,21.9700965881,356,0.34999999404,395.289978027,1.22079598904
1538769423218557632,1156,1538769423216504608,,0.0,21.7635707855,355,0.34999999404,395.449981689,0.884796619415
1538769423497859104,1157,1538769423497454720,,0.0,21.6537246704,353,0.370000004768,395.410003662,0.0193453021348
1538769423990844800,1158,1538769423990228704,,0.0,21.649356842,344,0.430000007153,394.850006104,-1.51720035076
1538769424404097024,1159,1538769424403261984,,0.0,21.7839221954,334,0.479999989271,394.100006104,-2.57771348953
1538769424771850368,1160,1538769424771526368,,0.0,21.89270401,324,0.52999997139,393.269989014,-3.32944464684
1538769425182350784,1161,1538769425181142048,,0.0,21.9451732635,310,0.569999992847,392.289978027,-4.29002666473
1538769425740884608,1162,1538769425740028960,,0.0,21.6747074127,290,0.629999995232,391.269989014,-3.42326140404
1538769426159093568,1163,1538769426158736512,,0.0,21.3171672821,277,0.639999985695,390.779998779,-3.12353253365
1538769426471759552,1164,1538769426471353888,,0.0,20.8632030487,266,0.610000014305,390.5,-2.76419496536
1538769426920193152,1165,1538769426919856192,,0.0,19.9730224609,257,0.560000002384,390.479980469,0.450898349285
1538769427380446816,1166,1538769427379286624,,0.0,18.8410949707,252,0.509999990463,391.279998779,2.42806696892
1538769427711104704,1167,1538769427710670912,,0.0,18.2552261353,253,0.479999989271,392.079986572,3.64559221268
1538769428359431584,1168,1538769428358982976,,0.0,17.4564418793,254,0.439999997616,393.389984131,3.62707161903
1538769428660785728,1169,1538769428660549792,,0.0,17.2989253998,256,0.430000007153,393.799987793,1.0727250576
1538769428979047040,1170,1538769428976669760,,0.0,17.1894798279,257,0.419999986887,393.949981689,1.51587116718
1538769429311163520,1171,1538769429309716224,,0.0,17.2260017395,258,0.439999997616,393.929992676,0.351050853729
