%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1538769532836126816,4976,1538769532835353120,base_link,37.37,0.0
1538769532939996128,4977,1538769532939575040,base_link,37.38,0.0
1538769533058694784,4978,1538769533058373248,base_link,37.37,0.0
1538769533167628384,4979,1538769533167214080,base_link,37.37,0.0
1538769533262726272,4980,1538769533262407392,base_link,37.37,0.0
1538769533362521888,4981,1538769533361853440,base_link,37.37,0.0
1538769533461700832,4982,1538769533461246656,base_link,37.37,0.0
1538769533591083296,4983,1538769533588075744,base_link,37.36,0.0
1538769533658221824,4984,1538769533657955168,base_link,37.36,0.0
1538769533772257952,4985,1538769533770855232,base_link,37.36,0.0
1538769533840655072,4986,1538769533840062048,base_link,37.36,0.0
1538769533946345888,4987,1538769533945523264,base_link,37.36,0.0
1538769534063016864,4988,1538769534062693088,base_link,37.36,0.0
1538769534202676640,4989,1538769534202184736,base_link,37.35,0.0
1538769534260842176,4990,1538769534258679872,base_link,37.36,0.0
1538769534412261888,4991,1538769534412008448,base_link,37.35,0.0
1538769534470209696,4992,1538769534469641216,base_link,37.35,0.0
1538769534559313632,4993,1538769534558968864,base_link,37.35,0.0
1538769534713229184,4994,1538769534712209536,base_link,37.34,0.0
1538769534803977376,4995,1538769534803555008,base_link,37.35,0.0
1538769534850792352,4996,1538769534850561088,base_link,37.34,0.0
1538769534944462208,4997,1538769534944238432,base_link,37.34,0.0
1538769535074502080,4998,1538769535073375744,base_link,37.34,0.0
1538769535189225472,4999,1538769535185211936,base_link,37.34,0.0
1538769535264418624,5000,1538769535264163072,base_link,37.34,0.0
1538769535348794944,5001,1538769535348478528,base_link,37.34,0.0
1538769535455879968,5002,1538769535448041440,base_link,37.33,0.0
1538769535562165440,5003,1538769535561508448,base_link,37.33,0.0
1538769535641728064,5004,1538769535641493568,base_link,37.33,0.0
1538769535766990304,5005,1538769535765853376,base_link,37.33,0.0
1538769535834087328,5006,1538769535833742784,base_link,37.33,0.0
