%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1538769533066219104,5247,1538769533065185312,1,1,1472,146.299531,141.032542,50.0,-15.4215922901,4.2631550802,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533086959616,5248,1538769533086299680,1,1,1472,146.299531,141.032542,50.0,-15.4215922901,4.2631550802,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533106814144,5249,1538769533105146656,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533126019296,5250,1538769533125337760,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533146505568,5251,1538769533145211776,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533166607680,5252,1538769533165513344,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533192425984,5253,1538769533186434848,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533206349504,5254,1538769533205217952,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533225951456,5255,1538769533225248736,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533246441504,5256,1538769533245204672,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533265950016,5257,1538769533265212000,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533285942240,5258,1538769533285164480,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533305805056,5259,1538769533305206944,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533325714784,5260,1538769533325168768,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533346138976,5261,1538769533345203584,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533366198016,5262,1538769533365419552,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533386325696,5263,1538769533385177024,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533406273248,5264,1538769533405243328,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533426253920,5265,1538769533425411776,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533446193728,5266,1538769533445249792,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533466200640,5267,1538769533465263936,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533487320864,5268,1538769533485346144,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533505651616,5269,1538769533505149920,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533525616384,5270,1538769533525143488,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533548799200,5271,1538769533546680032,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533565714304,5272,1538769533565212384,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
1538769533586235072,5273,1538769533585266304,1,1,1472,-164.947034,-31.697651,50.0,-15.6569541546,-3.29541903254,-0.0,0.0,0.0,0.0,0.0,0.0
