%time,field.data
1538770024743298528,1
1538770025247898720,1
1538770025745109440,1
1538770026242738432,1
1538770026758377504,1
1538770027241072640,1
1538770027739359040,1
1538770028240633248,1
1538770028744427584,1
1538770029240231168,1
1538770029739107392,1
1538770030243143008,1
1538770030738698464,1
1538770031239867808,1
1538770031739271008,1
1538770032248743040,1
1538770032740324160,1
1538770033241157440,1
1538770033740075072,1
1538770034247107680,1
1538770034740470720,1
1538770035243517600,1
1538770035749293856,1
1538770036242578336,1
1538770036746955936,1
1538770037242898848,1
1538770037741024064,1
1538770038239383840,1
1538770038745149920,1
1538770039240934080,1
1538770039741593760,1
1538770040241131904,1
1538770040741887488,1
1538770041242000832,1
1538770041746703360,1
