%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1538769975790313440,3996,1538769975788954112,map,18.5461292267,-10.2124080658,1.99919462204,0.208903491497,-0.0428329072893,0.211037695408
1538769975990442400,3997,1538769975987118944,map,18.7175369263,-9.42930984497,1.74297678471,0.208903491497,-0.0428329072893,0.211037695408
1538769976262837728,3998,1538769976260447552,map,18.5545940399,-8.69956016541,1.50670015812,0.454539299011,-0.0468041822314,-0.209929659963
1538769976492851040,3999,1538769976490756576,map,18.3133068085,-8.09360694885,1.58008897305,-1.17335617542,-0.0788113176823,0.298958688974
1538769976773817984,4000,1538769976772365760,map,18.5389518738,-6.5118803978,1.66859769821,-1.17335617542,-0.0788113176823,0.298958688974
1538769977022162368,4001,1538769977021381344,map,18.9269561768,-4.94004774094,1.53024458885,-0.754648149014,-0.0756141617894,0.0507732927799
1538769977250778624,4002,1538769977249035872,map,19.2944526672,-3.25164532661,1.28025770187,-0.754648149014,-0.0756141617894,0.0507732927799
1538769977510958208,4003,1538769977509403232,map,19.5521030426,-1.69281291962,0.979214191437,0.0208502728492,-0.123678401113,0.343125462532
1538769977744598400,4004,1538769977743894208,map,19.7580013275,-0.0222254116088,0.355461329222,0.0208502728492,-0.123678401113,0.343125462532
1538769978001051008,4005,1538769978000302240,map,19.8873958588,1.52434456348,-0.0965007245541,-0.0887029990554,-0.123960420489,0.246052101254
1538769978262240032,4006,1538769978261355872,map,19.9376182556,3.40547418594,-0.686184465885,-0.0516172535717,-0.141959473491,0.260172843933
1538769978489800672,4007,1538769978488950976,map,19.8939628601,4.90403223038,-1.19716978073,-0.0516172535717,-0.141959473491,0.260172843933
1538769978751359360,4008,1538769978749217696,map,19.7383213043,6.62814950943,-1.78948259354,-0.0383582562208,-0.193555131555,0.284994900227
