%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.des_x,field.des_y,field.des_z,field.meas_x,field.meas_y,field.meas_z
1538769975613976640,3406,1538769975613137600,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-11.1709976196,18.1506614685,-2.03865027428
1538769975636405280,3407,1538769975635438880,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-10.9876527786,18.2523460388,-2.03936076164
1538769975679181408,3408,1538769975678406976,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-10.7809858322,18.3463401794,-2.07435488701
1538769975751017376,3409,1538769975750449216,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-10.3872566223,18.4911079407,-2.07994437218
1538769975819563456,3410,1538769975818269152,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-10.1294317245,18.5746231079,-1.9756103754
1538769975874369760,3411,1538769975871311776,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-9.83408069611,18.6559829712,-1.97166287899
1538769975915647040,3412,1538769975914171936,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-9.65961933136,18.6899909973,-1.90381777287
1538769975981472128,3413,1538769975980988192,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-9.42930984497,18.7175369263,-1.74297678471
1538769976040527712,3414,1538769976039543744,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-9.22608089447,18.7243061066,-1.61606156826
1538769976086416448,3415,1538769976085306336,NED,5,16.0,-0.00220400001854,1.95943496414e-15,-9.11295223236,18.711763382,-1.54576420784
1538769976137487776,3416,1538769976136863808,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-8.95284843445,18.6823272705,-1.48869943619
1538769976196638592,3417,1538769976196219072,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-8.84555053711,18.6516494751,-1.48958718777
1538769976220282912,3418,1538769976219554336,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-8.76798820496,18.609790802,-1.48582696915
1538769976289422464,3419,1538769976288770688,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-8.62334156036,18.4952812195,-1.54246199131
1538769976314406720,3420,1538769976313513760,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-8.58870029449,18.469171524,-1.54852259159
1538769976450070592,3421,1538769976446581600,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-8.29749584198,18.3392333984,-1.60719156265
1538769976477483296,3422,1538769976476903200,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-8.16029453278,18.3175430298,-1.60158920288
1538769976520975552,3423,1538769976520320512,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-8.01442813873,18.3120956421,-1.57761192322
1538769976606487104,3424,1538769976605453344,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-7.64817380905,18.3279361725,-1.57530105114
1538769976656855392,3425,1538769976655870528,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-7.31933879852,18.3748683929,-1.59735834599
1538769976708790784,3426,1538769976703014752,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-7.06462574005,18.4199352264,-1.62313461304
1538769976718502144,3427,1538769976714863904,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-6.93150663376,18.4468097687,-1.63648462296
1538769976815090176,3428,1538769976807991872,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-6.36919403076,18.5736865997,-1.67396819592
1538769976830654176,3429,1538769976820484576,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-6.22226953506,18.6097888947,-1.67783427238
1538769976920569536,3430,1538769976919828704,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-5.48012542725,18.7947788239,-1.6285187006
1538769977016090400,3431,1538769977015061120,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-4.94004774094,18.9269561768,-1.53024458885
1538769977039166176,3432,1538769977038177728,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-4.81036281586,18.9604244232,-1.50544726849
1538769977073325888,3433,1538769977072798592,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-4.42594432831,19.0533771515,-1.43599331379
1538769977138698400,3434,1538769977138172096,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-4.03320646286,19.1400966644,-1.38505136967
1538769977214336064,3435,1538769977213471936,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-3.51571249962,19.2425098419,-1.31207060814
1538769977305311808,3436,1538769977304497952,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.98784470558,19.3422489166,-1.24379074574
1538769977331568832,3437,1538769977329937504,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.72931647301,19.386724472,-1.19595336914
1538769977393251648,3438,1538769977388540800,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.46868395805,19.4277496338,-1.14978301525
1538769977430120768,3439,1538769977429388896,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.21584558487,19.4713478088,-1.09308314323
1538769977505908384,3440,1538769977505364128,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-1.69281291962,19.5521030426,-0.979214191437
1538769977535149440,3441,1538769977534886016,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-1.43045127392,19.588142395,-0.91463470459
1538769977599540800,3442,1538769977596278848,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-1.04254341125,19.6402130127,-0.7933614254
1538769977630836576,3443,1538769977630470592,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.794032633305,19.6739044189,-0.684818387032
1538769977700319200,3444,1538769977699829344,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.410343468189,19.7186393738,-0.518728971481
1538769977724897088,3445,1538769977723988192,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.285719275475,19.7300777435,-0.459239393473
1538769977842283648,3446,1538769977841590432,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.530457019806,19.818605423,-0.171354830265
1538769977891736800,3447,1538769977891012000,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.828647077084,19.8467769623,-0.104488313198
1538769977941142080,3448,1538769977940366944,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.25796544552,19.8747997284,0.00443252036348
1538769977991305024,3449,1538769977990662944,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.52434456348,19.8873958588,0.0965007245541
1538769978031368032,3450,1538769978031043552,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.92709612846,19.9090270996,0.226275339723
1538769978077987872,3451,1538769978077511168,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.17424702644,19.9169139862,0.319557964802
1538769978128895744,3452,1538769978127931680,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.57442212105,19.9272842407,0.435962349176
1538769978203713216,3453,1538769978202928832,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.98253059387,19.9335803986,0.558923125267
1538769978241217696,3454,1538769978239691680,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.26038408279,19.9378547668,0.644434988499
1538769978271911936,3455,1538769978271181440,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.54026412964,19.9376602173,0.729801595211
1538769978342516032,3456,1538769978341731424,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.96794772148,19.937297821,0.844961106777
1538769978378519808,3457,1538769978377784448,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,4.24694108963,19.9291706085,0.935114204884
1538769978421864576,3458,1538769978420025440,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,4.5090470314,19.9182739258,1.03799438477
1538769978484910208,3459,1538769978483943936,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,4.90403223038,19.8939628601,1.19716978073
1538769978511855008,3460,1538769978509841760,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,5.16906738281,19.8765602112,1.29665744305
1538769978611765152,3461,1538769978597303520,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,5.59037828445,19.8429031372,1.42376422882
1538769978619860448,3462,1538769978617613408,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,5.8478102684,19.8221111298,1.51427054405
1538769978729586528,3463,1538769978726278048,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,6.49545764923,19.7539787292,1.74954617023
1538769978781550176,3464,1538769978779064992,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,6.9021396637,19.7015838623,1.87897741795
1538769978802051776,3465,1538769978799089440,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,7.02693080902,19.6862220764,1.92054355145
1538769978835835232,3466,1538769978835162240,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,7.32703876495,19.6442527771,1.98608028889
1538769978902168736,3467,1538769978899448928,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,7.79180431366,19.5767459869,2.06612181664
1538769978928405888,3468,1538769978919438880,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,7.95425844193,19.5527153015,2.08846139908
1538769979005380416,3469,1538769979004561600,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,8.59949398041,19.445186615,2.16502737999
1538769979040775008,3470,1538769979040160864,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,8.74736404419,19.4172534943,2.19197392464
1538769979099157152,3471,1538769979098701312,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.31411457062,19.2924537659,2.33677506447
1538769979132454048,3472,1538769979131964544,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.43572330475,19.2626094818,2.37678742409
1538769979159907424,3473,1538769979159415296,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.6856098175,19.1998195648,2.46159291267
1538769979206249984,3474,1538769979205803424,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.95320415497,19.1335391998,2.54207348824
1538769979255941344,3475,1538769979254982752,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.360666275,19.0231685638,2.63844347
1538769979344509728,3476,1538769979343991840,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.9088010788,18.8629608154,2.73465538025
1538769979362039808,3477,1538769979361017856,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.0502300262,18.819355011,2.75660324097
1538769979399906304,3478,1538769979397311360,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.3343038559,18.7298126221,2.78730583191
1538769979494943936,3479,1538769979494343104,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.0000276566,18.4959411621,2.88402748108
1538769979557278144,3480,1538769979556562656,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.4284124374,18.3347187042,2.94263935089
1538769979603295584,3481,1538769979599507424,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.7425403595,18.2136249542,2.94834017754
1538769979657177152,3482,1538769979655262720,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.2563915253,18.008441925,2.90623903275
1538769979706469408,3483,1538769979705161280,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.8086996078,17.7761821747,2.8360517025
1538769979764188384,3484,1538769979762499072,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.1825752258,17.6098232269,2.77704167366
1538769979806001408,3485,1538769979805446912,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.5653076172,17.430809021,2.70627713203
1538769979905452192,3486,1538769979904835488,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,15.5304317474,16.9401817322,2.52503824234
1538769979957777376,3487,1538769979957340064,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,16.0976886749,16.6249027252,2.43795585632
1538769979984349216,3488,1538769979980259360,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,16.279630661,16.5192947388,2.41493391991
1538769980073814624,3489,1538769980072829952,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,17.1675052643,15.9622373581,2.33666324615
1538769980152580864,3490,1538769980151939264,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,17.6534175873,15.6276597977,2.3313498497
1538769980197763136,3491,1538769980195762976,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,18.181842804,15.2431030273,2.25917601585
1538769980227202592,3492,1538769980226132800,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,18.3481769562,15.1143169403,2.23741650581
1538769980305096320,3493,1538769980302191040,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,19.0065631866,14.5873651505,2.1287381649
