%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1538769975615705696,3089,1538769975615253536,,1500,1496,1604,1427,1562,1562,1500,1926
1538769975896444928,3090,1538769975895964480,,1500,1500,1420,1452,1572,1572,1500,1926
1538769976148004032,3091,1538769976147717504,,1500,1506,1396,1448,1553,1553,1500,1926
1538769976531527392,3092,1538769976531043680,,1500,1496,1460,1414,1400,1400,1500,1926
1538769976923908064,3093,1538769976923455264,,1500,1488,1532,1479,1457,1457,1500,1926
1538769977311993088,3094,1538769977308625344,,1500,1506,1524,1484,1468,1468,1500,1926
1538769977702044768,3095,1538769977701660992,,1500,1500,1492,1486,1471,1471,1500,1926
1538769978001734048,3096,1538769978001365280,,1500,1498,1476,1487,1474,1474,1500,1926
1538769978345260576,3097,1538769978345082336,,1500,1494,1476,1489,1478,1478,1500,1926
1538769978611826720,3098,1538769978597871296,,1500,1488,1484,1490,1480,1480,1500,1926
1538769978902759072,3099,1538769978899999872,,1500,1484,1484,1489,1478,1478,1500,1926
1538769979207178272,3100,1538769979206943712,,1500,1479,1500,1489,1477,1477,1500,1926
1538769979578585056,3101,1538769979576725888,,1500,1471,1516,1487,1474,1474,1500,1926
1538769979907823232,3102,1538769979907424640,,1500,1464,1540,1491,1482,1482,1500,1926
1538769980244078176,3103,1538769980243853856,,1500,1458,1572,1493,1485,1485,1500,1926
1538769980578353408,3104,1538769980576569696,,1500,1459,1572,1491,1482,1482,1500,1926
1538769980908427712,3105,1538769980907355264,,1500,1460,1580,1491,1482,1482,1500,1926
1538769981239763392,3106,1538769981236007136,,1500,1464,1580,1490,1479,1479,1500,1926
1538769981622460096,3107,1538769981621706656,,1500,1471,1580,1487,1474,1474,1500,1926
1538769982025289952,3108,1538769982024901216,,1500,1467,1588,1491,1482,1482,1500,1926
1538769982332175232,3109,1538769982331945056,,1500,1471,1588,1491,1481,1481,1500,1926
1538769982620493760,3110,1538769982619999392,,1500,1472,1580,1489,1478,1478,1500,1926
1538769982921021184,3111,1538769982920627552,,1500,1471,1572,1489,1478,1478,1500,1926
1538769983260581984,3112,1538769983257061600,,1500,1474,1564,1503,1507,1507,1500,1926
1538769983548550592,3113,1538769983547869376,,1500,1481,1548,1513,1526,1526,1500,1926
1538769983841875552,3114,1538769983841638336,,1500,1484,1540,1529,1558,1558,1500,1926
1538769984146644864,3115,1538769984146421696,,1500,1493,1524,1537,1575,1575,1500,1926
1538769984544391584,3116,1538769984543730592,,1500,1502,1500,1535,1571,1571,1500,1926
1538769984824286688,3117,1538769984823925696,,1500,1507,1484,1531,1562,1562,1500,1926
1538769985153681984,3118,1538769985153231072,,1500,1510,1476,1521,1543,1543,1500,1926
1538769985555232544,3119,1538769985553904032,,1500,1512,1460,1508,1516,1516,1500,1926
1538769985893338816,3120,1538769985893105056,,1500,1512,1452,1501,1502,1502,1500,1926
1538769986198156032,3121,1538769986197757376,,1500,1511,1444,1499,1497,1497,1500,1926
1538769986474117824,3122,1538769986473818464,,1500,1507,1436,1495,1489,1489,1500,1926
1538769986798824064,3123,1538769986798451968,,1500,1502,1436,1495,1490,1490,1500,1926
1538769987104566784,3124,1538769987104363360,,1500,1500,1444,1500,1499,1499,1500,1926
1538769987398329664,3125,1538769987397210432,,1500,1496,1444,1507,1515,1515,1500,1926
1538769987776453056,3126,1538769987776124256,,1500,1492,1444,1517,1534,1534,1500,1926
1538769988146957856,3127,1538769988146390080,,1500,1489,1452,1511,1522,1522,1500,1926
1538769988416250592,3128,1538769988415907680,,1500,1485,1452,1520,1541,1541,1500,1926
1538769988691276064,3129,1538769988688966816,,1500,1478,1460,1526,1552,1552,1500,1926
1538769989110032256,3130,1538769989109816096,,1500,1471,1492,1512,1524,1524,1500,1926
1538769989477470496,3131,1538769989477327840,,1500,1468,1500,1511,1522,1522,1500,1926
1538769989844232896,3132,1538769989844097152,,1500,1464,1508,1506,1513,1513,1500,1926
1538769990233984800,3133,1538769990233576352,,1500,1454,1524,1502,1505,1505,1500,1926
1538769990512396768,3134,1538769990502606048,,1500,1452,1532,1501,1503,1503,1500,1926
1538769990974470176,3135,1538769990974121600,,1500,1446,1556,1500,1500,1500,1500,1926
1538769991281603680,3136,1538769991280197632,,1500,1439,1564,1500,1499,1499,1500,1926
1538769991683247456,3137,1538769991682964768,,1500,1441,1564,1500,1500,1500,1500,1926
1538769992020705632,3138,1538769992020476704,,1500,1437,1580,1494,1488,1488,1500,1926
1538769992306207424,3139,1538769992304442432,,1500,1441,1588,1494,1488,1488,1500,1926
1538769992599808224,3140,1538769992598398080,,1500,1448,1580,1496,1492,1492,1500,1926
1538769992956809216,3141,1538769992956511392,,1500,1439,1572,1495,1490,1490,1500,1926
1538769993327376704,3142,1538769993324332192,,1500,1444,1564,1498,1496,1496,1500,1926
1538769993721130816,3143,1538769993720533248,,1500,1466,1540,1500,1501,1501,1500,1926
1538769994109368800,3144,1538769994107963424,,1500,1460,1540,1493,1485,1485,1500,1926
1538769994468855488,3145,1538769994466345888,,1500,1456,1540,1492,1484,1484,1500,1926
1538769994916547584,3146,1538769994916232704,,1500,1449,1532,1498,1495,1495,1500,1926
1538769995263035520,3147,1538769995259952000,,1500,1447,1532,1501,1503,1503,1500,1926
1538769995508923200,3148,1538769995506087392,,1500,1443,1548,1495,1489,1489,1500,1926
1538769995921670720,3149,1538769995921443936,,1500,1449,1556,1478,1455,1455,1500,1926
1538769996172252672,3150,1538769996172005984,,1500,1456,1548,1472,1444,1444,1500,1926
1538769996488228864,3151,1538769996487422848,,1500,1464,1540,1461,1421,1421,1500,1926
1538769996799992000,3152,1538769996799710688,,1500,1478,1524,1456,1412,1412,1500,1926
1538769997140225632,3153,1538769997140017792,,1500,1494,1492,1457,1413,1413,1500,1926
1538769997502890112,3154,1538769997502639712,,1500,1506,1476,1561,1622,1622,1500,1926
1538769997835734944,3155,1538769997835380256,,1500,1503,1468,1538,1576,1576,1500,1926
1538769998153734592,3156,1538769998153454144,,1500,1497,1468,1522,1544,1544,1500,1926
1538769998388534528,3157,1538769998387173600,,1500,1494,1468,1520,1540,1540,1500,1926
1538769998760592768,3158,1538769998760168160,,1500,1478,1476,1515,1530,1530,1500,1926
1538769999052305984,3159,1538769999052061504,,1500,1459,1500,1507,1514,1514,1500,1926
1538769999414814624,3160,1538769999414546464,,1500,1441,1532,1496,1491,1491,1500,1926
1538769999787412448,3161,1538769999787169504,,1500,1440,1580,1491,1482,1482,1500,1926
1538770000116639328,3162,1538770000116414560,,1500,1434,1596,1494,1487,1487,1500,1926
1538770000490222560,3163,1538770000489284000,,1500,1408,1636,1486,1471,1471,1500,1926
1538770000765448864,3164,1538770000765131488,,1500,1417,1644,1491,1481,1481,1500,1926
1538770001004434528,3165,1538770001004223072,,1500,1428,1644,1489,1478,1478,1500,1926
1538770001367346816,3166,1538770001366343296,,1500,1444,1652,1489,1478,1478,1500,1926
1538770001626636224,3167,1538770001626259776,,1500,1450,1636,1493,1485,1485,1500,1926
1538770001851736064,3168,1538770001851255584,,1500,1452,1620,1494,1487,1487,1500,1926
1538770002148651840,3169,1538770002148353408,,1500,1455,1612,1489,1478,1478,1500,1926
1538770002506969568,3170,1538770002505814912,,1500,1465,1588,1480,1459,1459,1500,1926
1538770002812526080,3171,1538770002811389120,,1500,1475,1556,1472,1444,1444,1500,1926
1538770003155614848,3172,1538770003155366944,,1500,1481,1508,1463,1426,1426,1500,1926
1538770003513495456,3173,1538770003513272224,,1500,1492,1476,1457,1414,1414,1500,1926
1538770003790273536,3174,1538770003787536224,,1500,1505,1444,1456,1412,1412,1500,1926
1538770004096308864,3175,1538770004093616128,,1500,1511,1404,1464,1427,1427,1500,1926
1538770004353303008,3176,1538770004351996288,,1500,1514,1380,1448,1396,1396,1500,1926
1538770004616630880,3177,1538770004616359904,,1500,1513,1372,1447,1392,1392,1500,1926
1538770004903700608,3178,1538770004901974176,,1500,1506,1364,1446,1392,1392,1500,1926
1538770005183295616,3179,1538770005182969536,,1500,1493,1380,1462,1424,1424,1500,1926
1538770005492177504,3180,1538770005491878976,,1500,1480,1396,1472,1443,1443,1500,1926
1538770005795533856,3181,1538770005795208480,,1500,1464,1420,1480,1460,1460,1500,1926
1538770006194322112,3182,1538770006194042336,,1500,1449,1460,1486,1472,1472,1500,1926
1538770006454392672,3183,1538770006452374304,,1500,1444,1492,1489,1478,1478,1500,1926
1538770006784050752,3184,1538770006783825376,,1500,1439,1516,1503,1506,1506,1500,1926
1538770007231235424,3185,1538770007230244928,,1500,1446,1532,1532,1564,1564,1500,1926
1538770007471756448,3186,1538770007471542496,,1500,1455,1524,1544,1588,1588,1500,1926
1538770007856225824,3187,1538770007855903520,,1500,1477,1500,1557,1615,1615,1500,1926
1538770008236015456,3188,1538770008235542272,,1500,1494,1476,1550,1601,1601,1500,1926
1538770008547255872,3189,1538770008545856672,,1500,1501,1468,1532,1564,1564,1500,1926
1538770008800735584,3190,1538770008800512672,,1500,1501,1460,1518,1536,1536,1500,1926
1538770009101011904,3191,1538770009100529984,,1500,1501,1460,1506,1513,1513,1500,1926
1538770009405885760,3192,1538770009405412256,,1500,1497,1460,1500,1500,1500,1500,1926
1538770009705112160,3193,1538770009702597184,,1500,1491,1468,1496,1491,1491,1500,1926
1538770010000608800,3194,1538770010000364064,,1500,1487,1476,1488,1476,1476,1500,1926
1538770010353137792,3195,1538770010346001504,,1500,1486,1484,1477,1453,1453,1500,1926
1538770010648904928,3196,1538770010646661120,,1500,1486,1484,1475,1449,1449,1500,1926
1538770011068744224,3197,1538770011067083264,,1500,1487,1484,1474,1447,1447,1500,1926
1538770011324376704,3198,1538770011324033504,,1500,1490,1484,1476,1451,1451,1500,1926
1538770011662580992,3199,1538770011662235072,,1500,1494,1484,1481,1461,1461,1500,1926
1538770012064905376,3200,1538770012064650112,,1500,1499,1476,1491,1481,1481,1500,1926
1538770012372204416,3201,1538770012371035968,,1500,1500,1468,1491,1482,1482,1500,1926
1538770012655993952,3202,1538770012655100928,,1500,1504,1460,1495,1489,1489,1500,1926
1538770013092715072,3203,1538770013090768608,,1500,1505,1452,1502,1504,1504,1500,1926
1538770013459686784,3204,1538770013459232480,,1500,1501,1452,1499,1497,1497,1500,1926
1538770013842870048,3205,1538770013841901760,,1500,1501,1452,1498,1495,1495,1500,1926
1538770014202892192,3206,1538770014201151712,,1500,1498,1452,1503,1506,1506,1500,1926
1538770014639061760,3207,1538770014638123968,,1500,1496,1460,1503,1506,1506,1500,1926
1538770014932942400,3208,1538770014932593696,,1500,1496,1460,1497,1494,1494,1500,1926
1538770015304731488,3209,1538770015304460096,,1500,1497,1468,1498,1495,1495,1500,1926
1538770015594378720,3210,1538770015594200992,,1500,1499,1468,1493,1486,1486,1500,1926
1538770015938698368,3211,1538770015938219616,,1500,1500,1460,1494,1487,1487,1500,1926
1538770016206718880,3212,1538770016202392128,,1500,1500,1468,1494,1488,1488,1500,1926
1538770016599366848,3213,1538770016599056640,,1500,1501,1468,1495,1490,1490,1500,1926
1538770017045477888,3214,1538770017045248672,,1500,1503,1468,1495,1489,1489,1500,1926
1538770017286549920,3215,1538770017285902624,,1500,1504,1468,1498,1496,1496,1500,1926
1538770017639021632,3216,1538770017638481664,,1500,1503,1468,1503,1506,1506,1500,1926
1538770017953213152,3217,1538770017953017856,,1500,1500,1468,1503,1507,1507,1500,1926
1538770018294676128,3218,1538770018294046464,,1500,1496,1476,1500,1501,1501,1500,1926
1538770018588770080,3219,1538770018587045248,,1500,1494,1476,1499,1498,1498,1500,1926
1538770019018759104,3220,1538770019018349120,,1500,1492,1484,1497,1494,1494,1500,1926
1538770019362351104,3221,1538770019361658112,,1500,1490,1492,1496,1492,1492,1500,1926
1538770019727812032,3222,1538770019723204000,,1500,1490,1492,1492,1483,1483,1500,1926
1538770020042890176,3223,1538770020042693536,,1500,1491,1500,1492,1484,1484,1500,1926
1538770020443160288,3224,1538770020442978144,,1500,1491,1500,1490,1480,1480,1500,1926
1538770020751966464,3225,1538770020751058752,,1500,1492,1508,1494,1487,1487,1500,1926
1538770021100414464,3226,1538770021100094208,,1500,1493,1508,1496,1492,1492,1500,1926
1538770021490895776,3227,1538770021490565888,,1500,1492,1508,1497,1493,1493,1500,1926
1538770021811117376,3228,1538770021810557024,,1500,1492,1508,1495,1489,1489,1500,1926
1538770022089423296,3229,1538770022089161728,,1500,1494,1508,1492,1484,1484,1500,1926
1538770022489120960,3230,1538770022487533120,,1500,1496,1508,1502,1504,1504,1500,1926
1538770022770269632,3231,1538770022770067072,,1500,1494,1500,1504,1508,1508,1500,1926
1538770023060646624,3232,1538770023060320800,,1500,1492,1500,1499,1497,1497,1500,1926
1538770023411310432,3233,1538770023409828288,,1500,1495,1500,1500,1501,1501,1500,1926
1538770023739252672,3234,1538770023736662272,,1500,1495,1492,1504,1508,1508,1500,1926
1538770024175634048,3235,1538770024175191424,,1500,1493,1492,1501,1502,1502,1500,1926
1538770024435650368,3236,1538770024429811616,,1500,1492,1484,1503,1507,1507,1500,1926
1538770024745520928,3237,1538770024745114080,,1500,1489,1292,1506,1512,1512,1500,1926
1538770025051811712,3238,1538770025051580128,,1500,1489,1100,1497,1494,1494,1500,1926
1538770025338023136,3239,1538770025336930912,,1500,1511,1100,1489,1478,1478,1500,1926
1538770025649555776,3240,1538770025647892704,,1500,1510,1100,1504,1509,1509,1500,1926
1538770025875525984,3241,1538770025875128800,,1500,1508,1100,1519,1538,1538,1500,1926
1538770026207228864,3242,1538770026206621280,,1500,1493,1100,1520,1541,1541,1500,1926
1538770026573268160,3243,1538770026572980960,,1500,1473,1100,1530,1560,1560,1500,1926
1538770026843034496,3244,1538770026842842080,,1500,1452,1100,1519,1539,1539,1500,1926
1538770027131997152,3245,1538770027131594944,,1500,1432,1100,1507,1515,1515,1500,1926
1538770027445960800,3246,1538770027445558624,,1500,1435,1100,1509,1518,1518,1500,1926
1538770027809940544,3247,1538770027809475872,,1500,1435,1100,1512,1524,1524,1500,1926
1538770028164817888,3248,1538770028164604192,,1500,1428,1100,1507,1514,1514,1500,1926
1538770028484713856,3249,1538770028484286240,,1500,1422,1100,1498,1496,1496,1500,1926
1538770028806117472,3250,1538770028805906880,,1500,1424,1100,1502,1505,1505,1500,1926
1538770029086108704,3251,1538770029085727968,,1500,1420,1100,1497,1494,1494,1500,1926
1538770029445261536,3252,1538770029444957376,,1500,1409,1100,1483,1465,1465,1500,1926
1538770029690463232,3253,1538770029689990880,,1500,1408,1100,1487,1474,1474,1500,1926
1538770029949113024,3254,1538770029948795776,,1500,1407,1100,1491,1482,1482,1500,1926
1538770030249789536,3255,1538770030249234208,,1500,1404,1100,1488,1476,1476,1500,1926
1538770030602613152,3256,1538770030602343744,,1500,1404,1100,1491,1482,1482,1500,1926
1538770030949961504,3257,1538770030949659456,,1500,1408,1100,1499,1497,1497,1500,1926
1538770031285682624,3258,1538770031285263360,,1500,1407,1100,1503,1506,1506,1500,1926
1538770031726581760,3259,1538770031726351712,,1500,1396,1100,1496,1491,1491,1500,1926
1538770032053105664,3260,1538770032050146432,,1500,1389,1100,1491,1481,1481,1500,1926
1538770032376624928,3261,1538770032376160672,,1500,1392,1100,1487,1474,1474,1500,1926
1538770032674730816,3262,1538770032673834720,,1500,1394,1100,1469,1438,1438,1500,1926
1538770032960195296,3263,1538770032959790336,,1500,1409,1100,1451,1401,1401,1500,1926
1538770033392892480,3264,1538770033392546880,,1500,1436,1100,1438,1375,1375,1500,1926
1538770033622177472,3265,1538770033621272032,,1500,1448,1100,1428,1356,1356,1500,1926
1538770033935979776,3266,1538770033935659776,,1500,1459,1100,1426,1352,1352,1500,1926
1538770034242878528,3267,1538770034240187232,,1500,1466,1100,1435,1368,1368,1500,1926
1538770034645419072,3268,1538770034643527904,,1500,1459,1100,1449,1398,1398,1500,1926
1538770034996295104,3269,1538770034995971584,,1500,1440,1100,1467,1434,1434,1500,1926
1538770035372724768,3270,1538770035372379328,,1500,1417,1100,1479,1458,1458,1500,1926
1538770035744040032,3271,1538770035741786016,,1500,1409,1100,1488,1475,1475,1500,1926
1538770036109013216,3272,1538770036108623264,,1500,1403,1100,1507,1514,1514,1500,1926
1538770036487984096,3273,1538770036487071488,,1500,1423,1100,1548,1597,1597,1500,1926
1538770036860567808,3274,1538770036859912544,,1500,1439,1100,1568,1637,1637,1500,1926
1538770037261469920,3275,1538770037258053568,,1500,1447,1100,1580,1660,1660,1500,1926
1538770037594053216,3276,1538770037591935424,,1500,1448,1100,1571,1643,1643,1500,1926
1538770037918995840,3277,1538770037918734560,,1500,1444,1100,1555,1611,1611,1500,1926
1538770038251202624,3278,1538770038250689056,,1500,1414,1100,1532,1564,1564,1500,1926
1538770038586988256,3279,1538770038586643744,,1500,1385,1100,1519,1538,1538,1500,1926
1538770038931420032,3280,1538770038931241792,,1500,1358,1100,1507,1514,1514,1500,1926
1538770039191502240,3281,1538770039191300288,,1500,1344,1100,1503,1507,1507,1500,1926
1538770039520349024,3282,1538770039519985952,,1500,1339,1100,1509,1518,1518,1500,1926
1538770039822735328,3283,1538770039820049728,,1500,1334,1100,1517,1535,1535,1500,1926
1538770040212336160,3284,1538770040211913952,,1500,1331,1100,1524,1549,1549,1500,1926
1538770040485040928,3285,1538770040484646240,,1500,1331,1100,1526,1553,1553,1500,1926
1538770040869454976,3286,1538770040868938048,,1500,1335,1100,1513,1527,1527,1500,1926
1538770041241437856,3287,1538770041240353504,,1500,1344,1100,1495,1490,1490,1500,1926
1538770041507273504,3288,1538770041506328032,,1500,1357,1100,1495,1489,1489,1500,1926
1538770041920265280,3289,1538770041920029664,,1500,1342,1100,1502,1505,1505,1500,1926
