%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1538769499371700928,181,1538769499359149632,NED,15.0,0.0
1538769499390184384,182,1538769499389649184,NED,15.0,0.0
1538769499469229824,183,1538769499467246912,NED,15.0,0.0
1538769499498442656,184,1538769499496641728,NED,15.0,0.0
1538769499567995520,185,1538769499567620128,NED,15.0,0.0
1538769499602169312,186,1538769499600606528,NED,16.0,0.0
1538769499653726528,187,1538769499653167232,NED,16.0,0.0
1538769499689700384,188,1538769499689386272,NED,16.0,0.0
1538769499743104352,189,1538769499742492448,NED,16.0,0.0
1538769499836418560,190,1538769499836022816,NED,16.0,0.0
1538769499854936064,191,1538769499851880192,NED,16.0,0.0
1538769499940147424,192,1538769499938886624,NED,16.0,0.0
1538769499970056704,193,1538769499969095936,NED,16.0,0.0
1538769499989717184,194,1538769499988593696,NED,16.0,0.0
1538769500094641728,195,1538769500093947680,NED,16.0,0.0
1538769500148229504,196,1538769500145965920,NED,16.0,0.0
1538769500168138880,197,1538769500167425216,NED,16.0,0.0
1538769500240998080,198,1538769500240358624,NED,16.0,0.0
1538769500286055104,199,1538769500284414336,NED,16.0,0.0
1538769500359898816,200,1538769500357101152,NED,16.0,0.0
1538769500383611296,201,1538769500381420096,NED,16.0,0.0
1538769500458588224,202,1538769500455886080,NED,16.0,0.0
1538769500472529728,203,1538769500472007872,NED,16.0,0.0
1538769500555941568,204,1538769500554965152,NED,16.0,0.0
1538769500586643840,205,1538769500585897984,NED,16.0,0.0
1538769500623499040,206,1538769500622905824,NED,16.0,0.0
1538769500651409344,207,1538769500650565120,NED,16.0,0.0
1538769500690211168,208,1538769500689510880,NED,16.0,0.0
1538769500754857280,209,1538769500753906432,NED,16.0,0.0
1538769500780405120,210,1538769500779821536,NED,16.0,0.0
1538769500863009568,211,1538769500862176320,NED,16.0,0.0
1538769500881546944,212,1538769500881202496,NED,16.0,0.0
1538769500932513856,213,1538769500931830528,NED,16.0,0.0
1538769500997851936,214,1538769500996562336,NED,16.0,0.0
1538769501036811040,215,1538769501036074720,NED,16.0,0.0
1538769501056416736,216,1538769501050821824,NED,16.0,0.0
1538769501114982560,217,1538769501114537984,NED,16.0,0.0
1538769501169370752,218,1538769501168547808,NED,16.0,0.0
1538769501185445440,219,1538769501184911488,NED,16.0,0.0
1538769501262557024,220,1538769501261664768,NED,16.0,0.0
1538769501292470976,221,1538769501291761504,NED,16.0,0.0
1538769501351730080,222,1538769501343536192,NED,16.0,0.0
1538769501401486272,223,1538769501400754272,NED,16.0,0.0
1538769501466809024,224,1538769501459738752,NED,16.0,0.0
1538769501503650912,225,1538769501501961856,NED,16.0,0.0
1538769501540105088,226,1538769501538763104,NED,16.0,0.0
1538769501620485952,227,1538769501619864064,NED,16.0,0.0
1538769501655036960,228,1538769501652988960,NED,16.0,0.0
1538769501692723552,229,1538769501692349760,NED,16.0,0.0
1538769501744214848,230,1538769501741180992,NED,16.0,0.0
1538769501753499840,231,1538769501752630944,NED,16.0,0.0
1538769501795291264,232,1538769501794599488,NED,16.0,0.0
1538769501844736448,233,1538769501843674368,NED,16.0,0.0
1538769501912598368,234,1538769501912064608,NED,16.0,0.0
1538769501949291840,235,1538769501947624512,NED,16.0,0.0
1538769502020851904,236,1538769502020035392,NED,16.0,0.0
1538769502059988480,237,1538769502057906080,NED,16.0,0.0
1538769502125552864,238,1538769502124740864,NED,16.0,0.0
1538769502204612896,239,1538769502201778048,NED,16.0,0.0
1538769502234456192,240,1538769502234036448,NED,16.0,0.0
1538769502263000032,241,1538769502261181888,NED,16.0,0.0
1538769502322808128,242,1538769502321691488,NED,16.0,0.0
1538769502366629344,243,1538769502365201280,NED,16.0,0.0
1538769502459924640,244,1538769502457235104,NED,16.0,0.0
1538769502490297632,245,1538769502487836992,NED,16.0,0.0
1538769502532328000,246,1538769502529724480,NED,16.0,0.0
1538769502566982720,247,1538769502565792416,NED,16.0,0.0
1538769502673732896,248,1538769502672938368,NED,16.0,0.0
1538769502692641440,249,1538769502692205472,NED,16.0,0.0
