%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1538769499570825888,758,1538769499569736416,,1538771752180000000,fcu
1538769499859493728,759,1538769499855580704,,1538771752480000000,fcu
1538769500476935040,760,1538769500476615168,,1538771753119000000,fcu
1538769500782185024,761,1538769500782033248,,1538771753383000000,fcu
1538769501363610528,762,1538769501363358080,,1538771753980000000,fcu
1538769501762281184,763,1538769501761785120,,1538771754360000000,fcu
1538769502240615168,764,1538769502240384416,,1538771754878000000,fcu
1538769502789194112,765,1538769502779513984,,1538771755381000000,fcu
1538769503333251680,766,1538769503332919776,,1538771755941000000,fcu
1538769503792127200,767,1538769503791850976,,1538771756399000000,fcu
1538769504281652928,768,1538769504280364096,,1538771756899000000,fcu
1538769504745602112,769,1538769504745392992,,1538771757361000000,fcu
1538769505291636704,770,1538769505291261440,,1538771757900000000,fcu
1538769505666332192,771,1538769505666116864,,1538771758299000000,fcu
1538769506150860896,772,1538769506150631328,,1538771758780000000,fcu
1538769506515980480,773,1538769506515535136,,1538771759139000000,fcu
1538769507069967328,774,1538769507069787680,,1538771759679000000,fcu
1538769507583879680,775,1538769507582226880,,1538771760181000000,fcu
1538769508006587584,776,1538769508006394208,,1538771760603000000,fcu
1538769508405534336,777,1538769508405211136,,1538771761022000000,fcu
1538769508746097632,778,1538769508745842656,,1538771761359000000,fcu
1538769509130157344,779,1538769509129932512,,1538771761741000000,fcu
1538769509657731072,780,1538769509657514624,,1538771762280000000,fcu
1538769510166913216,781,1538769510166199648,,1538771762778000000,fcu
1538769510628756032,782,1538769510628464800,,1538771763239000000,fcu
1538769511246325216,783,1538769511246039936,,1538771763860000000,fcu
1538769511612654496,784,1538769511612302560,,1538771764223000000,fcu
1538769512094956832,785,1538769512094382816,,1538771764699000000,fcu
1538769512527554752,786,1538769512527161504,,1538771765138000000,fcu
1538769513002879424,787,1538769512999817472,,1538771765599000000,fcu
1538769513504332672,788,1538769513504108192,,1538771766079000000,fcu
1538769513854423072,789,1538769513854175712,,1538771766461000000,fcu
1538769514289164704,790,1538769514288913888,,1538771766899000000,fcu
1538769514795639296,791,1538769514795448704,,1538771767398000000,fcu
1538769515269578272,792,1538769515269339168,,1538771767879000000,fcu
1538769515769378304,793,1538769515769065600,,1538771768380000000,fcu
1538769516200157728,794,1538769516199026016,,1538771768823000000,fcu
1538769516515177088,795,1538769516514922176,,1538771769138000000,fcu
1538769517054087872,796,1538769517053909184,,1538771769659000000,fcu
1538769517598504960,797,1538769517598183680,,1538771770198000000,fcu
1538769517858571904,798,1538769517858165024,,1538771770480000000,fcu
1538769518268502784,799,1538769518268238656,,1538771770879000000,fcu
1538769518763055424,800,1538769518762662272,,1538771771379000000,fcu
1538769519440450016,801,1538769519440150208,,1538771772040000000,fcu
1538769519972282848,802,1538769519972028128,,1538771772562000000,fcu
1538769520429388672,803,1538769520429065184,,1538771773059000000,fcu
1538769521035346208,804,1538769521035076960,,1538771773658000000,fcu
1538769521522243200,805,1538769521521798720,,1538771774140000000,fcu
1538769522052417280,806,1538769522052262176,,1538771774661000000,fcu
1538769522527376288,807,1538769522527080160,,1538771775141000000,fcu
1538769523016540576,808,1538769523016059648,,1538771775623000000,fcu
1538769523458564416,809,1538769523458330464,,1538771776061000000,fcu
1538769523918383232,810,1538769523918033344,,1538771776540000000,fcu
1538769524319235648,811,1538769524318919264,,1538771776957000000,fcu
1538769524783848704,812,1538769524783530944,,1538771777420000000,fcu
1538769525222562400,813,1538769525220449504,,1538771777839000000,fcu
1538769525620268480,814,1538769525620080256,,1538771778239000000,fcu
1538769526145762528,815,1538769526144873152,,1538771778761000000,fcu
1538769526473296640,816,1538769526472324160,,1538771779099000000,fcu
1538769526886910592,817,1538769526886473536,,1538771779499000000,fcu
1538769527383503136,818,1538769527383126560,,1538771779980000000,fcu
1538769527658867200,819,1538769527658659136,,1538771780280000000,fcu
1538769528161341088,820,1538769528157467104,,1538771780780000000,fcu
1538769528669500000,821,1538769528669244704,,1538771781281000000,fcu
1538769529170745856,822,1538769529170491456,,1538771781783000000,fcu
1538769529651030400,823,1538769529650771744,,1538771782280000000,fcu
1538769530157488960,824,1538769530156840800,,1538771782780000000,fcu
1538769530735158720,825,1538769530734920480,,1538771783358000000,fcu
1538769531223216576,826,1538769531222919520,,1538771783839000000,fcu
1538769531582204864,827,1538769531581789696,,1538771784198000000,fcu
1538769532046885728,828,1538769532045689920,,1538771784659000000,fcu
1538769532570590272,829,1538769532570293184,,1538771785161000000,fcu
1538769532970315424,830,1538769532970105152,,1538771785581000000,fcu
1538769533425816416,831,1538769533425631040,,1538771786021000000,fcu
1538769533956097184,832,1538769533954834176,,1538771786579000000,fcu
1538769534223348768,833,1538769534223023392,,1538771786840000000,fcu
1538769534618044992,834,1538769534617769184,,1538771787239000000,fcu
1538769535153270368,835,1538769535153021120,,1538771787758000000,fcu
1538769535642680768,836,1538769535641496192,,1538771788260000000,fcu
1538769535962750784,837,1538769535959242240,,1538771788579000000,fcu
1538769536694158240,838,1538769536691601088,,1538771789299000000,fcu
1538769537189108768,839,1538769537187890144,,1538771789800000000,fcu
1538769537651530528,840,1538769537651197888,,1538771790260000000,fcu
1538769537995023424,841,1538769537991547008,,1538771790598000000,fcu
1538769538421450080,842,1538769538420847456,,1538771791038000000,fcu
1538769538915802912,843,1538769538915605984,,1538771791540000000,fcu
1538769539323714080,844,1538769539323538816,,1538771791938000000,fcu
1538769539778200416,845,1538769539777884992,,1538771792381000000,fcu
1538769540238313376,846,1538769540237446592,,1538771792837000000,fcu
1538769540634143808,847,1538769540631267680,,1538771793224000000,fcu
1538769541119391936,848,1538769541118878368,,1538771793738000000,fcu
1538769541616943776,849,1538769541616358720,,1538771794202000000,fcu
1538769542093474112,850,1538769542093031424,,1538771794699000000,fcu
1538769542666950688,851,1538769542666728032,,1538771795281000000,fcu
1538769543116196192,852,1538769543115622400,,1538771795739000000,fcu
1538769543615086304,853,1538769543614482976,,1538771796222000000,fcu
1538769543950152064,854,1538769543949779904,,1538771796559000000,fcu
1538769544452832256,855,1538769544452383936,,1538771797059000000,fcu
1538769544956792736,856,1538769544953107840,,1538771797560000000,fcu
1538769545393538304,857,1538769545393290240,,1538771798017000000,fcu
1538769545682750720,858,1538769545682528288,,1538771798298000000,fcu
1538769546254736384,859,1538769546254467072,,1538771798860000000,fcu
1538769546715626144,860,1538769546714183872,,1538771799338000000,fcu
1538769547314599072,861,1538769547314142560,,1538771799919000000,fcu
1538769547711911264,862,1538769547711701856,,1538771800338000000,fcu
1538769548210750240,863,1538769548210542816,,1538771800822000000,fcu
1538769548708251776,864,1538769548707464864,,1538771801321000000,fcu
1538769549170603008,865,1538769549165657088,,1538771801780000000,fcu
1538769549509219040,866,1538769549508873216,,1538771802120000000,fcu
1538769549943119712,867,1538769549942775232,,1538771802558000000,fcu
1538769550284590080,868,1538769550283387776,,1538771802881000000,fcu
1538769550882085568,869,1538769550881524704,,1538771803499000000,fcu
1538769551507964352,870,1538769551507794336,,1538771804120000000,fcu
1538769551873037184,871,1538769551872540768,,1538771804480000000,fcu
1538769552335689248,872,1538769552334838848,,1538771804958000000,fcu
1538769552760111296,873,1538769552759411744,,1538771805380000000,fcu
1538769553265806816,874,1538769553265507520,,1538771805880000000,fcu
1538769553686494016,875,1538769553686116576,,1538771806298000000,fcu
1538769554154286656,876,1538769554154027552,,1538771806760000000,fcu
1538769554604041248,877,1538769554603288032,,1538771807222000000,fcu
1538769555138975616,878,1538769555137171360,,1538771807740000000,fcu
1538769555454280480,879,1538769555454088672,,1538771808041000000,fcu
1538769555881370976,880,1538769555881103232,,1538771808479000000,fcu
1538769556425433568,881,1538769556422722528,,1538771809038000000,fcu
1538769556747310880,882,1538769556747115936,,1538771809358000000,fcu
1538769557246234112,883,1538769557246043872,,1538771809859000000,fcu
1538769557681025376,884,1538769557680610016,,1538771810299000000,fcu
1538769558225433856,885,1538769558225168672,,1538771810840000000,fcu
1538769558729615360,886,1538769558729420800,,1538771811359000000,fcu
1538769559297816608,887,1538769559297192640,,1538771811920000000,fcu
1538769559776973216,888,1538769559776793312,,1538771812381000000,fcu
1538769560177686944,889,1538769560177351936,,1538771812798000000,fcu
1538769560694109920,890,1538769560693928736,,1538771813298000000,fcu
1538769561116680608,891,1538769561115847808,,1538771813738000000,fcu
1538769561609349856,892,1538769561609118688,,1538771814222000000,fcu
1538769562208320576,893,1538769562208105792,,1538771814838000000,fcu
1538769562711820640,894,1538769562711358912,,1538771815338000000,fcu
1538769563341978528,895,1538769563337380096,,1538771815938000000,fcu
1538769563618774208,896,1538769563616424672,,1538771816238000000,fcu
1538769564063168736,897,1538769564058533856,,1538771816640000000,fcu
1538769564520997760,898,1538769564520863104,,1538771817139000000,fcu
1538769565061045728,899,1538769565060723168,,1538771817661000000,fcu
1538769565531891456,900,1538769565531708128,,1538771818140000000,fcu
1538769565909661632,901,1538769565909353024,,1538771818519000000,fcu
1538769566271045376,902,1538769566270841472,,1538771818880000000,fcu
1538769566743694336,903,1538769566743469952,,1538771819361000000,fcu
1538769567325856128,904,1538769567325571648,,1538771819940000000,fcu
1538769567718648928,905,1538769567718292992,,1538771820340000000,fcu
1538769568211814496,906,1538769568211529376,,1538771820839000000,fcu
1538769568652820384,907,1538769568652394816,,1538771821259000000,fcu
1538769569077669792,908,1538769569075899168,,1538771821679000000,fcu
1538769569366101344,909,1538769569365754048,,1538771821980000000,fcu
1538769569937745504,910,1538769569937508832,,1538771822559000000,fcu
1538769570480375424,911,1538769570480089888,,1538771823099000000,fcu
1538769570926930816,912,1538769570920606016,,1538771823540000000,fcu
1538769571494286816,913,1538769571494011008,,1538771824119000000,fcu
1538769571895472928,914,1538769571895225824,,1538771824498000000,fcu
1538769572211500800,915,1538769572210852064,,1538771824838000000,fcu
1538769572450819872,916,1538769572449861632,,1538771825080000000,fcu
1538769573037741664,917,1538769573036430464,,1538771825660000000,fcu
1538769573452381248,918,1538769573452056224,,1538771826057000000,fcu
1538769574022688160,919,1538769574022263552,,1538771826625000000,fcu
1538769574597796640,920,1538769574597615456,,1538771827223000000,fcu
1538769575004729888,921,1538769575004534848,,1538771827621000000,fcu
1538769575453840128,922,1538769575453309088,,1538771828059000000,fcu
1538769575860455936,923,1538769575858444416,,1538771828460000000,fcu
1538769576495130944,924,1538769576494974464,,1538771829101000000,fcu
