%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1538769499568509312,758,1538769499568301440,,-0.897313190542,-1.09125484107,0.0,0.0,0.0,0.0
1538769499859521952,759,1538769499855426688,,-0.92451276866,-1.04512918094,0.0,0.0,0.0,0.0
1538769500475861600,760,1538769500475023296,,-0.925607233133,-0.997392978833,0.0,0.0,0.0,0.0
1538769500781524544,761,1538769500781205664,,-0.830610307451,-0.994822720948,0.0,0.0,0.0,0.0
1538769501361615328,762,1538769501360983072,,-0.622166122964,-0.990654390611,0.0,0.0,0.0,0.0
1538769501761129728,763,1538769501760802368,,-0.549258820346,-0.982455570801,0.0,0.0,0.0,0.0
1538769502238762240,764,1538769502237675072,,-0.479228415096,-0.978024894265,0.0,0.0,0.0,0.0
1538769502782422624,765,1538769502775929536,,-0.453405541227,-0.967941746019,0.0,0.0,0.0,0.0
1538769503331200000,766,1538769503330621344,,-0.441109622802,-0.962865712586,0.0,0.0,0.0,0.0
1538769503791160576,767,1538769503790800256,,-0.435883615352,-0.956125263692,0.0,0.0,0.0,0.0
1538769504278575776,768,1538769504278088928,,-0.460770656228,-0.941579584969,0.0,0.0,0.0,0.0
1538769504744662624,769,1538769504744370784,,-0.512892111128,-0.934370149264,0.0,0.0,0.0,0.0
1538769505291615072,770,1538769505291085344,,-0.635193643078,-0.927716880209,0.0,0.0,0.0,0.0
1538769505665180512,771,1538769505664798112,,-0.711219625322,-0.929104576418,0.0,0.0,0.0,0.0
1538769506142754592,772,1538769506142502816,,-0.774492354703,-0.950712825568,0.0,0.0,0.0,0.0
1538769506501117088,773,1538769506499797376,,-0.793765031928,-0.950590695626,0.0,0.0,0.0,0.0
1538769507069215136,774,1538769507068832192,,-0.809777883823,-0.956015338694,0.0,0.0,0.0,0.0
1538769507580257248,775,1538769507579604896,,-0.809711320068,-0.95587378081,0.0,0.0,0.0,0.0
1538769508005851520,776,1538769508005634304,,-0.815153367108,-0.950769567683,0.0,0.0,0.0,0.0
1538769508403561280,777,1538769508403273824,,-0.823214656361,-0.94381358168,0.0,0.0,0.0,0.0
1538769508744580480,778,1538769508742000768,,-0.835333986322,-0.937211115983,0.0,0.0,0.0,0.0
1538769509129247008,779,1538769509128973120,,-0.844673616394,-0.937953875171,0.0,0.0,0.0,0.0
1538769509656907264,780,1538769509656039168,,-0.841064488045,-0.9646932015,0.0,0.0,0.0,0.0
1538769510141579296,781,1538769510140512352,,-0.819180898858,-1.00216805735,0.0,0.0,0.0,0.0
1538769510627643712,782,1538769510627116864,,-0.793636563163,-1.05300048601,0.0,0.0,0.0,0.0
1538769511245316160,783,1538769511244789120,,-0.742081509017,-1.12343339699,0.0,0.0,0.0,0.0
1538769511611611104,784,1538769511611369056,,-0.742108062824,-1.12710750989,0.0,0.0,0.0,0.0
1538769512093633568,785,1538769512093142560,,-0.735528734487,-1.13276682482,0.0,0.0,0.0,0.0
1538769512527536256,786,1538769512526821440,,-0.717970574983,-1.14392492834,0.0,0.0,0.0,0.0
1538769512996706176,787,1538769512996049216,,-0.707504617811,-1.14857785032,0.0,0.0,0.0,0.0
1538769513503437824,788,1538769513499695712,,-0.691166155623,-1.15619949339,0.0,0.0,0.0,0.0
1538769513854007008,789,1538769513853152288,,-0.656871845156,-1.17200494936,0.0,0.0,0.0,0.0
1538769514287654048,790,1538769514287275264,,-0.629939720763,-1.18575885085,0.0,0.0,0.0,0.0
1538769514794814080,791,1538769514794559488,,-0.585016294769,-1.20830274875,0.0,0.0,0.0,0.0
1538769515268805952,792,1538769515267856640,,-0.510658478837,-1.24584809103,0.0,0.0,0.0,0.0
1538769515768655744,793,1538769515768215392,,-0.450167511683,-1.27576161909,0.0,0.0,0.0,0.0
