%time,field.data
1538770094402422432,51.719
1538770094669650880,52.191
1538770094882591872,52.515
1538770095183730784,52.553
1538770095412106400,52.464
1538770095660371264,52.338
1538770095892457760,52.189
1538770096133312640,51.958
1538770096364856320,51.684
1538770096618524192,51.36
1538770096856462592,50.972
1538770097127275296,50.395
1538770097356738528,49.942
1538770097673268096,49.425
1538770097853979264,49.206
1538770098099827200,49.029
1538770098350566560,48.977
1538770098572382432,48.975
1538770098822608032,48.883
1538770099062134656,48.759
1538770099323361952,48.706
1538770099560638112,48.727
1538770099805230336,48.77
1538770100033272736,48.794
1538770100269304608,48.893
1538770100512278848,49.05
1538770100781540608,49.272
1538770100997355424,49.442
1538770101261690816,49.595
1538770101521612544,49.771
1538770101771192608,49.897
1538770101994450464,49.87
1538770102303115296,49.64
1538770102528569376,49.443
1538770102754011008,49.272
1538770102997280480,49.089
1538770103240061568,48.892
1538770103481392768,48.677
1538770103738634304,48.529
1538770103989365952,48.444
1538770104273226336,48.449
1538770104478589248,48.458
1538770104709458784,48.486
1538770104928571520,48.545
1538770105215734272,48.659
1538770105451612192,48.824
1538770105670209440,49.001
1538770105920123168,49.163
1538770106171266208,49.198
1538770106402414048,49.148
1538770106657193376,48.969
1538770106923597632,48.601
1538770107151297856,48.254
1538770107423251104,47.787
1538770107628782144,47.394
1538770107954521792,46.936
1538770108132905408,46.731
1538770108392177312,46.482
1538770108657520864,46.375
1538770108870704480,46.392
1538770109111048000,46.495
1538770109349724736,46.719
1538770109599704000,47.032
1538770109841938176,47.404
1538770110105067520,47.861
1538770110364755872,48.472
1538770110569903328,49.019
1538770110791772288,49.519
1538770111050706048,50.01
1538770111277569760,50.501
1538770111594667712,50.984
1538770111776993760,51.201
1538770112024556192,51.434
1538770112275628544,51.586
1538770112516298208,51.621
1538770112742933280,51.571
1538770112971629888,51.526
1538770113214173376,51.51
1538770113458748672,51.526
1538770113717112576,51.57
1538770113963425920,51.686
1538770114180665216,51.885
1538770114445954560,52.132
