%time,field.header.seq,field.header.stamp,field.header.frame_id,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
1539875267173275912,380,1539875267172613064,NED,-0.0899999961257,-8.14428329468,-41.6295089722,1
1539875267210652200,381,1539875267209224552,NED,-0.0899999961257,-8.14428329468,-41.6295089722,1
1539875267270982568,382,1539875267267905896,NED,-0.140000000596,-0.766468048096,-40.3772125244,3
1539875267354157320,383,1539875267352359368,NED,-0.149999991059,-0.766468048096,-39.1333465576,4
1539875267398780712,384,1539875267397901448,NED,-0.149999991059,-0.766468048096,-39.1333465576,4
1539875267416555560,385,1539875267413715016,NED,-0.149999991059,-0.766468048096,-39.1333465576,4
1539875267501179816,386,1539875267499645768,NED,-0.149999991059,-1.39961242676,-446.691986084,5
1539875267527606152,387,1539875267526667560,NED,-0.119999997318,98.6003875732,-445.440917969,6
1539875267607356616,388,1539875267606492104,NED,-0.119999997318,98.6003875732,-445.440917969,6
1539875267633380648,389,1539875267632398664,NED,-0.119999997318,98.6003875732,-445.440917969,6
1539875267686701608,390,1539875267684372168,NED,-0.0899999961257,97.5534439087,-444.189819336,8
1539875267721310120,391,1539875267720474536,NED,-0.0899999961257,97.5534439087,-444.189819336,8
1539875267771602504,392,1539875267770517256,NED,-0.0499999970198,97.5534439087,-442.938751221,9
1539875267822744552,393,1539875267822112328,NED,-0.0499999970198,97.5534439087,-442.938751221,9
1539875267894899144,394,1539875267893528232,NED,0.0,160.663314819,-441.687683105,10
1539875267927092872,395,1539875267912002760,NED,0.0,160.663314819,-441.687683105,10
1539875268013651848,396,1539875268010639528,NED,0.070000000298,160.663314819,-440.43661499,11
1539875268089426088,397,1539875268079380456,NED,0.140000000596,171.747406006,-439.185546875,13
1539875268120561896,398,1539875268117448360,NED,0.140000000596,171.747406006,-439.185546875,13
1539875268200093928,399,1539875268195577928,NED,0.239999994636,171.747406006,-437.951385498,14
1539875268234525960,400,1539875268233113416,NED,0.359999984503,187.924865723,-436.717224121,15
1539875268295287688,401,1539875268294076744,NED,0.359999984503,187.924865723,-436.717224121,15
1539875268335762312,402,1539875268333789320,NED,0.359999984503,187.924865723,-436.717224121,15
