%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1539875267173246152,380,1539875267172625128,NED,-2.80999994278,-0.246220424771
1539875267210065192,381,1539875267209237000,NED,-2.80999994278,-0.246220424771
1539875267270870664,382,1539875267267920552,NED,-2.37999987602,-0.246220424771
1539875267354116616,383,1539875267352375208,NED,-2.12999987602,-0.682637929916
1539875267398740616,384,1539875267397915848,NED,-2.12999987602,-0.682637929916
1539875267416492456,385,1539875267413726984,NED,-2.12999987602,-0.682637929916
1539875267500611656,386,1539875267499661608,NED,-3.8599998951,-0.682637929916
1539875267527534344,387,1539875267526679368,NED,-3.8599998951,-0.682637929916
1539875267607238408,388,1539875267606505448,NED,-5.2999997139,-0.682637929916
1539875267633625128,389,1539875267632435944,NED,-5.28999996185,-0.682637929916
1539875267686649128,390,1539875267684384808,NED,-6.65999984741,-0.682637929916
1539875267721228040,391,1539875267720486696,NED,-6.64999961853,-0.682637929916
1539875267771546600,392,1539875267770530856,NED,-7.94000005722,-0.682637929916
1539875267822694792,393,1539875267822122920,NED,-7.91999959946,-1.67883479595
1539875267894586504,394,1539875267893543400,NED,-9.1799993515,-1.67883479595
1539875267927014984,395,1539875267912016552,NED,-9.17000007629,-1.67883479595
1539875268012944136,396,1539875268010655400,NED,-10.4099998474,-1.67883479595
1539875268079990216,397,1539875268079396136,NED,-11.6899995804,-1.67883479595
1539875268118365608,398,1539875268117460104,NED,-11.6799993515,-1.67883479595
1539875268196239368,399,1539875268195593576,NED,-12.9499998093,-3.42652964592
1539875268234356648,400,1539875268233134184,NED,-12.9399995804,-3.42652964592
1539875268294904712,401,1539875268294092456,NED,-14.2100000381,-3.42652964592
1539875268335721288,402,1539875268333801224,NED,-14.2100000381,-3.42652964592
1539875268368502440,403,1539875268367734184,NED,-15.4299993515,-3.42652964592
1539875268436710056,404,1539875268436013128,NED,-15.4200000763,-3.42652964592
1539875268471575688,405,1539875268470814088,NED,-16.6399993896,-3.42652964592
1539875268558893544,406,1539875268557871080,NED,-17.7799987793,-3.42652964592
1539875268603564776,407,1539875268602948936,NED,-17.7799987793,-7.55691623688
1539875268633608744,408,1539875268633147496,NED,-17.7799987793,-7.55691623688
1539875268653256616,409,1539875268651926472,NED,-18.8699989319,-7.55691623688
1539875268691343432,410,1539875268689942280,NED,-18.8699989319,-7.55691623688
1539875268769711368,411,1539875268768634024,NED,-19.8500003815,-7.55691623688
1539875268799906120,412,1539875268799164040,NED,-19.8500003815,-7.55691623688
1539875268863358472,413,1539875268862210408,NED,-20.7600002289,-7.55691623688
1539875268934988872,414,1539875268931931624,NED,-20.7700004578,-7.55691623688
1539875268945032936,415,1539875268944592520,NED,-20.7700004578,-7.55691623688
1539875268977808008,416,1539875268977012776,NED,-21.0200004578,-12.0480556488
1539875269039064264,417,1539875269036656296,NED,-21.1199989319,-12.0480556488
1539875269081810728,418,1539875269081104264,NED,-21.1999988556,-12.0480556488
