%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1539875256481541064,1043,1539875256480043560,base_link,0,1,40.591457,-79.8953881,369.746425981,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1539875256767148872,1044,1539875256764987080,base_link,0,1,40.591461,-79.8954342,369.936376948,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1539875256979037000,1045,1539875256973522312,base_link,0,1,40.5914632,-79.8954655,370.096343877,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1539875257242151336,1046,1539875257240202600,base_link,0,1,40.5914664,-79.8955093,370.386297549,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1539875257470281000,1047,1539875257469273928,base_link,0,1,40.5914709,-79.8955467,370.656257249,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1539875257720717512,1048,1539875257719995752,base_link,0,1,40.5914768,-79.8955837,370.756216772,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1539875257943194120,1049,1539875257942227560,base_link,0,1,40.591483,-79.8956171,370.586179868,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1539875258195771528,1050,1539875258194735144,base_link,0,1,40.5914912,-79.8956558,369.986136684,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1539875258419934792,1051,1539875258419046984,base_link,0,1,40.5914995,-79.8956879,369.266100235,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1539875258625209672,1052,1539875258623673352,base_link,0,1,40.5915078,-79.8957164,368.366067485,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
