%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1539875256661032008,259,1539875256658394920,,1,1,1,GUIDED,4
1539875257651158792,260,1539875257650169608,,1,1,1,GUIDED,4
1539875258670239208,261,1539875258669806312,,1,1,1,GUIDED,4
1539875259675973064,262,1539875259669172808,,1,1,1,GUIDED,4
1539875260666983496,263,1539875260663788392,,1,1,1,GUIDED,4
1539875261663206888,264,1539875261662882440,,1,1,1,GUIDED,4
1539875262655824200,265,1539875262655532040,,1,1,1,GUIDED,4
1539875263657126952,266,1539875263656789544,,1,1,1,GUIDED,4
1539875264657928904,267,1539875264657410184,,1,1,1,GUIDED,4
1539875265641955400,268,1539875265641433128,,1,1,1,GUIDED,4
1539875266658725256,269,1539875266658319304,,1,1,1,GUIDED,4
1539875267691939848,270,1539875267690843016,,1,1,1,GUIDED,4
1539875268670769032,271,1539875268669670504,,1,1,1,GUIDED,4
1539875269663466120,272,1539875269656448360,,1,1,1,GUIDED,4
1539875270652141288,273,1539875270651005768,,1,1,1,GUIDED,4
1539875271664397896,274,1539875271662974344,,1,1,1,GUIDED,4
1539875272675771176,275,1539875272675380040,,1,1,1,GUIDED,4
1539875273668115752,276,1539875273667867848,,1,1,1,GUIDED,4
1539875274659104360,277,1539875274656464488,,1,1,1,GUIDED,4
1539875275659993224,278,1539875275659536840,,1,1,1,GUIDED,4
1539875276666973864,279,1539875276666342792,,1,1,1,GUIDED,4
1539875277674164360,280,1539875277670959464,,1,1,1,GUIDED,4
1539875278659284040,281,1539875278657539464,,1,1,1,GUIDED,4
1539875279665001064,282,1539875279664699080,,1,1,1,GUIDED,4
1539875280680205640,283,1539875280679613160,,1,1,1,GUIDED,4
1539875281669312552,284,1539875281667955080,,1,1,1,GUIDED,4
1539875282664201416,285,1539875282663857640,,1,1,1,GUIDED,4
1539875283654810440,286,1539875283654301032,,1,1,1,GUIDED,4
1539875284674958856,287,1539875284670332264,,1,1,1,GUIDED,4
1539875285660364648,288,1539875285659876680,,1,1,1,GUIDED,4
1539875286661273992,289,1539875286660437320,,1,1,1,GUIDED,4
1539875287665432104,290,1539875287665120616,,1,1,1,GUIDED,4
1539875288658998408,291,1539875288658424552,,1,1,1,GUIDED,4
1539875289656392264,292,1539875289655997544,,1,1,1,GUIDED,4
1539875290656640584,293,1539875290655993352,,1,1,1,GUIDED,4
1539875291660147944,294,1539875291659532872,,1,1,1,GUIDED,4
1539875292657255240,295,1539875292656871720,,1,1,1,GUIDED,4
1539875293717152136,296,1539875293716738472,,1,1,1,GUIDED,4
