%time,field.data
1539875279077124104,285.09
1539875279312522984,286.51
1539875279530745192,288.14
1539875279819497544,289.35
1539875280022514440,289.89
1539875280243839144,290.8
1539875280513757064,294.06
1539875280720128584,296.94
1539875280940292360,300.28
1539875281180860296,304.16
1539875281439972776,306.13
1539875281647966504,307.15
1539875281911030568,307.8
1539875282187090760,308.82
1539875282387512008,310.14
1539875282626664456,309.5
1539875282862319240,308.71
1539875283101865128,312.38
1539875283341941896,315.23
1539875283598804840,315.87
1539875283782166216,315.59
1539875284058771048,311.95
1539875284290638664,311.28
1539875284535969512,313.93
1539875284753331080,314.96
1539875284967669320,314.01
1539875285190174792,314.03
1539875285456156584,315.51
1539875285688911848,315.34
1539875285935003752,311.42
1539875286223191304,310.74
1539875286450639400,312.73
1539875286668257864,313.56
1539875286896443016,313.35
1539875287130234376,312.94
1539875287391051528,312.79
1539875287591655624,314.15
1539875287831832872,314.86
1539875288062358888,314.65
1539875288298554440,313.7
1539875288561004776,310.61
1539875288797385768,309.53
1539875289082830088,311.09
1539875289302876072,311.83
1539875289499170600,311.69
1539875289805622056,311.26
1539875289989028264,310.43
1539875290247253992,311.4
1539875290506349416,313.64
1539875290789114376,315.72
1539875291028382536,315.74
1539875291257201224,315.15
1539875291488662408,316.02
1539875291710412232,317.39
1539875291966623176,318.69
1539875292172703272,321.21
1539875292420300648,324.64
1539875292664867560,329.31
1539875292890879848,333.78
1539875293175562248,340.16
1539875293407679464,345.89
1539875293631242792,352.72
1539875293920680424,1.22
1539875294134779752,6.41
1539875294390246344,10.8
1539875294619441544,14.9
1539875294900387144,22.86
1539875295139799496,28.4
1539875295377815176,33.1
1539875295653662408,38.35
1539875295888308584,43.74
1539875296132981352,50.02
1539875296371542696,54.89
1539875296605496840,59.83
1539875296823361480,64.8
1539875297051464296,70.76
1539875297278004136,77.02
1539875297580217416,84.3
1539875297784372680,90.78
1539875298038848488,97.49
1539875298298421256,102.61
1539875298537235816,105.12
1539875298817825480,109.53
