%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1539875278924064424,2468,1539875278923725000,base_link,98201.6784668,0.0
1539875279047819720,2469,1539875279047265448,base_link,98195.5688477,0.0
1539875279126594408,2470,1539875279123835368,base_link,98196.5148926,0.0
1539875279224533960,2471,1539875279223579464,base_link,98193.3776855,0.0
1539875279320457768,2472,1539875279320094248,base_link,98193.5119629,0.0
1539875279411437128,2473,1539875279409742760,base_link,98189.7399902,0.0
1539875279528764648,2474,1539875279527150408,base_link,98189.3493652,0.0
1539875279624703240,2475,1539875279624392232,base_link,98189.1357422,0.0
1539875279729518312,2476,1539875279729176680,base_link,98188.2019043,0.0
1539875279835084520,2477,1539875279834752104,base_link,98186.9812012,0.0
1539875279920589224,2478,1539875279916782760,base_link,98182.434082,0.0
1539875280032248872,2479,1539875280031843752,base_link,98186.0656738,0.0
1539875280120500488,2480,1539875280120228936,base_link,98183.7402344,0.0
1539875280218755048,2481,1539875280218366984,base_link,98189.6240234,0.0
1539875280343298568,2482,1539875280342720008,base_link,98189.2333984,0.0
1539875280428619336,2483,1539875280428241032,base_link,98187.3046875,0.0
1539875280542371848,2484,1539875280541875304,base_link,98189.9353027,0.0
1539875280631565384,2485,1539875280631243112,base_link,98191.583252,0.0
1539875280718272296,2486,1539875280715954376,base_link,98202.8808594,0.0
1539875280800626920,2487,1539875280800357352,base_link,98200.5126953,0.0
1539875280935153384,2488,1539875280933110408,base_link,98206.5734863,0.0
1539875281030651208,2489,1539875281030311080,base_link,98211.9018555,0.0
1539875281153054280,2490,1539875281152584008,base_link,98218.5852051,0.0
1539875281237022376,2491,1539875281234571976,base_link,98222.8271484,0.0
1539875281320336072,2492,1539875281317380168,base_link,98233.4716797,0.0
1539875281440054952,2493,1539875281437101992,base_link,98237.9577637,0.0
1539875281556534728,2494,1539875281556135624,base_link,98247.5219727,0.0
1539875281625220744,2495,1539875281624387624,base_link,98251.0681152,0.0
1539875281760512200,2496,1539875281759401832,base_link,98259.1308594,0.0
1539875281827274248,2497,1539875281826868968,base_link,98267.4377441,0.0
1539875281934890984,2498,1539875281933910152,base_link,98277.7709961,0.0
1539875282014429448,2499,1539875282014075336,base_link,98285.7849121,0.0
1539875282170780552,2500,1539875282170523976,base_link,98296.9299316,0.0
1539875282208757832,2501,1539875282208411240,base_link,98301.1535645,0.0
1539875282333048872,2502,1539875282332693544,base_link,98311.2854004,0.0
1539875282401577544,2503,1539875282401175112,base_link,98322.1557617,0.0
1539875282538736776,2504,1539875282537392744,base_link,98331.5002441,0.0
1539875282624346024,2505,1539875282623485704,base_link,98337.4755859,0.0
1539875282732349416,2506,1539875282731376872,base_link,98345.5627441,0.0
1539875282799030408,2507,1539875282798552712,base_link,98357.421875,0.0
1539875282930057416,2508,1539875282929647304,base_link,98371.7773438,0.0
1539875283028903624,2509,1539875283020983848,base_link,98379.3579102,0.0
1539875283140761736,2510,1539875283140233800,base_link,98390.9179688,0.0
1539875283233821160,2511,1539875283233175400,base_link,98399.4750977,0.0
1539875283339138344,2512,1539875283338855912,base_link,98405.1391602,0.0
1539875283419370344,2513,1539875283418922568,base_link,98410.4187012,0.0
1539875283539670088,2514,1539875283539452072,base_link,98423.248291,0.0
1539875283637750760,2515,1539875283637018920,base_link,98434.1308594,0.0
1539875283740774664,2516,1539875283740335080,base_link,98444.2687988,0.0
1539875283800040328,2517,1539875283799613192,base_link,98456.7687988,0.0
1539875283941767784,2518,1539875283941333160,base_link,98469.2016602,0.0
1539875284017098280,2519,1539875284016649448,base_link,98472.5036621,0.0
1539875284182942408,2520,1539875284182298152,base_link,98484.0270996,0.0
1539875284250732008,2521,1539875284250305864,base_link,98496.8322754,0.0
1539875284317377128,2522,1539875284315827880,base_link,98508.0688477,0.0
1539875284403236872,2523,1539875284402901640,base_link,98518.951416,0.0
1539875284520858056,2524,1539875284520508712,base_link,98529.6447754,0.0
1539875284615310504,2525,1539875284614885256,base_link,98537.3962402,0.0
1539875284721841000,2526,1539875284721052968,base_link,98546.7102051,0.0
1539875284824504072,2527,1539875284824040008,base_link,98553.137207,0.0
1539875284937017608,2528,1539875284933966568,base_link,98563.4887695,0.0
1539875285021035880,2529,1539875285020643880,base_link,98567.7490234,0.0
1539875285125683112,2530,1539875285124405448,base_link,98577.3742676,0.0
1539875285219340776,2531,1539875285218727752,base_link,98586.6760254,0.0
1539875285335618696,2532,1539875285334984168,base_link,98592.7734375,0.0
1539875285442410920,2533,1539875285435635816,base_link,98595.9716797,0.0
1539875285512593032,2534,1539875285512102440,base_link,98605.847168,0.0
1539875285620379720,2535,1539875285619561992,base_link,98606.2866211,0.0
1539875285726783848,2536,1539875285726341640,base_link,98612.2070312,0.0
1539875285828415304,2537,1539875285828004552,base_link,98616.583252,0.0
1539875285928435944,2538,1539875285923999976,base_link,98629.0161133,0.0
1539875286039529896,2539,1539875286034975976,base_link,98630.065918,0.0
1539875286120227432,2540,1539875286119629736,base_link,98634.1064453,0.0
1539875286234592424,2541,1539875286232766440,base_link,98642.9138184,0.0
1539875286320572296,2542,1539875286319309896,base_link,98646.7346191,0.0
1539875286443920136,2543,1539875286443443496,base_link,98649.3347168,0.0
1539875286514244776,2544,1539875286513855336,base_link,98656.2805176,0.0
1539875286607305128,2545,1539875286607025256,base_link,98659.6923828,0.0
1539875286743583464,2546,1539875286743231208,base_link,98656.4453125,0.0
1539875286814725576,2547,1539875286814388584,base_link,98663.5070801,0.0
1539875286927332968,2548,1539875286925855976,base_link,98661.9995117,0.0
1539875287019201448,2549,1539875287016366856,base_link,98670.526123,0.0
1539875287125026408,2550,1539875287124410408,base_link,98676.8676758,0.0
1539875287224496904,2551,1539875287224170632,base_link,98667.6513672,0.0
1539875287337824616,2552,1539875287337037192,base_link,98670.6298828,0.0
1539875287428903656,2553,1539875287428415368,base_link,98675.390625,0.0
1539875287508939880,2554,1539875287508498568,base_link,98672.5891113,0.0
1539875287608463336,2555,1539875287608057448,base_link,98665.246582,0.0
1539875287724023496,2556,1539875287723173704,base_link,98655.1452637,0.0
1539875287829880744,2557,1539875287829536456,base_link,98653.3081055,0.0
1539875287955982504,2558,1539875287954813544,base_link,98663.1530762,0.0
1539875288016033224,2559,1539875288015503464,base_link,98639.5690918,0.0
1539875288132553992,2560,1539875288123269576,base_link,98643.0969238,0.0
1539875288221110536,2561,1539875288220553480,base_link,98629.4372559,0.0
1539875288318870408,2562,1539875288318466024,base_link,98627.8869629,0.0
1539875288442346696,2563,1539875288441359176,base_link,98621.6491699,0.0
1539875288519131752,2564,1539875288518785928,base_link,98614.6789551,0.0
