%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1539875278924062856,2468,1539875278923725000,base_link,30.28,0.0
1539875279047718632,2469,1539875279047265448,base_link,30.27,0.0
1539875279126423336,2470,1539875279123835368,base_link,30.27,0.0
1539875279224464232,2471,1539875279223579464,base_link,30.26,0.0
1539875279320417896,2472,1539875279320094248,base_link,30.26,0.0
1539875279411321960,2473,1539875279409742760,base_link,30.26,0.0
1539875279528701864,2474,1539875279527150408,base_link,30.25,0.0
1539875279624670568,2475,1539875279624392232,base_link,30.25,0.0
1539875279729506440,2476,1539875279729176680,base_link,30.24,0.0
1539875279835067880,2477,1539875279834752104,base_link,30.24,0.0
1539875279920336488,2478,1539875279916782760,base_link,30.24,0.0
1539875280032209736,2479,1539875280031843752,base_link,30.23,0.0
1539875280120427912,2480,1539875280120228936,base_link,30.23,0.0
1539875280218693544,2481,1539875280218366984,base_link,30.22,0.0
1539875280343233320,2482,1539875280342720008,base_link,30.22,0.0
1539875280428599592,2483,1539875280428241032,base_link,30.22,0.0
1539875280542314760,2484,1539875280541875304,base_link,30.21,0.0
1539875280631506344,2485,1539875280631243112,base_link,30.21,0.0
1539875280718257448,2486,1539875280715954376,base_link,30.21,0.0
1539875280800607720,2487,1539875280800357352,base_link,30.2,0.0
1539875280934232072,2488,1539875280933110408,base_link,30.2,0.0
1539875281030580008,2489,1539875281030311080,base_link,30.19,0.0
1539875281153038056,2490,1539875281152584008,base_link,30.19,0.0
1539875281236929736,2491,1539875281234571976,base_link,30.18,0.0
1539875281320279912,2492,1539875281317380168,base_link,30.18,0.0
1539875281440037576,2493,1539875281437101992,base_link,30.18,0.0
1539875281556433640,2494,1539875281556135624,base_link,30.18,0.0
1539875281625137544,2495,1539875281624387624,base_link,30.17,0.0
1539875281760476712,2496,1539875281759401832,base_link,30.17,0.0
1539875281827242088,2497,1539875281826868968,base_link,30.16,0.0
1539875281934840264,2498,1539875281933910152,base_link,30.16,0.0
1539875282014351208,2499,1539875282014075336,base_link,30.16,0.0
1539875282170716904,2500,1539875282170523976,base_link,30.16,0.0
1539875282208710536,2501,1539875282208411240,base_link,30.15,0.0
1539875282333022824,2502,1539875282332693544,base_link,30.15,0.0
1539875282401418472,2503,1539875282401175112,base_link,30.14,0.0
1539875282538715016,2504,1539875282537392744,base_link,30.14,0.0
1539875282624258824,2505,1539875282623485704,base_link,30.14,0.0
1539875282732020776,2506,1539875282731376872,base_link,30.14,0.0
1539875282798976168,2507,1539875282798552712,base_link,30.13,0.0
1539875282930026792,2508,1539875282929647304,base_link,30.13,0.0
