%time,field.header.seq,field.header.stamp,field.header.frame_id,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
1539875278911825800,428,1539875278908794920,NED,-1.35000002384,-416.512878418,-31.981754303,9
1539875278986660776,429,1539875278983654504,NED,-1.35000002384,-416.512878418,-31.981754303,9
1539875279025350120,430,1539875279022419400,NED,-1.55999994278,-412.548248291,-30.3082008362,11
1539875279071596680,431,1539875279065185352,NED,-1.55999994278,-412.548248291,-30.3082008362,11
1539875279102746440,432,1539875279098233960,NED,-1.73000001907,-412.548248291,-28.640750885,12
1539875279185018888,433,1539875279184235848,NED,-1.86000001431,-394.706359863,-332.480682373,14
1539875279223318024,434,1539875279219039624,NED,-1.86000001431,-394.706359863,-332.480682373,14
1539875279288499144,435,1539875279286477320,NED,-1.9699999094,-294.706359863,-330.874542236,16
1539875279342677832,436,1539875279341517640,NED,-1.9699999094,-294.706359863,-330.874542236,16
1539875279393695336,437,1539875279390686312,NED,-1.9699999094,-294.706359863,-330.874542236,16
1539875279425757320,438,1539875279423820328,NED,-2.05999994278,-282.588195801,-329.276916504,17
1539875279454334056,439,1539875279452357864,NED,-2.05999994278,-282.588195801,-329.276916504,17
1539875279515701736,440,1539875279514397480,NED,-2.14999985695,-282.588195801,-327.704620361,19
1539875279585592104,441,1539875279580709704,NED,-2.14999985695,-282.588195801,-327.704620361,19
1539875279615877512,442,1539875279614740200,NED,-2.23000001907,-287.25680542,-326.140777588,21
1539875279659329032,443,1539875279655538056,NED,-2.23000001907,-287.25680542,-326.140777588,21
1539875279722220456,444,1539875279720531272,NED,-2.29999995232,-287.25680542,-324.593719482,22
1539875279812272648,445,1539875279810407432,NED,-2.33999991417,-287.220581055,-323.080596924,24
1539875279861919176,446,1539875279859270120,NED,-2.33999991417,-287.220581055,-323.080596924,24
1539875279920449672,447,1539875279915343368,NED,-2.34999990463,-287.220581055,-321.575927734,25
1539875279954812776,448,1539875279953858632,NED,-2.34999990463,-287.220581055,-321.575927734,25
1539875280016963144,449,1539875280015832744,NED,-2.32999992371,-294.767578125,-320.105072021,27
1539875280065619240,450,1539875280062517896,NED,-2.32999992371,-294.767578125,-320.105072021,27
1539875280097557768,451,1539875280096235880,NED,-2.28999996185,-294.767578125,-318.651123047,29
