%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1539875278911308616,428,1539875278908813352,NED,-5.98000001907,-1.41296613216
1539875278986610568,429,1539875278983715368,NED,-5.94999980927,-1.41296613216
1539875279023194152,430,1539875279022434408,NED,-6.05999994278,-1.41296613216
1539875279069717384,431,1539875279065205352,NED,-6.0499997139,-1.41296613216
1539875279102098344,432,1539875279098247944,NED,-6.03999996185,-4.02091932297
1539875279184979912,433,1539875279184246440,NED,-6.01999998093,-4.02091932297
1539875279223241416,434,1539875279219054888,NED,-7.73999977112,-4.02091932297
1539875279288049064,435,1539875279286492328,NED,-7.69999980927,-4.02091932297
1539875279342609736,436,1539875279341531144,NED,-9.46999931335,-4.02091932297
1539875279393558120,437,1539875279390701320,NED,-9.46000003815,-4.02091932297
1539875279425739112,438,1539875279423830824,NED,-11.279999733,-5.17468166351
1539875279454260776,439,1539875279452369704,NED,-11.2699995041,-5.17468166351
1539875279515285416,440,1539875279514410728,NED,-13.1499996185,-5.17468166351
1539875279581644424,441,1539875279580727368,NED,-13.1300001144,-5.17468166351
1539875279615363816,442,1539875279614754056,NED,-14.9899997711,-5.17468166351
1539875279659084680,443,1539875279655550824,NED,-14.9699993134,-5.17468166351
1539875279722192264,444,1539875279720543432,NED,-16.8500003815,-5.17468166351
1539875279811178920,445,1539875279810425224,NED,-18.7700004578,-5.17468166351
1539875279861591624,446,1539875279859282248,NED,-18.7799987793,-7.40540647507
1539875279920411208,447,1539875279915357000,NED,-20.4399986267,-7.40540647507
1539875279954583656,448,1539875279953872936,NED,-20.5399990082,-7.40540647507
1539875280016880712,449,1539875280015846248,NED,-20.6299991608,-7.40540647507
1539875280063287208,450,1539875280062533384,NED,-20.7799987793,-7.40540647507
1539875280097402792,451,1539875280096265640,NED,-20.859998703,-7.40540647507
1539875280153414920,452,1539875280152340392,NED,-20.9399986267,-7.40540647507
1539875280187290344,453,1539875280186679016,NED,-21.0699996948,-7.40540647507
1539875280228992328,454,1539875280226679816,NED,-21.1999988556,-7.40540647507
1539875280250870152,455,1539875280249105448,NED,-21.2700004578,-7.40540647507
1539875280335340232,456,1539875280334708392,NED,-21.5699996948,-7.40540647507
1539875280378465992,457,1539875280375645192,NED,-21.7700004578,-11.6415119171
1539875280406290504,458,1539875280402439112,NED,-21.8400001526,-11.6415119171
1539875280503698568,459,1539875280502737320,NED,-22.1599998474,-11.6415119171
1539875280555373096,460,1539875280553144680,NED,-22.2699985504,-11.6415119171
1539875280621785512,461,1539875280621071912,NED,-22.1299991608,-11.6415119171
