%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1539875279079849928,0,1539875279079234792,1,1,1472,-220.0,28.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279096091144,1,1539875279095500520,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279115873256,2,1539875279115174152,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279137906504,3,1539875279137393160,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279159418888,4,1539875279158410344,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279180009896,5,1539875279179445512,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279200205896,6,1539875279199757192,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279226173288,7,1539875279225734280,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279239794472,8,1539875279239257864,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279262683688,9,1539875279261198568,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279290519336,10,1539875279289991272,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279299760616,11,1539875279298920712,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279319209160,12,1539875279317706408,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279340261544,13,1539875279339530056,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279359472264,14,1539875279359040776,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279381522024,15,1539875279380654920,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279404917416,16,1539875279404291464,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279421730184,17,1539875279419918888,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279439318152,18,1539875279438007112,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1539875279459257672,19,1539875279458914088,1,1,1472,-220.0,33.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
