%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1539875279126633288,610,1539875279125562280,,1539883543421000000,fcu
1539875279431552648,611,1539875279430684520,,1539883543719000000,fcu
1539875280086011752,612,1539875280084993864,,1539883544377000000,fcu
1539875280543745320,613,1539875280543576584,,1539883544838000000,fcu
1539875281042038120,614,1539875281034567944,,1539883545338000000,fcu
1539875281629321096,615,1539875281628476584,,1539883545900000000,fcu
1539875282000738184,616,1539875281999245832,,1539883546298000000,fcu
1539875282539243432,617,1539875282538971656,,1539883546838000000,fcu
1539875282926744328,618,1539875282926383272,,1539883547220000000,fcu
1539875283449730408,619,1539875283448130856,,1539883547758000000,fcu
1539875283856868584,620,1539875283856249672,,1539883548158000000,fcu
1539875284356574760,621,1539875284356370472,,1539883548640000000,fcu
1539875284874973544,622,1539875284874261096,,1539883549158000000,fcu
1539875285256639560,623,1539875285255453448,,1539883549521000000,fcu
1539875285770186152,624,1539875285769961512,,1539883550042000000,fcu
1539875286246896200,625,1539875286243475944,,1539883550520000000,fcu
1539875286566596360,626,1539875286566026088,,1539883550858000000,fcu
1539875287008857288,627,1539875287008351784,,1539883551298000000,fcu
1539875287431548744,628,1539875287431278696,,1539883551682000000,fcu
1539875287726298408,629,1539875287725999336,,1539883552002000000,fcu
1539875288278952744,630,1539875288276508904,,1539883552560000000,fcu
1539875288781879752,631,1539875288781287688,,1539883553058000000,fcu
1539875289245702088,632,1539875289245316680,,1539883553520000000,fcu
1539875289847574056,633,1539875289846769640,,1539883554121000000,fcu
1539875290339103720,634,1539875290334491336,,1539883554601000000,fcu
1539875290866480616,635,1539875290866042568,,1539883555158000000,fcu
1539875291285062632,636,1539875291284821704,,1539883555559000000,fcu
1539875291715536712,637,1539875291715321704,,1539883555980000000,fcu
1539875292379492232,638,1539875292379011080,,1539883556659000000,fcu
1539875292791164232,639,1539875292790969992,,1539883557041000000,fcu
1539875293103210536,640,1539875293102812680,,1539883557361000000,fcu
1539875293494697032,641,1539875293494171464,,1539883557759000000,fcu
1539875293937020392,642,1539875293936409512,,1539883558201000000,fcu
1539875294533392328,643,1539875294533206184,,1539883558823000000,fcu
1539875294969318440,644,1539875294969061128,,1539883559262000000,fcu
1539875295276120840,645,1539875295275736168,,1539883559577000000,fcu
1539875295784893064,646,1539875295784602504,,1539883560060000000,fcu
1539875296334519304,647,1539875296333050376,,1539883560622000000,fcu
1539875296789804552,648,1539875296784423560,,1539883561078000000,fcu
1539875297335485256,649,1539875297335191880,,1539883561623000000,fcu
1539875297843602728,650,1539875297843333448,,1539883562120000000,fcu
1539875298229993768,651,1539875298229768744,,1539883562538000000,fcu
1539875298733452392,652,1539875298732749160,,1539883563038000000,fcu
1539875299300378408,653,1539875299299821704,,1539883563598000000,fcu
1539875299810009800,654,1539875299809842408,,1539883564098000000,fcu
1539875300303308616,655,1539875300303104232,,1539883564581000000,fcu
1539875300824643880,656,1539875300824458472,,1539883565101000000,fcu
1539875301286579624,657,1539875301285951944,,1539883565559000000,fcu
1539875301736608488,658,1539875301736332520,,1539883566038000000,fcu
1539875302275059816,659,1539875302274741736,,1539883566542000000,fcu
1539875302776073864,660,1539875302775134024,,1539883567059000000,fcu
1539875303074999624,661,1539875303074724168,,1539883567359000000,fcu
1539875303480730728,662,1539875303480500424,,1539883567760000000,fcu
1539875303823315208,663,1539875303823158184,,1539883568101000000,fcu
1539875304319891880,664,1539875304319266632,,1539883568602000000,fcu
1539875304927041576,665,1539875304926774408,,1539883569222000000,fcu
1539875305306036456,666,1539875305305797832,,1539883569580000000,fcu
1539875305842620936,667,1539875305842414312,,1539883570120000000,fcu
1539875306362833352,668,1539875306362645704,,1539883570660000000,fcu
1539875307002773608,669,1539875307002541384,,1539883571263000000,fcu
1539875307384483112,670,1539875307383609064,,1539883571660000000,fcu
1539875307806132488,671,1539875307805501320,,1539883572060000000,fcu
1539875308236018888,672,1539875308235691400,,1539883572519000000,fcu
1539875308685896872,673,1539875308685414920,,1539883572958000000,fcu
1539875309290667720,674,1539875309289866536,,1539883573558000000,fcu
1539875309785252936,675,1539875309784924296,,1539883574058000000,fcu
1539875310162927816,676,1539875310162579048,,1539883574422000000,fcu
