%time,field.data
1539875886994416488,67.549
1539875887230284328,67.28
1539875887460182824,67.204
1539875887688476520,67.306
1539875887923333928,67.386
1539875888201031528,67.186
1539875888407754792,66.899
1539875888684499400,66.517
1539875888907931784,66.113
1539875889124991656,65.576
1539875889376302888,64.684
1539875889612715112,63.55
1539875889836944872,62.404
1539875890091378824,61.077
1539875890298360616,59.511
1539875890584804360,57.73
1539875890816456648,55.853
1539875891046043848,54.176
1539875891321073320,52.177
1539875891549424552,50.328
1539875891809652616,48.499
1539875892015878056,47.254
1539875892278951848,46.241
1539875892522519048,45.821
1539875892748410152,45.768
1539875892977444104,45.804
1539875893218759176,46.037
1539875893468397640,46.386
1539875893748859976,47.161
1539875893948182792,47.837
1539875894170777256,48.506
1539875894441207816,49.196
1539875894681811976,49.797
1539875894944902856,50.463
1539875895162791656,50.91
1539875895418760904,51.373
1539875895650881768,51.547
1539875895896375624,51.621
1539875896191620552,51.693
1539875896438523336,51.931
1539875896664215464,52.246
1539875896915684168,52.4
1539875897115304232,52.487
1539875897368625480,52.63
1539875897579796552,52.724
1539875897773305160,52.699
1539875898083515944,52.435
1539875898321435144,52.163
1539875898488340040,52.007
1539875898722757096,51.859
1539875898964603400,51.732
1539875899192961192,51.656
1539875899493191784,51.361
1539875899678707144,51.141
1539875899944144552,50.764
1539875900143112648,50.529
1539875900388069416,50.273
1539875900633137448,50.079
1539875900833512808,49.989
1539875901082128712,50.035
1539875901334830216,50.3
1539875901591127432,50.662
1539875901855604872,51.057
1539875902081276584,51.45
1539875902350188488,51.884
1539875902578689608,52.32
1539875902796669960,52.722
1539875903018567304,53.049
1539875903262251784,53.339
1539875903521132296,53.554
1539875903763290024,53.635
1539875904023537544,53.583
1539875904248250728,53.481
1539875904502205096,53.348
1539875904740998600,53.219
1539875904984604744,53.142
1539875905200653896,53.03
1539875905480698728,52.891
1539875905732078600,52.793
1539875905967467368,52.656
1539875906225097032,52.473
1539875906436926856,52.261
1539875906684814728,51.991
1539875906900004104,51.78
1539875907146461256,51.493
1539875907417190952,51.113
1539875907635279560,50.672
1539875907887880264,50.268
1539875908113951592,50.037
1539875908357958568,49.813
1539875908650737928,49.273
1539875908860457960,48.846
1539875909100137128,48.31
1539875909348676616,47.866
1539875909578538984,47.573
1539875909844829480,47.414
1539875910072899272,47.414
1539875910353712360,47.573
1539875910585196456,47.847
1539875910817322088,48.24
1539875911057679496,48.64
1539875911315102632,49.182
1539875911563245320,49.796
1539875911822560648,50.452
1539875912059120968,50.873
1539875912362662888,51.327
1539875912565594920,51.577
1539875912817125960,51.977
1539875913077608488,52.339
1539875913310793512,52.511
1539875913552639624,52.512
1539875913816771496,52.339
1539875914064926568,52.044
1539875914302128232,51.647
1539875914521170472,51.224
1539875914778483560,50.744
1539875915016534856,50.219
1539875915247429576,49.716
1539875915468629928,49.139
1539875915698122312,48.631
1539875915976396072,48.149
1539875916203348680,48.043
1539875916386631688,48.155
1539875916624959144,48.399
1539875916865113768,48.734
1539875917112244936,49.011
1539875917361245576,49.196
1539875917602565352,49.33
1539875917824015240,49.391
1539875918093392328,49.345
1539875918306559240,49.304
1539875918560194440,49.253
1539875918755699592,49.162
1539875918955573864,49.058
1539875919171774920,48.943
1539875919423076872,48.852
1539875919651819208,48.82
1539875919875276840,48.75
1539875920114927592,48.637
1539875920352939944,48.471
1539875920620922056,48.306
1539875920854958632,48.128
1539875921115818568,47.907
1539875921340833352,47.811
1539875921597687240,47.829
1539875921834357992,47.977
1539875922098539752,48.315
1539875922313308200,48.704
1539875922597005768,49.281
1539875922784908232,49.625
1539875923006193896,49.947
