%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1539875887021847720,8549,1539875887020570024,base_link,509000.0,-409000.0,-272000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887093935336,8550,1539875887086201736,base_link,373000.0,-361000.0,-324000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887225855368,8551,1539875887225123592,base_link,449000.0,-449000.0,-268000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887302838440,8552,1539875887295219816,base_link,571000.0,-605000.0,-179000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887393084712,8553,1539875887391966504,base_link,606000.0,-642000.0,-144000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887502253896,8554,1539875887500541032,base_link,505000.0,-608000.0,-168000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887599159976,8555,1539875887598547240,base_link,439000.0,-571000.0,-191000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887696441736,8556,1539875887695629032,base_link,392000.0,-549000.0,-191000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887797860840,8557,1539875887791121928,base_link,346000.0,-542000.0,-200000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887916777832,8558,1539875887916236328,base_link,313000.0,-532000.0,-202000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875887999329096,8559,1539875887998730824,base_link,293000.0,-505000.0,-216000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875888106615560,8560,1539875888105787816,base_link,275000.0,-483000.0,-230000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875888215787688,8561,1539875888214800360,base_link,262000.0,-466000.0,-236000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539875888316779080,8562,1539875888303338504,base_link,246000.0,-462000.0,-234000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
