%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1539875887058378024,2928,1539875887057378472,NED,15.0,0.0
1539875887119781896,2929,1539875887119347848,NED,15.0,0.0
1539875887163060776,2930,1539875887162482568,NED,15.0,0.0
1539875887191710312,2931,1539875887190810600,NED,16.0,0.0
1539875887244302632,2932,1539875887242990568,NED,16.0,0.0
1539875887281967016,2933,1539875887280511272,NED,16.0,0.0
1539875887367624040,2934,1539875887367158216,NED,16.0,0.0
1539875887388785576,2935,1539875887388209032,NED,16.0,0.0
1539875887454418280,2936,1539875887453512936,NED,16.0,0.0
1539875887489160008,2937,1539875887487762280,NED,16.0,0.0
1539875887564593192,2938,1539875887563765928,NED,16.0,0.0
1539875887645108648,2939,1539875887640173832,NED,16.0,0.0
1539875887686719688,2940,1539875887684891272,NED,16.0,0.0
1539875887745993768,2941,1539875887744668776,NED,16.0,0.0
1539875887797997192,2942,1539875887789331432,NED,16.0,0.0
1539875887820961512,2943,1539875887820071336,NED,16.0,0.0
1539875887865658920,2944,1539875887864825896,NED,16.0,0.0
1539875887914411912,2945,1539875887913315752,NED,16.0,0.0
1539875887973988296,2946,1539875887972934408,NED,16.0,0.0
1539875887987412072,2947,1539875887985823656,NED,16.0,0.0
1539875888082001352,2948,1539875888080897992,NED,16.0,0.0
1539875888197802888,2949,1539875888196881160,NED,16.0,0.0
1539875888258947016,2950,1539875888257246568,NED,16.0,0.0
1539875888297434536,2951,1539875888295413000,NED,16.0,0.0
1539875888351893032,2952,1539875888351370152,NED,16.0,0.0
1539875888399651784,2953,1539875888399081096,NED,16.0,0.0
1539875888463903432,2954,1539875888462993352,NED,16.0,0.0
1539875888511081224,2955,1539875888501634824,NED,16.0,0.0
1539875888582640712,2956,1539875888581584744,NED,16.0,0.0
1539875888682418152,2957,1539875888681675112,NED,16.0,0.0
1539875888712542600,2958,1539875888712107784,NED,16.0,0.0
1539875888751956008,2959,1539875888748141256,NED,16.0,0.0
1539875888802850376,2960,1539875888799922024,NED,16.0,0.0
1539875888856323688,2961,1539875888854636808,NED,16.0,0.0
1539875888891750632,2962,1539875888889421224,NED,16.0,0.0
1539875888926128552,2963,1539875888925505320,NED,16.0,0.0
1539875888971219336,2964,1539875888970854344,NED,16.0,0.0
1539875889006369224,2965,1539875889005049032,NED,16.0,0.0
1539875889044750376,2966,1539875889043719784,NED,16.0,0.0
1539875889118825000,2967,1539875889118283688,NED,16.0,0.0
1539875889172824168,2968,1539875889172425800,NED,16.0,0.0
1539875889192336520,2969,1539875889191484360,NED,16.0,0.0
1539875889247841256,2970,1539875889247406184,NED,16.0,0.0
1539875889359564008,2971,1539875889358832840,NED,16.0,0.0
1539875889401754088,2972,1539875889399918280,NED,16.0,0.0
1539875889443545416,2973,1539875889442943208,NED,16.0,0.0
1539875889498688552,2974,1539875889497814568,NED,16.0,0.0
1539875889583950152,2975,1539875889581762312,NED,16.0,0.0
1539875889597317384,2976,1539875889596782376,NED,16.0,0.0
1539875889677102440,2977,1539875889676030184,NED,16.0,0.0
1539875889687978856,2978,1539875889687304008,NED,16.0,0.0
1539875889760633832,2979,1539875889760035304,NED,16.0,0.0
1539875889809491912,2980,1539875889803765576,NED,16.0,0.0
1539875889834435080,2981,1539875889825084200,NED,16.0,0.0
1539875889873503720,2982,1539875889871168520,NED,16.0,0.0
1539875889974519752,2983,1539875889973415624,NED,16.0,0.0
1539875890020291080,2984,1539875890019915848,NED,16.0,0.0
1539875890083831656,2985,1539875890082856072,NED,16.0,0.0
1539875890117534312,2986,1539875890115111080,NED,16.0,0.0
1539875890152853768,2987,1539875890152319208,NED,16.0,0.0
1539875890188486376,2988,1539875890187562728,NED,16.0,0.0
1539875890264004520,2989,1539875890263374952,NED,16.0,0.0
1539875890283863112,2990,1539875890283350344,NED,16.0,0.0
1539875890388571272,2991,1539875890387757192,NED,16.0,0.0
1539875890480556840,2992,1539875890480055432,NED,16.0,0.0
1539875890502441576,2993,1539875890497072616,NED,16.0,0.0
1539875890583495048,2994,1539875890582299304,NED,16.0,0.0
1539875890602205800,2995,1539875890597770312,NED,16.0,0.0
1539875890673044136,2996,1539875890672611624,NED,16.0,0.0
1539875890690105320,2997,1539875890686689960,NED,16.0,0.0
1539875890763868232,2998,1539875890763254120,NED,16.0,0.0
1539875890794811208,2999,1539875890793554984,NED,16.0,0.0
1539875890852825064,3000,1539875890852256168,NED,16.0,0.0
1539875890924592808,3001,1539875890913150120,NED,16.0,0.0
1539875890980131144,3002,1539875890977601736,NED,16.0,0.0
1539875890991765256,3003,1539875890989596040,NED,16.0,0.0
1539875891043030920,3004,1539875891041353640,NED,16.0,0.0
1539875891078381064,3005,1539875891076873544,NED,16.0,0.0
1539875891194363944,3006,1539875891190763784,NED,16.0,0.0
1539875891262884232,3007,1539875891262447848,NED,16.0,0.0
1539875891316714280,3008,1539875891316384264,NED,16.0,0.0
1539875891358713352,3009,1539875891357103176,NED,16.0,0.0
1539875891395614312,3010,1539875891395115432,NED,16.0,0.0
1539875891473440072,3011,1539875891472028520,NED,16.0,0.0
1539875891545239208,3012,1539875891544549544,NED,16.0,0.0
1539875891592854728,3013,1539875891590998984,NED,16.0,0.0
1539875891628178440,3014,1539875891627430376,NED,16.0,0.0
1539875891717908680,3015,1539875891708799944,NED,16.0,0.0
1539875891726269320,3016,1539875891725684680,NED,16.0,0.0
1539875891781098248,3017,1539875891780539400,NED,16.0,0.0
1539875891874137096,3018,1539875891873777128,NED,16.0,0.0
1539875891928154888,3019,1539875891927668200,NED,16.0,0.0
1539875891967595720,3020,1539875891967166216,NED,16.0,0.0
1539875891999329672,3021,1539875891997892360,NED,16.0,0.0
1539875892070459560,3022,1539875892069977256,NED,16.0,0.0
1539875892089686440,3023,1539875892089357928,NED,16.0,0.0
1539875892157352680,3024,1539875892156762888,NED,16.0,0.0
1539875892224599560,3025,1539875892223757512,NED,16.0,0.0
