%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1539875887044630440,3000,1539875887043705544,NED,29.4399986267,-2.16907048225
1539875887086674152,3001,1539875887085292104,NED,31.5699996948,-2.16907048225
1539875887115892584,3002,1539875887114685640,NED,31.5799999237,-2.16907048225
1539875887158384488,3003,1539875887157999432,NED,31.5900001526,8.51041698456
1539875887183843656,3004,1539875887183334760,NED,38.2399978638,8.51041698456
1539875887243797608,3005,1539875887240783624,NED,38.2599983215,8.51041698456
1539875887281791688,3006,1539875887279916744,NED,37.3800010681,8.51041698456
1539875887361574984,3007,1539875887360788328,NED,37.3800010681,8.51041698456
1539875887384139624,3008,1539875887383502408,NED,36.0200004578,8.51041698456
1539875887446831272,3009,1539875887445703496,NED,36.0200004578,8.51041698456
1539875887477615816,3010,1539875887476483656,NED,36.0200004578,8.51041698456
1539875887562920616,3011,1539875887562090536,NED,34.0999984741,26.2490787506
1539875887643436840,3012,1539875887637739368,NED,31.5299987793,26.2490787506
1539875887680150920,3013,1539875887679483016,NED,31.5299987793,26.2490787506
1539875887743024648,3014,1539875887742505544,NED,28.8400001526,26.2490787506
1539875887764899336,3015,1539875887763607848,NED,28.8400001526,26.2490787506
1539875887801533064,3016,1539875887799825224,NED,27.109998703,26.2490787506
1539875887860819944,3017,1539875887860186440,NED,27.109998703,26.2490787506
1539875887912277704,3018,1539875887911776040,NED,25.6199989319,36.1547775269
1539875887968773576,3019,1539875887968213000,NED,25.6199989319,36.1547775269
1539875887983951656,3020,1539875887983453224,NED,23.6199989319,36.1547775269
1539875888057523496,3021,1539875888056656456,NED,23.6199989319,36.1547775269
1539875888098872680,3022,1539875888096839720,NED,21.5699996948,36.1547775269
1539875888191877800,3023,1539875888189726248,NED,18.9899997711,36.1547775269
1539875888255216616,3024,1539875888254666472,NED,18.9899997711,36.1547775269
1539875888292843080,3025,1539875888292437448,NED,16.3299999237,39.9803733826
1539875888347881224,3026,1539875888347307016,NED,16.3299999237,39.9803733826
1539875888396689288,3027,1539875888396386472,NED,13.0499992371,39.9803733826
1539875888436003400,3028,1539875888433331080,NED,13.0499992371,39.9803733826
1539875888486553704,3029,1539875888485691624,NED,9.36999988556,39.9803733826
1539875888559065000,3030,1539875888555481704,NED,9.35999965668,39.9803733826
1539875888618324264,3031,1539875888617206152,NED,6.44000005722,39.9803733826
1539875888676901576,3032,1539875888676171112,NED,6.44000005722,36.5303192139
1539875888699780872,3033,1539875888698909832,NED,3.74000000954,36.5303192139
1539875888747637160,3034,1539875888745845800,NED,3.73000001907,36.5303192139
1539875888802712040,3035,1539875888797439624,NED,1.30999994278,36.5303192139
1539875888850680456,3036,1539875888850061480,NED,1.30999994278,36.5303192139
1539875888890432264,3037,1539875888887701544,NED,-0.810000002384,36.5303192139
1539875888923055016,3038,1539875888922719816,NED,-0.810000002384,36.5303192139
1539875888965736200,3039,1539875888965089032,NED,-0.810000002384,36.5303192139
1539875889003743048,3040,1539875889002845544,NED,-2.39999985695,36.5303192139
1539875889043518376,3041,1539875889040179304,NED,-2.39999985695,24.7156543732
1539875889116371880,3042,1539875889114353608,NED,-3.62999987602,24.7156543732
