%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1539875887048982696,3000,1539875887043710248,NED,104.0,-75.6908340454
1539875887086717448,3001,1539875887085296104,NED,104.0,-75.6908340454
1539875887117802504,3002,1539875887114692712,NED,104.0,-75.6908340454
1539875887158634600,3003,1539875887158003272,NED,104.0,-72.9212799072
1539875887186401352,3004,1539875887183338792,NED,-44.0,-72.9212799072
1539875887243831016,3005,1539875887240788712,NED,-44.0,-72.9212799072
1539875887281885128,3006,1539875887279921448,NED,-44.0,-72.9212799072
1539875887361738120,3007,1539875887360794056,NED,-44.0,-72.9212799072
1539875887385701000,3008,1539875887383506952,NED,-44.0,-72.9212799072
1539875887446878824,3009,1539875887445709960,NED,-44.0,-72.9212799072
1539875887477687400,3010,1539875887476489352,NED,-44.0,-72.9212799072
1539875887564381288,3011,1539875887562095048,NED,-44.0,-67.630645752
1539875887643898856,3012,1539875887637745288,NED,-44.0,-67.630645752
1539875887680227240,3013,1539875887679487656,NED,-44.0,-67.630645752
1539875887743294408,3014,1539875887742510824,NED,-44.0,-67.630645752
1539875887764951624,3015,1539875887763613032,NED,-44.0,-67.630645752
1539875887802142280,3016,1539875887799828552,NED,-44.0,-67.630645752
1539875887863634376,3017,1539875887860192616,NED,-44.0,-67.630645752
1539875887912623272,3018,1539875887911779816,NED,-44.0,-64.6177444458
1539875887972534344,3019,1539875887968217352,NED,-44.0,-64.6177444458
1539875887984534408,3020,1539875887983457256,NED,-44.0,-64.6177444458
1539875888057631656,3021,1539875888056662024,NED,-44.0,-64.6177444458
1539875888099075048,3022,1539875888096843912,NED,-44.0,-64.6177444458
1539875888191923400,3023,1539875888189731944,NED,-44.0,-64.6177444458
1539875888255266216,3024,1539875888254670824,NED,-44.0,-64.6177444458
1539875888293848520,3025,1539875888292441640,NED,-44.0,-60.3588600159
1539875888349047176,3026,1539875888347311496,NED,-44.0,-60.3588600159
1539875888397309736,3027,1539875888396390568,NED,-44.0,-60.3588600159
1539875888438045832,3028,1539875888433336392,NED,-44.0,-60.3588600159
1539875888486689096,3029,1539875888485696264,NED,-44.0,-60.3588600159
1539875888559138600,3030,1539875888555486920,NED,-44.0,-60.3588600159
1539875888618389416,3031,1539875888617211688,NED,-44.0,-60.3588600159
1539875888676995496,3032,1539875888676175880,NED,-44.0,-56.7121505737
1539875888708153736,3033,1539875888698913480,NED,-44.0,-56.7121505737
