%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1539875887260420776,2741,1539875887259463528,,0,1505,1535,1420,1527,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875887594189224,2742,1539875887593869448,,0,1505,1535,1420,1513,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875887824141416,2743,1539875887823838216,,0,1504,1535,1423,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875888233090056,2744,1539875888232652808,,0,1506,1535,1423,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875888476329576,2745,1539875888475664648,,0,1506,1535,1423,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875888861405512,2746,1539875888861164744,,0,1506,1535,1423,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875889202912872,2747,1539875889202683176,,0,1506,1535,1423,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875889522616680,2748,1539875889522328168,,0,1506,1535,1423,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875889875137096,2749,1539875889874937576,,0,1506,1535,1423,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875890215474472,2750,1539875890215223432,,0,1506,1535,1423,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875890625204680,2751,1539875890623261160,,0,1506,1535,1440,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875890928080360,2752,1539875890927799240,,0,1506,1535,1467,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
1539875891288106888,2753,1539875891286348488,,0,1506,1535,1483,1512,1514,2036,2036,1926,1514,1514,1514,1514,1514,1514,1514,1514
