%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1539875887017695784,876,1539875887017367080,,1,1,1,GUIDED,4
1539875887997290056,877,1539875887997053096,,1,1,1,GUIDED,4
1539875888972504936,878,1539875888972320360,,1,1,1,GUIDED,4
1539875889986066760,879,1539875889985390824,,1,1,1,GUIDED,4
1539875890997142088,880,1539875890996357512,,1,1,1,GUIDED,4
1539875891968941736,881,1539875891968717320,,1,1,1,GUIDED,4
1539875893017553768,882,1539875893003897672,,1,1,1,GUIDED,4
1539875893998483272,883,1539875893998245128,,1,1,1,GUIDED,4
1539875894975339176,884,1539875894975096968,,1,1,1,GUIDED,4
1539875895993257960,885,1539875895992281032,,1,1,1,GUIDED,4
1539875897000980616,886,1539875897000172328,,1,1,1,GUIDED,4
1539875897987120712,887,1539875897986737064,,1,1,1,GUIDED,4
1539875899000023336,888,1539875898999784616,,1,1,1,GUIDED,4
1539875899994319176,889,1539875899993345352,,1,1,1,GUIDED,4
1539875901019591368,890,1539875901019316584,,1,1,1,GUIDED,4
1539875901978826728,891,1539875901978227912,,1,1,1,GUIDED,4
1539875902979620456,892,1539875902979098280,,1,1,1,GUIDED,4
1539875904013348840,893,1539875904013060072,,1,1,1,GUIDED,4
1539875905010821992,894,1539875905008746472,,1,1,1,GUIDED,4
1539875905992800040,895,1539875905990383400,,1,1,1,GUIDED,4
1539875907011167272,896,1539875907009878184,,1,1,1,GUIDED,4
1539875908002053800,897,1539875908001861032,,1,1,1,GUIDED,4
1539875908979775016,898,1539875908979359688,,1,1,1,GUIDED,4
1539875909981076456,899,1539875909972738088,,1,1,1,GUIDED,4
1539875910984329000,900,1539875910984009032,,1,1,1,GUIDED,4
1539875911995466600,901,1539875911995026056,,1,1,1,GUIDED,4
1539875913004165416,902,1539875913003893320,,1,1,1,GUIDED,4
1539875913998680808,903,1539875913998267976,,1,1,1,GUIDED,4
1539875914979984104,904,1539875914968125832,,1,1,1,GUIDED,4
1539875915985726376,905,1539875915985331112,,1,1,1,GUIDED,4
1539875916971650184,906,1539875916971395368,,1,1,1,GUIDED,4
1539875918007300872,907,1539875918007015816,,1,1,1,GUIDED,4
1539875919006881544,908,1539875919006564904,,1,1,1,GUIDED,4
1539875920003791560,909,1539875920002870824,,1,1,1,GUIDED,4
1539875921002963880,910,1539875921002668264,,1,1,1,GUIDED,4
1539875922002198696,911,1539875922001412936,,1,1,1,GUIDED,4
1539875923001161576,912,1539875923000712456,,1,1,1,GUIDED,4
1539875923974127208,913,1539875923973670408,,1,1,1,GUIDED,4
1539875925000585192,914,1539875924998964008,,1,1,1,GUIDED,4
1539875926009185672,915,1539875926008910504,,1,1,1,GUIDED,4
1539875926990946504,916,1539875926990684808,,1,1,1,GUIDED,4
1539875927993817512,917,1539875927992552808,,1,1,1,GUIDED,4
1539875928998336648,918,1539875928997037032,,1,1,1,GUIDED,4
1539875930000424456,919,1539875929999980392,,1,1,1,GUIDED,4
1539875931009113992,920,1539875931007315976,,1,1,1,GUIDED,4
1539875931979842824,921,1539875931978909736,,1,1,1,GUIDED,4
1539875932994239016,922,1539875932993763592,,1,1,1,GUIDED,4
1539875934012989768,923,1539875934012610376,,1,1,1,GUIDED,4
1539875935003269736,924,1539875935003021096,,1,1,1,GUIDED,4
1539875936006606088,925,1539875936006218984,,1,1,1,GUIDED,4
1539875937042169192,926,1539875937041504744,,1,1,1,GUIDED,4
1539875937994942536,927,1539875937994370312,,1,1,1,GUIDED,4
1539875939000304392,928,1539875938999870088,,1,1,1,GUIDED,4
1539875939999752680,929,1539875939999347848,,1,1,1,GUIDED,4
1539875941003300072,930,1539875941002746024,,1,1,1,GUIDED,4
1539875941981707112,931,1539875941981157416,,1,1,1,GUIDED,4
1539875943002957480,932,1539875943001688104,,1,1,1,GUIDED,4
1539875943994694984,933,1539875943993937576,,1,1,1,GUIDED,4
1539875945000174024,934,1539875944999946888,,1,1,1,GUIDED,4
1539875945995962760,935,1539875945995728264,,1,1,1,GUIDED,4
1539875946998388104,936,1539875946998018824,,1,1,1,GUIDED,4
1539875948004980584,937,1539875948002247112,,1,1,1,GUIDED,4
1539875948989149256,938,1539875948988837896,,1,1,1,GUIDED,4
1539875949997820520,939,1539875949986510664,,1,1,1,GUIDED,4
1539875950980314088,940,1539875950979856488,,1,1,1,GUIDED,4
1539875951992590440,941,1539875951992131272,,1,1,1,GUIDED,4
1539875953025266120,942,1539875953023893480,,1,1,1,GUIDED,4
1539875954002183272,943,1539875954001536360,,1,1,1,GUIDED,4
1539875954988606760,944,1539875954988210280,,1,1,1,GUIDED,4
1539875955962309768,945,1539875955962129256,,1,1,1,GUIDED,4
1539875956992284040,946,1539875956992063528,,1,1,1,GUIDED,4
1539875957995379368,947,1539875957994898216,,1,1,1,GUIDED,4
1539875959005519112,948,1539875959004105288,,1,1,1,GUIDED,4
1539875959989152552,949,1539875959988724456,,1,1,1,GUIDED,4
1539875961083809384,950,1539875961078298376,,1,1,1,GUIDED,4
1539875961993221032,951,1539875961991239944,,1,1,1,GUIDED,4
1539875962998467976,952,1539875962998067048,,1,1,1,GUIDED,4
1539875963994574568,953,1539875963994270056,,1,1,1,GUIDED,4
1539875964995606792,954,1539875964995170632,,1,1,1,GUIDED,4
1539875966017398152,955,1539875966016796968,,1,1,1,GUIDED,4
1539875967002262120,956,1539875967001718920,,1,1,1,GUIDED,4
1539875968000175496,957,1539875967999563816,,1,1,1,GUIDED,4
1539875968982514760,958,1539875968980801416,,1,1,1,GUIDED,4
1539875969989758888,959,1539875969989435656,,1,1,1,GUIDED,4
1539875970977068072,960,1539875970976863368,,1,1,1,GUIDED,4
1539875971991521160,961,1539875971991084392,,1,1,1,GUIDED,4
1539875972998504968,962,1539875972998276104,,1,1,1,GUIDED,4
1539875973995329480,963,1539875973994860840,,1,1,1,GUIDED,4
1539875974997886536,964,1539875974995430696,,1,1,1,GUIDED,4
1539875975990128744,965,1539875975988186600,,1,1,1,GUIDED,4
1539875977006042536,966,1539875977003872840,,1,1,1,GUIDED,4
1539875978000426856,967,1539875977997593672,,1,1,1,GUIDED,4
1539875978987343592,968,1539875978986897128,,1,1,1,GUIDED,4
1539875979982277064,969,1539875979981652968,,1,1,1,GUIDED,4
1539875980997238312,970,1539875980993885640,,1,1,1,GUIDED,4
1539875982018807944,971,1539875982013681320,,1,1,1,GUIDED,4
1539875982980171016,972,1539875982978705736,,1,1,1,GUIDED,4
1539875984018449896,973,1539875984015318984,,1,1,1,GUIDED,4
1539875984982449544,974,1539875984981965192,,1,1,1,GUIDED,4
1539875985992385160,975,1539875985992087080,,1,1,1,GUIDED,4
1539875986985428712,976,1539875986984192136,,1,1,1,GUIDED,4
1539875987986296584,977,1539875987985395784,,1,1,1,GUIDED,4
1539875989000207624,978,1539875988999953992,,1,1,1,GUIDED,4
1539875989974333320,979,1539875989972978440,,1,1,1,GUIDED,4
1539875990987008392,980,1539875990985268040,,1,1,1,GUIDED,4
1539875992000348456,981,1539875991999870472,,1,1,1,GUIDED,4
1539875992995820104,982,1539875992994182536,,1,1,1,GUIDED,4
1539875993971493352,983,1539875993971223944,,1,1,1,GUIDED,4
1539875994977452360,984,1539875994977011944,,1,1,1,GUIDED,4
1539875996031549992,985,1539875996031226728,,1,1,1,GUIDED,4
1539875997003110760,986,1539875997002883272,,1,1,1,GUIDED,4
1539875997986495880,987,1539875997986264296,,1,1,1,GUIDED,4
1539875998985870440,988,1539875998983990920,,1,1,1,GUIDED,4
1539876000003148392,989,1539876000002064200,,1,1,1,GUIDED,4
1539876000996020840,990,1539876000995739688,,1,1,1,GUIDED,4
1539876001999266056,991,1539876001998624808,,1,1,1,GUIDED,4
1539876002991476008,992,1539876002990655880,,1,1,1,GUIDED,4
1539876003987756712,993,1539876003986813768,,1,1,1,GUIDED,4
