%time,field.data
1539875216773461320,267.21
1539875217022252968,268.48
1539875217255597512,271.09
1539875217528209544,275.8
1539875217770531816,281.27
1539875218032071304,286.33
1539875218229195464,289.98
1539875218443337704,293.62
1539875218681623464,296.54
1539875218930016936,299.35
1539875219176174152,302.35
1539875219440024296,304.55
1539875219654330600,306.4
1539875219924997160,308.23
1539875220175216680,310.0
1539875220394813512,311.39
1539875220645571560,312.61
1539875220847275144,313.88
1539875221104532680,314.33
1539875221345056008,313.9
1539875221575644584,313.06
1539875221837650632,312.46
1539875222074374376,312.74
1539875222328636264,312.44
1539875222581630408,312.71
1539875222804657480,313.47
1539875223023837448,313.62
1539875223264771784,313.04
1539875223529960616,311.51
1539875223807322568,311.3
1539875224045791432,312.36
1539875224273966760,312.96
1539875224523664424,313.12
1539875224772784936,312.79
1539875224991729768,311.95
1539875225216058568,311.73
1539875225478137704,311.62
1539875225730177416,311.57
1539875225984663784,311.32
1539875226228326120,310.18
1539875226499890600,310.21
1539875226718320584,312.28
1539875226964996328,313.75
1539875227217318472,311.62
1539875227400388840,309.86
1539875227634876776,309.72
1539875227889602312,311.53
1539875228117588872,313.21
1539875228395500584,312.16
1539875228614022600,311.06
1539875228866085704,309.84
1539875229076029768,308.04
1539875229315209448,307.52
1539875229520463336,307.77
1539875229761609512,308.24
1539875230013666632,308.1
1539875230261605384,308.05
1539875230519589928,307.51
1539875230723858984,306.85
1539875230962365096,306.32
1539875231215037064,306.17
1539875231433165800,306.25
1539875231656354408,306.12
1539875231910970568,305.82
1539875232181008712,306.01
1539875232434727720,306.24
1539875232672523912,305.83
1539875232896352648,305.21
1539875233157652136,304.56
1539875233432017800,305.73
1539875233624400840,307.32
1539875233888399592,309.42
1539875234126526536,312.57
1539875234343788552,315.61
1539875234582872968,319.79
1539875234834215432,325.22
1539875235054053928,331.23
1539875235273657608,338.04
1539875235503836616,346.74
1539875235764275752,354.32
1539875236001827720,2.14
1539875236255480936,9.0
1539875236478986632,15.36
1539875236717722280,20.74
1539875236968101512,25.63
1539875237182767976,29.62
1539875237401606824,33.78
1539875237616853256,37.84
1539875237874405640,42.49
1539875238111423848,47.09
1539875238372750760,50.78
1539875238643798888,54.8
1539875238910443720,59.82
1539875239098484168,63.6
1539875239322781288,68.36
1539875239564160040,73.23
1539875239830574216,78.61
1539875240071413192,83.0
1539875240300027144,85.43
1539875240577608584,87.88
1539875240796454600,89.85
1539875241017310920,91.78
1539875241278615752,92.99
1539875241517853512,93.36
1539875241809079368,92.78
1539875241999275784,92.45
1539875242234385288,92.03
1539875242464070920,91.81
1539875242706503720,91.34
1539875242969160680,89.39
1539875243209277832,87.28
1539875243467258504,85.44
1539875243711740744,85.23
1539875243983289224,85.23
1539875244247311528,84.46
1539875244457994120,84.34
1539875244749249640,85.25
1539875244978014920,86.22
1539875245229400488,86.15
1539875245451626696,86.38
1539875245706813608,86.64
1539875245971358856,86.8
1539875246187997480,87.54
1539875246413981608,89.68
1539875246674857672,93.1
1539875246898740872,96.16
1539875247158541384,99.42
1539875247364500392,102.93
