%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.des_x,field.des_y,field.des_z,field.meas_x,field.meas_y,field.meas_z
1539875216578435464,429,1539875216577946376,NED,5,0.0,0.0,0.0,-3.00295805931,-16.5251731873,0.554463863373
1539875216608107816,430,1539875216606664200,NED,5,0.0,0.0,0.0,-2.95104289055,-16.5214366913,0.578435540199
1539875216689262312,431,1539875216688773864,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.81494569778,-16.4879150391,0.540839552879
1539875216719469096,432,1539875216718650824,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.72062897682,-16.4814319611,0.524799048901
1539875216769130728,433,1539875216768531976,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.63645339012,-16.4790439606,0.559525191784
1539875216818930920,434,1539875216818460840,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.55425286293,-16.4668560028,0.567653298378
1539875216869271688,435,1539875216868423496,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.40540933609,-16.4619483948,0.598480939865
1539875216898172776,436,1539875216897059528,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.30321073532,-16.4498653412,0.607817530632
1539875216949566568,437,1539875216948483272,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.18277859688,-16.4521694183,0.634476423264
1539875217017303816,438,1539875217013164328,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-2.01007604599,-16.4408874512,0.691811144352
1539875217038123528,439,1539875217037600104,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-1.88768482208,-16.4410915375,0.742394030094
1539875217111062440,440,1539875217109801960,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-1.68346834183,-16.4215755463,0.801370918751
1539875217156240328,441,1539875217156007432,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-1.54375600815,-16.4105205536,0.85838508606
1539875217226907624,442,1539875217226082088,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-1.29015624523,-16.380815506,1.04251122475
1539875217247893320,443,1539875217247409192,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-1.225061059,-16.3682289124,1.07558250427
1539875217352503912,444,1539875217352168456,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.853971838951,-16.3076705933,1.41117727757
1539875217440967624,445,1539875217440458920,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.58094483614,-16.2571678162,1.65058326721
1539875217526140008,446,1539875217525812328,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.341570556164,-16.21991539,1.81670796871
1539875217548629288,447,1539875217548406376,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.183988675475,-16.1926250458,1.93588459492
1539875217587922920,448,1539875217586710792,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.0188674498349,-16.1671848297,2.05947422981
1539875217629292520,449,1539875217628761608,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.155040562153,-16.1343746185,2.18865323067
1539875217680776552,450,1539875217679847592,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.466159373522,-16.0894508362,2.34185481071
1539875217758850696,451,1539875217757203816,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.823163747787,-16.0308551788,2.46013331413
1539875217814996104,452,1539875217814480072,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.14397633076,-15.9675655365,2.64504003525
1539875217836461576,453,1539875217836039400,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.3494849205,-15.9223175049,2.75914239883
1539875217907194088,454,1539875217906223528,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.64850270748,-15.8520364761,2.96266889572
1539875217946519048,455,1539875217945266472,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.86305451393,-15.7970485687,3.09581685066
1539875218027489192,456,1539875218027152616,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.34359025955,-15.6812314987,3.32781815529
1539875218079911112,457,1539875218079280232,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.73092341423,-15.5748291016,3.49410152435
1539875218151754728,458,1539875218150657928,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.13383030891,-15.4586582184,3.63143277168
1539875218176100904,459,1539875218175803912,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.27580189705,-15.4209079742,3.66219544411
1539875218227589032,460,1539875218227053768,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.71240663528,-15.286151886,3.76706147194
1539875218254054024,461,1539875218253757800,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.85801386833,-15.2429609299,3.78704071045
1539875218341706088,462,1539875218334373448,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,4.49132633209,-15.0444173813,3.82721281052
1539875218357799016,463,1539875218356893096,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,4.65035915375,-14.9932327271,3.83752965927
1539875218432840680,464,1539875218430893928,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,5.23916053772,-14.7753858566,3.87945699692
1539875218485399400,465,1539875218484092392,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,5.58092546463,-14.6223573685,3.99012947083
1539875218536728616,466,1539875218532743560,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,5.89293336868,-14.4724912643,4.13437223434
