%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1539875435229288008,3308,1539875435229041384,base_link,30.22,0.0
1539875435349294248,3309,1539875435348994696,base_link,30.22,0.0
1539875435439708648,3310,1539875435439482184,base_link,30.22,0.0
1539875435549050312,3311,1539875435544355912,base_link,30.22,0.0
1539875435621508200,3312,1539875435621314152,base_link,30.21,0.0
1539875435740716072,3313,1539875435740396296,base_link,30.21,0.0
1539875435869444488,3314,1539875435869173032,base_link,30.2,0.0
1539875435947744520,3315,1539875435946265704,base_link,30.2,0.0
1539875436048827368,3316,1539875436048539240,base_link,30.19,0.0
1539875436174682920,3317,1539875436174140168,base_link,30.19,0.0
1539875436257712264,3318,1539875436257481896,base_link,30.19,0.0
1539875436357896968,3319,1539875436357603912,base_link,30.19,0.0
1539875436448136872,3320,1539875436447281928,base_link,30.18,0.0
1539875436547391016,3321,1539875436545309544,base_link,30.18,0.0
1539875436637220872,3322,1539875436636914184,base_link,30.18,0.0
1539875436740563336,3323,1539875436739232424,base_link,30.17,0.0
1539875436865660328,3324,1539875436865174216,base_link,30.17,0.0
1539875436954582088,3325,1539875436952657512,base_link,30.17,0.0
1539875437033324776,3326,1539875437031600840,base_link,30.16,0.0
1539875437157848360,3327,1539875437157576680,base_link,30.16,0.0
1539875437249171624,3328,1539875437248987816,base_link,30.16,0.0
1539875437342591208,3329,1539875437341964872,base_link,30.16,0.0
1539875437456738888,3330,1539875437456456008,base_link,30.15,0.0
1539875437547504904,3331,1539875437547175944,base_link,30.15,0.0
1539875437627797832,3332,1539875437627318792,base_link,30.14,0.0
1539875437767378856,3333,1539875437766643880,base_link,30.14,0.0
1539875437841231016,3334,1539875437840994120,base_link,30.14,0.0
1539875437963385096,3335,1539875437962958248,base_link,30.14,0.0
1539875438037204744,3336,1539875438036758440,base_link,30.13,0.0
1539875438149739784,3337,1539875438149473640,base_link,30.13,0.0
1539875438261417032,3338,1539875438261204488,base_link,30.13,0.0
