%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1539875881013506728,6501,1539875881013263944,base_link,98274.4750977,0.0
1539875881115825544,6502,1539875881115220872,base_link,98280.9020996,0.0
1539875881210528552,6503,1539875881209227304,base_link,98282.5378418,0.0
1539875881306329608,6504,1539875881303816136,base_link,98284.6374512,0.0
1539875881448633576,6505,1539875881448350312,base_link,98284.9365234,0.0
1539875881524952168,6506,1539875881521134568,base_link,98284.9365234,0.0
1539875881619156776,6507,1539875881618580264,base_link,98285.0280762,0.0
1539875881732308744,6508,1539875881731372008,base_link,98289.453125,0.0
1539875881832412680,6509,1539875881831532904,base_link,98284.765625,0.0
1539875881929552616,6510,1539875881928327592,base_link,98285.760498,0.0
1539875882009999944,6511,1539875882009596872,base_link,98285.760498,0.0
1539875882135368328,6512,1539875882134937512,base_link,98284.576416,0.0
1539875882224189384,6513,1539875882223531144,base_link,98287.1398926,0.0
1539875882331634856,6514,1539875882331190632,base_link,98287.097168,0.0
1539875882448880712,6515,1539875882448550056,base_link,98292.0227051,0.0
1539875882537144680,6516,1539875882536539720,base_link,98292.8161621,0.0
1539875882625561512,6517,1539875882624855176,base_link,98292.8161621,0.0
1539875882710163336,6518,1539875882709841576,base_link,98295.5993652,0.0
1539875882815757704,6519,1539875882815284904,base_link,98300.5737305,0.0
1539875882949379496,6520,1539875882948853640,base_link,98303.90625,0.0
1539875883036611848,6521,1539875883036372488,base_link,98308.0688477,0.0
1539875883143282792,6522,1539875883142710792,base_link,98311.3464355,0.0
1539875883201915080,6523,1539875883201482440,base_link,98311.3464355,0.0
1539875883366338344,6524,1539875883366050280,base_link,98324.1943359,0.0
1539875883419913800,6525,1539875883419473160,base_link,98324.1943359,0.0
1539875883501843944,6526,1539875883501488200,base_link,98330.1757812,0.0
1539875883636835560,6527,1539875883636552968,base_link,98344.7631836,0.0
1539875883703176808,6528,1539875883701030920,base_link,98344.7631836,0.0
1539875883864443592,6529,1539875883864165832,base_link,98358.7158203,0.0
1539875883900547048,6530,1539875883900279432,base_link,98358.7158203,0.0
1539875884014677608,6531,1539875884014216264,base_link,98366.9189453,0.0
1539875884142193864,6532,1539875884141761960,base_link,98375.3356934,0.0
1539875884251957544,6533,1539875884251542920,base_link,98390.1000977,0.0
1539875884371817800,6534,1539875884370719048,base_link,98399.6765137,0.0
1539875884427799496,6535,1539875884427391272,base_link,98399.6765137,0.0
1539875884505498152,6536,1539875884504000712,base_link,98403.3508301,0.0
1539875884632368104,6537,1539875884632043656,base_link,98423.1018066,0.0
1539875884726272168,6538,1539875884725329544,base_link,98423.1018066,0.0
1539875884872378664,6539,1539875884871882056,base_link,98435.8093262,0.0
1539875884963966248,6540,1539875884962791240,base_link,98444.909668,0.0
1539875885006132936,6541,1539875885005726312,base_link,98444.909668,0.0
1539875885117789192,6542,1539875885117411592,base_link,98451.6052246,0.0
1539875885211918024,6543,1539875885211574248,base_link,98456.8481445,0.0
1539875885321713512,6544,1539875885320455464,base_link,98474.1333008,0.0
1539875885451560840,6545,1539875885450883848,base_link,98479.8583984,0.0
1539875885530453032,6546,1539875885529968264,base_link,98479.8583984,0.0
1539875885613473224,6547,1539875885613203528,base_link,98486.7858887,0.0
1539875885716122856,6548,1539875885715361064,base_link,98492.0349121,0.0
1539875885842542696,6549,1539875885842194216,base_link,98505.847168,0.0
1539875885915670824,6550,1539875885915172072,base_link,98505.847168,0.0
1539875886037481672,6551,1539875886036675304,base_link,98522.5524902,0.0
1539875886128367432,6552,1539875886127860456,base_link,98522.5524902,0.0
1539875886231622216,6553,1539875886231312936,base_link,98525.3723145,0.0
1539875886358104520,6554,1539875886357282280,base_link,98537.9577637,0.0
1539875886402166280,6555,1539875886401055560,base_link,98537.9577637,0.0
1539875886518190888,6556,1539875886517680296,base_link,98544.152832,0.0
1539875886630572200,6557,1539875886629798472,base_link,98556.3049316,0.0
1539875886722379016,6558,1539875886721259304,base_link,98568.2495117,0.0
1539875886840029288,6559,1539875886839550600,base_link,98568.2495117,0.0
1539875886929565832,6560,1539875886929173736,base_link,98577.0141602,0.0
1539875887035760872,6561,1539875887035076360,base_link,98577.0141602,0.0
1539875887123307144,6562,1539875887122926568,base_link,98584.0454102,0.0
1539875887209804968,6563,1539875887209514696,base_link,98586.1755371,0.0
1539875887315022952,6564,1539875887314334952,base_link,98599.0112305,0.0
1539875887420151848,6565,1539875887419519240,base_link,98602.2644043,0.0
1539875887518875656,6566,1539875887518432712,base_link,98610.0158691,0.0
1539875887609634696,6567,1539875887608790760,base_link,98618.8964844,0.0
1539875887725832680,6568,1539875887724705256,base_link,98626.0620117,0.0
1539875887825125704,6569,1539875887820210984,base_link,98635.6323242,0.0
1539875887936294248,6570,1539875887935535528,base_link,98639.6850586,0.0
1539875888000852104,6571,1539875888000566056,base_link,98646.484375,0.0
1539875888114883048,6572,1539875888114397064,base_link,98647.0825195,0.0
1539875888229712520,6573,1539875888229032136,base_link,98662.5061035,0.0
1539875888316278472,6574,1539875888315974952,base_link,98662.5061035,0.0
1539875888461578408,6575,1539875888461132392,base_link,98660.5773926,0.0
1539875888511011752,6576,1539875888510771432,base_link,98660.5773926,0.0
1539875888618956072,6577,1539875888618405736,base_link,98660.8032227,0.0
1539875888727150120,6578,1539875888726747848,base_link,98664.5996094,0.0
1539875888839222248,6579,1539875888838286376,base_link,98657.0007324,0.0
1539875888980508936,6580,1539875888975068008,base_link,98651.8493652,0.0
1539875889046904840,6581,1539875889045963400,base_link,98652.7770996,0.0
1539875889137726056,6582,1539875889136670760,base_link,98650.2685547,0.0
1539875889209776776,6583,1539875889209515752,base_link,98650.2685547,0.0
1539875889344215528,6584,1539875889343843720,base_link,98635.9741211,0.0
1539875889439369800,6585,1539875889438434056,base_link,98637.4755859,0.0
1539875889528638376,6586,1539875889528209032,base_link,98637.4755859,0.0
1539875889657808168,6587,1539875889657563976,base_link,98624.1210938,0.0
1539875889713411848,6588,1539875889711494024,base_link,98624.1210938,0.0
1539875889810669032,6589,1539875889810322632,base_link,98616.1621094,0.0
1539875889915568136,6590,1539875889915253416,base_link,98614.0930176,0.0
1539875890011055304,6591,1539875890010199208,base_link,98605.0354004,0.0
1539875890128133480,6592,1539875890126131752,base_link,98593.2189941,0.0
1539875890229117416,6593,1539875890228723592,base_link,98593.7011719,0.0
1539875890325348456,6594,1539875890324840072,base_link,98593.7011719,0.0
1539875890423187848,6595,1539875890422546952,base_link,98593.4753418,0.0
1539875890520738248,6596,1539875890520153480,base_link,98583.5449219,0.0
1539875890615196296,6597,1539875890614880232,base_link,98577.0263672,0.0
1539875890710512072,6598,1539875890710004072,base_link,98566.6992188,0.0
1539875890844002824,6599,1539875890842542440,base_link,98552.1789551,0.0
1539875890972572488,6600,1539875890971782344,base_link,98549.7741699,0.0
1539875891019102472,6601,1539875891018555912,base_link,98549.7741699,0.0
1539875891111252296,6602,1539875891110861384,base_link,98540.8203125,0.0
1539875891243334696,6603,1539875891242624520,base_link,98536.4501953,0.0
1539875891332045064,6604,1539875891330672680,base_link,98536.4501953,0.0
1539875891503758216,6605,1539875891502891752,base_link,98530.7006836,0.0
1539875891546417960,6606,1539875891546012936,base_link,98530.4016113,0.0
1539875891612510376,6607,1539875891612176648,base_link,98530.4016113,0.0
1539875891721353800,6608,1539875891720718888,base_link,98523.8586426,0.0
1539875891807907784,6609,1539875891807616744,base_link,98523.8586426,0.0
1539875891902857064,6610,1539875891902290664,base_link,98523.4985352,0.0
1539875892074114504,6611,1539875892073483080,base_link,98521.7102051,0.0
1539875892117902824,6612,1539875892117446280,base_link,98521.7102051,0.0
1539875892216909544,6613,1539875892215408104,base_link,98516.583252,0.0
1539875892322034888,6614,1539875892321141608,base_link,98516.583252,0.0
1539875892397198376,6615,1539875892396783496,base_link,98520.3674316,0.0
1539875892537642760,6616,1539875892537243336,base_link,98515.2648926,0.0
1539875892627394280,6617,1539875892626221992,base_link,98515.2648926,0.0
1539875892723474568,6618,1539875892722919464,base_link,98519.9768066,0.0
1539875892829388232,6619,1539875892827181128,base_link,98523.2849121,0.0
1539875892920496136,6620,1539875892920200232,base_link,98522.0153809,0.0
1539875893035924168,6621,1539875893035405480,base_link,98525.9338379,0.0
1539875893120102792,6622,1539875893119869896,base_link,98525.9338379,0.0
1539875893269979816,6623,1539875893269031080,base_link,98522.833252,0.0
1539875893329269480,6624,1539875893327446696,base_link,98525.1220703,0.0
1539875893414807976,6625,1539875893412963176,base_link,98525.1220703,0.0
1539875893574513960,6626,1539875893573896168,base_link,98516.0461426,0.0
1539875893616075272,6627,1539875893615513832,base_link,98516.0461426,0.0
1539875893712713320,6628,1539875893712127208,base_link,98518.560791,0.0
1539875893821089928,6629,1539875893819627304,base_link,98513.9526367,0.0
1539875893917780552,6630,1539875893916042216,base_link,98511.7736816,0.0
1539875894048473608,6631,1539875894048157704,base_link,98514.2333984,0.0
1539875894131634216,6632,1539875894127811720,base_link,98514.2333984,0.0
1539875894198210856,6633,1539875894195988616,base_link,98509.8754883,0.0
1539875894366267112,6634,1539875894365844520,base_link,98515.8935547,0.0
1539875894417538568,6635,1539875894415337064,base_link,98515.8935547,0.0
1539875894548572456,6636,1539875894548121192,base_link,98516.998291,0.0
1539875894612868008,6637,1539875894612600360,base_link,98516.998291,0.0
1539875894708360168,6638,1539875894707775784,base_link,98514.666748,0.0
1539875894848003912,6639,1539875894847733384,base_link,98522.7111816,0.0
1539875894920213832,6640,1539875894919972872,base_link,98522.7111816,0.0
1539875895052118248,6641,1539875895051770440,base_link,98527.3010254,0.0
1539875895125424200,6642,1539875895125123784,base_link,98527.34375,0.0
1539875895217317032,6643,1539875895216768200,base_link,98527.34375,0.0
1539875895333856200,6644,1539875895333257608,base_link,98525.6530762,0.0
1539875895412217352,6645,1539875895411865192,base_link,98525.6530762,0.0
1539875895559780936,6646,1539875895559336744,base_link,98535.9924316,0.0
1539875895648776904,6647,1539875895648351528,base_link,98545.0134277,0.0
1539875895717591912,6648,1539875895717317192,base_link,98545.0134277,0.0
1539875895812413032,6649,1539875895811730088,base_link,98550.3967285,0.0
1539875895915382664,6650,1539875895913762056,base_link,98551.4343262,0.0
1539875896005322408,6651,1539875896004767176,base_link,98553.7475586,0.0
1539875896126711400,6652,1539875896126191816,base_link,98560.0585938,0.0
1539875896241739976,6653,1539875896241427368,base_link,98565.4663086,0.0
1539875896316824296,6654,1539875896315986184,base_link,98565.4663086,0.0
1539875896412564904,6655,1539875896405630504,base_link,98570.135498,0.0
1539875896529199368,6656,1539875896528909096,base_link,98570.6604004,0.0
1539875896615664936,6657,1539875896615347656,base_link,98573.1567383,0.0
1539875896726469640,6658,1539875896724821928,base_link,98577.3498535,0.0
1539875896839477288,6659,1539875896839101544,base_link,98576.5197754,0.0
1539875896919809032,6660,1539875896918515784,base_link,98576.5197754,0.0
1539875897009589480,6661,1539875897009102664,base_link,98574.1699219,0.0
