%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1539875881013450472,6501,1539875881013263944,base_link,31.4,0.0
1539875881115806088,6502,1539875881115220872,base_link,31.39,0.0
1539875881210515464,6503,1539875881209227304,base_link,31.39,0.0
1539875881304141384,6504,1539875881303816136,base_link,31.38,0.0
1539875881448606312,6505,1539875881448350312,base_link,31.37,0.0
1539875881524890184,6506,1539875881521134568,base_link,31.37,0.0
1539875881619126216,6507,1539875881618580264,base_link,31.37,0.0
1539875881731774376,6508,1539875881731372008,base_link,31.35,0.0
1539875881832387560,6509,1539875881831532904,base_link,31.35,0.0
1539875881929508840,6510,1539875881928327592,base_link,31.34,0.0
1539875882009990984,6511,1539875882009596872,base_link,31.34,0.0
1539875882135293992,6512,1539875882134937512,base_link,31.34,0.0
1539875882224173000,6513,1539875882223531144,base_link,31.33,0.0
1539875882331613512,6514,1539875882331190632,base_link,31.33,0.0
1539875882448818184,6515,1539875882448550056,base_link,31.31,0.0
1539875882537120136,6516,1539875882536539720,base_link,31.31,0.0
1539875882625528200,6517,1539875882624855176,base_link,31.31,0.0
1539875882710047848,6518,1539875882709841576,base_link,31.31,0.0
1539875882815718408,6519,1539875882815284904,base_link,31.3,0.0
1539875882949050408,6520,1539875882948853640,base_link,31.29,0.0
1539875883036570024,6521,1539875883036372488,base_link,31.29,0.0
1539875883143257096,6522,1539875883142710792,base_link,31.28,0.0
1539875883201889288,6523,1539875883201482440,base_link,31.28,0.0
1539875883366296872,6524,1539875883366050280,base_link,31.27,0.0
1539875883419868808,6525,1539875883419473160,base_link,31.27,0.0
1539875883501825064,6526,1539875883501488200,base_link,31.26,0.0
1539875883636796296,6527,1539875883636552968,base_link,31.26,0.0
1539875883703086536,6528,1539875883701030920,base_link,31.26,0.0
1539875883864425192,6529,1539875883864165832,base_link,31.25,0.0
1539875883900477608,6530,1539875883900279432,base_link,31.25,0.0
1539875884014671144,6531,1539875884014216264,base_link,31.24,0.0
1539875884142129128,6532,1539875884141761960,base_link,31.24,0.0
