%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1539875881034549192,656,1539875881032366024,NED,0.199999988079,-0.513939082623
1539875881097400712,657,1539875881093199816,NED,0.199999988079,-0.513939082623
1539875881143556776,658,1539875881142901352,NED,0.159999996424,-0.513939082623
1539875881185295464,659,1539875881182332712,NED,0.159999996424,-0.513939082623
1539875881256215464,660,1539875881255347784,NED,0.209999993443,-0.47313028574
1539875881283218920,661,1539875881278979464,NED,0.209999993443,-0.47313028574
1539875881318981128,662,1539875881315830696,NED,0.209999993443,-0.47313028574
1539875881376509544,663,1539875881367762344,NED,-1.43999993801,-0.47313028574
1539875881418900232,664,1539875881414803592,NED,-1.43999993801,-0.47313028574
1539875881502651752,665,1539875881500873032,NED,-2.8599998951,-0.47313028574
1539875881554131336,666,1539875881553450824,NED,-4.23999977112,-0.608088672161
1539875881607775304,667,1539875881603454696,NED,-4.23000001907,-0.608088672161
1539875881649586120,668,1539875881648681544,NED,-5.56999969482,-0.608088672161
1539875881717792392,669,1539875881716775560,NED,-5.53999996185,-0.608088672161
1539875881780355336,670,1539875881779513320,NED,-6.81999969482,-0.608088672161
1539875881819298504,671,1539875881818455880,NED,-6.7999997139,-0.608088672161
1539875881861116456,672,1539875881860226440,NED,-8.05999946594,-0.608088672161
1539875881892578888,673,1539875881889129928,NED,-8.03999996185,-0.608088672161
1539875881968863528,674,1539875881968420744,NED,-9.30999946594,-0.608088672161
1539875881999024872,675,1539875881998610440,NED,-9.30000019073,-0.608088672161
1539875882059129640,676,1539875882057056648,NED,-10.5199995041,-2.28666591644
1539875882093450344,677,1539875882092173608,NED,-10.5100002289,-2.28666591644
1539875882170716328,678,1539875882170153480,NED,-11.6899995804,-2.28666591644
1539875882216639624,679,1539875882216010344,NED,-11.6899995804,-2.28666591644
1539875882298997032,680,1539875882298374792,NED,-12.8299999237,-2.28666591644
1539875882369873864,681,1539875882366551848,NED,-13.9299993515,-3.51277947426
1539875882444791144,682,1539875882443999816,NED,-15.0,-3.51277947426
1539875882493922056,683,1539875882493346376,NED,-15.0,-3.51277947426
1539875882550491560,684,1539875882549933384,NED,-16.0299987793,-3.51277947426
1539875882618972680,685,1539875882618363464,NED,-16.0399990082,-3.51277947426
1539875882684160520,686,1539875882680571144,NED,-16.9699993134,-3.51277947426
1539875882696475848,687,1539875882695957384,NED,-16.9799995422,-3.51277947426
1539875882795976904,688,1539875882795358952,NED,-17.8899993896,-3.51277947426
1539875882852047304,689,1539875882851197128,NED,-18.6499996185,-8.91626930237
1539875882912909800,690,1539875882911368776,NED,-18.6499996185,-8.91626930237
1539875882998224648,691,1539875882996820072,NED,-19.1000003815,-8.91626930237
1539875883066312264,692,1539875883062393640,NED,-19.4899997711,-8.91626930237
1539875883132653704,693,1539875883131729544,NED,-19.4899997711,-8.91626930237
1539875883161372072,694,1539875883160504328,NED,-19.6700000763,-8.91626930237
1539875883194273416,695,1539875883192622312,NED,-19.6700000763,-8.91626930237
1539875883291804456,696,1539875883288977768,NED,-19.7600002289,-8.91626930237
1539875883372619016,697,1539875883370369768,NED,-19.75,-14.7925386429
1539875883397865352,698,1539875883394257896,NED,-19.75,-14.7925386429
1539875883445528872,699,1539875883442837480,NED,-19.7099990845,-14.7925386429
1539875883495291432,700,1539875883494674856,NED,-19.7199993134,-14.7925386429
1539875883555240904,701,1539875883553382856,NED,-19.609998703,-14.7925386429
1539875883595382888,702,1539875883592617416,NED,-19.6199989319,-14.7925386429
1539875883665506184,703,1539875883661910568,NED,-19.4799995422,-14.7925386429
1539875883685958280,704,1539875883685035560,NED,-19.4799995422,-14.7925386429
1539875883740329640,705,1539875883737088776,NED,-19.2700004578,-16.930311203
1539875883837703400,706,1539875883837189064,NED,-19.0499992371,-16.930311203
1539875883889793768,707,1539875883889174152,NED,-19.0599994659,-16.930311203
1539875883907879944,708,1539875883907347816,NED,-19.0599994659,-16.930311203
1539875883952132072,709,1539875883951273928,NED,-18.7999992371,-16.930311203
1539875884009023880,710,1539875884008070280,NED,-18.7999992371,-18.295124054
1539875884058474600,711,1539875884057050824,NED,-18.4699993134,-18.295124054
1539875884121620456,712,1539875884120419720,NED,-18.4699993134,-18.295124054
1539875884169178536,713,1539875884168321864,NED,-18.1599998474,-18.295124054
1539875884243671752,714,1539875884243004840,NED,-17.9400005341,-18.295124054
1539875884333085192,715,1539875884331729992,NED,-17.7299995422,-18.295124054
1539875884389097576,716,1539875884386818856,NED,-17.7299995422,-18.295124054
1539875884474177160,717,1539875884473582536,NED,-17.5599994659,-19.1813488007
1539875884495031240,718,1539875884494520840,NED,-17.5599994659,-19.1813488007
1539875884549749704,719,1539875884546761384,NED,-17.4099998474,-19.1813488007
1539875884622615368,720,1539875884614811400,NED,-17.4099998474,-19.1813488007
1539875884648791144,721,1539875884648184616,NED,-17.2199993134,-19.1813488007
1539875884716518920,722,1539875884715517000,NED,-17.2199993134,-19.1813488007
1539875884781333960,723,1539875884780904968,NED,-17.0,-19.1813488007
1539875884836682152,724,1539875884830651656,NED,-16.7199993134,-18.9072608948
1539875884915888776,725,1539875884914586984,NED,-16.7199993134,-18.9072608948
1539875884969865256,726,1539875884969098632,NED,-16.5,-18.9072608948
1539875885000040584,727,1539875884999289192,NED,-16.5,-18.9072608948
1539875885053769384,728,1539875885053166984,NED,-16.2899990082,-18.9072608948
1539875885092927528,729,1539875885090769000,NED,-16.2899990082,-18.9072608948
1539875885144963016,730,1539875885142932840,NED,-16.1399993896,-18.9072608948
1539875885175359720,731,1539875885174578184,NED,-16.1499996185,-18.2705039978
1539875885220084008,732,1539875885218566376,NED,-16.1499996185,-18.2705039978
1539875885250819144,733,1539875885248968872,NED,-15.9799995422,-18.2705039978
1539875885288066888,734,1539875885287369256,NED,-15.9799995422,-18.2705039978
1539875885375939720,735,1539875885375369544,NED,-15.8499994278,-18.2705039978
1539875885448215112,736,1539875885446143432,NED,-15.779999733,-18.2705039978
1539875885462623880,737,1539875885460641064,NED,-15.779999733,-18.2705039978
1539875885525840776,738,1539875885523439624,NED,-15.779999733,-18.2705039978
1539875885557803944,739,1539875885556500360,NED,-15.6999998093,-17.6831188202
1539875885608438440,740,1539875885608050216,NED,-15.6999998093,-17.6831188202
1539875885641685288,741,1539875885638683848,NED,-15.5399999619,-17.6831188202
1539875885678805000,742,1539875885676982632,NED,-15.5399999619,-17.6831188202
1539875885746979496,743,1539875885739424328,NED,-15.3899993896,-17.6831188202
1539875885779461800,744,1539875885773487144,NED,-15.3899993896,-17.4080982208
1539875885850467112,745,1539875885849853480,NED,-15.2199993134,-17.4080982208
1539875885900378984,746,1539875885897441832,NED,-15.2199993134,-17.4080982208
1539875885954991240,747,1539875885951446184,NED,-15.0999994278,-17.4080982208
1539875886015634600,748,1539875886014852936,NED,-15.0999994278,-17.4080982208
1539875886059960456,749,1539875886058902344,NED,-14.9699993134,-17.4080982208
1539875886079860808,750,1539875886078270056,NED,-14.9699993134,-17.4080982208
1539875886134776904,751,1539875886134038568,NED,-14.9699993134,-17.4080982208
1539875886188687656,752,1539875886188122504,NED,-14.8899993896,-16.4400100708
1539875886252239720,753,1539875886251658440,NED,-14.6700000763,-16.4400100708
1539875886351285704,754,1539875886350217320,NED,-14.4600000381,-16.4400100708
1539875886374852488,755,1539875886373729960,NED,-14.4600000381,-16.4400100708
1539875886460943272,756,1539875886460007592,NED,-14.4099998474,-16.4400100708
1539875886506765448,757,1539875886503798856,NED,-14.4099998474,-16.4400100708
1539875886532852840,758,1539875886531295464,NED,-14.2199993134,-16.4400100708
1539875886565428840,759,1539875886564435560,NED,-14.2199993134,-16.4400100708
1539875886593110024,760,1539875886590933160,NED,-14.2199993134,-16.4400100708
1539875886681475976,761,1539875886680829128,NED,-14.1099996567,-15.0807790756
1539875886696012040,762,1539875886694844328,NED,-14.1099996567,-15.0807790756
1539875886756731464,763,1539875886755794184,NED,-12.5699996948,-15.0807790756
1539875886824313960,764,1539875886818589000,NED,-12.5699996948,-15.0807790756
1539875886867829960,765,1539875886866658888,NED,-10.3299999237,-15.0807790756
1539875886908734248,766,1539875886908004456,NED,-10.3299999237,-15.0807790756
1539875886971895400,767,1539875886971425672,NED,-8.21000003815,-15.0807790756
1539875887027336936,768,1539875887026598952,NED,-8.22000026703,-15.0807790756
1539875887056742056,769,1539875887055586568,NED,-6.13999986649,-15.0807790756
1539875887105339272,770,1539875887101702888,NED,-6.13999986649,-14.1517677307
1539875887158554472,771,1539875887157195272,NED,-4.11000013351,-14.1517677307
1539875887187772968,772,1539875887187168776,NED,-4.11000013351,-14.1517677307
1539875887262797192,773,1539875887262120680,NED,-2.08999991417,-14.1517677307
1539875887281813384,774,1539875887278481768,NED,-2.08999991417,-14.1517677307
1539875887373497768,775,1539875887372897000,NED,-0.109999999404,-14.1517677307
1539875887407770536,776,1539875887407171016,NED,-0.109999999404,-14.1517677307
1539875887450890376,777,1539875887449768328,NED,1.76999998093,-14.1517677307
1539875887506368872,778,1539875887505540552,NED,1.77999997139,-14.1517677307
1539875887536465672,779,1539875887530314120,NED,3.58999991417,-10.6536436081
1539875887569679048,780,1539875887569042920,NED,3.58999991417,-10.6536436081
1539875887651653928,781,1539875887648821256,NED,5.17000007629,-10.6536436081
1539875887684299208,782,1539875887682769896,NED,5.17000007629,-10.6536436081
1539875887736239688,783,1539875887735136712,NED,6.63999986649,-10.6536436081
1539875887793742408,784,1539875887792704456,NED,6.63999986649,-10.6536436081
1539875887850961896,785,1539875887849214088,NED,7.98999977112,-10.6536436081
1539875887921244232,786,1539875887920206024,NED,7.98999977112,-4.43409633636
1539875887952082664,787,1539875887948271880,NED,9.09000015259,-4.43409633636
1539875887986692552,788,1539875887986192424,NED,9.09000015259,-4.43409633636
1539875888044778856,789,1539875888042683208,NED,10.0500001907,-4.43409633636
1539875888111659240,790,1539875888107424776,NED,10.0500001907,-4.43409633636
1539875888137649160,791,1539875888132447400,NED,10.0500001907,-4.43409633636
1539875888167956520,792,1539875888164449096,NED,10.7699995041,-4.43409633636
1539875888218649288,793,1539875888215856392,NED,10.7699995041,-4.43409633636
1539875888287961800,794,1539875888284537576,NED,11.2699995041,-4.43409633636
1539875888309488968,795,1539875888308056584,NED,11.2699995041,-4.43409633636
1539875888378923912,796,1539875888375727720,NED,11.5,3.72513437271
1539875888451757928,797,1539875888450465320,NED,11.5699996948,3.72513437271
1539875888475469544,798,1539875888472479496,NED,11.5699996948,3.72513437271
1539875888506832968,799,1539875888506108136,NED,11.5699996948,3.72513437271
1539875888580690888,800,1539875888579261384,NED,11.4200000763,3.72513437271
1539875888613932104,801,1539875888601228360,NED,11.4200000763,3.72513437271
1539875888651981896,802,1539875888648472584,NED,11.4099998474,3.72513437271
1539875888690856040,803,1539875888690220200,NED,11.4099998474,3.72513437271
1539875888765698600,804,1539875888765171560,NED,11.3999996185,8.47378444672
1539875888808797800,805,1539875888808181128,NED,11.3999996185,8.47378444672
1539875888853225768,806,1539875888852406472,NED,11.2199993134,8.47378444672
1539875888960715496,807,1539875888959837832,NED,11.0500001907,8.47378444672
1539875889010115656,808,1539875889008745320,NED,11.0500001907,8.47378444672
1539875889056341992,809,1539875889055038152,NED,10.8999996185,8.47378444672
1539875889128006888,810,1539875889126918600,NED,10.8999996185,8.47378444672
1539875889182530440,811,1539875889173530216,NED,10.3800001144,8.47378444672
1539875889206999752,812,1539875889204787080,NED,10.3800001144,11.8519611359
1539875889244712200,813,1539875889241945832,NED,9.8499994278,11.8519611359
1539875889298165736,814,1539875889297101960,NED,9.8499994278,11.8519611359
1539875889369934600,815,1539875889367512040,NED,9.36999988556,11.8519611359
1539875889386962280,816,1539875889384954504,NED,9.36999988556,11.8519611359
1539875889482669672,817,1539875889477949832,NED,8.80000019073,11.8519611359
1539875889537505064,818,1539875889535796136,NED,8.78999996185,12.9358940125
1539875889576373736,819,1539875889575078088,NED,8.23999977112,12.9358940125
1539875889608012808,820,1539875889607250536,NED,8.23999977112,12.9358940125
1539875889678419112,821,1539875889677983400,NED,7.83999967575,12.9358940125
1539875889688176552,822,1539875889687705576,NED,7.83999967575,12.9358940125
1539875889779572040,823,1539875889776699816,NED,7.53999996185,12.9358940125
1539875889803715592,824,1539875889801370568,NED,7.53999996185,12.9358940125
1539875889850763048,825,1539875889850337512,NED,7.23999977112,12.9358940125
1539875889908399368,826,1539875889907050248,NED,7.23999977112,12.9358940125
1539875889974283624,827,1539875889971582920,NED,6.90999984741,12.9358940125
1539875889998664616,828,1539875889993270760,NED,6.90999984741,12.034488678
1539875890066368328,829,1539875890065470312,NED,6.57999992371,12.034488678
1539875890119931336,830,1539875890119052040,NED,6.57999992371,12.034488678
1539875890182422376,831,1539875890179103752,NED,6.01999998093,12.034488678
1539875890195742568,832,1539875890193894152,NED,6.01999998093,12.034488678
1539875890270715592,833,1539875890267707272,NED,4.96999979019,12.034488678
1539875890292333576,834,1539875890291857768,NED,4.96999979019,12.034488678
1539875890354520040,835,1539875890353265416,NED,3.6099998951,12.3236322403
1539875890416956616,836,1539875890416303048,NED,3.6099998951,12.3236322403
1539875890475076584,837,1539875890472015720,NED,2.38999986649,12.3236322403
1539875890489471144,838,1539875890488661672,NED,2.38999986649,12.3236322403
1539875890559814920,839,1539875890556845960,NED,1.25999999046,12.3236322403
1539875890586471464,840,1539875890585047080,NED,1.25999999046,12.3236322403
1539875890663215240,841,1539875890657243400,NED,0.280000001192,10.6457214355
1539875890701621224,842,1539875890700665608,NED,0.280000001192,10.6457214355
1539875890753016744,843,1539875890750301896,NED,-0.399999976158,10.6457214355
1539875890838680680,844,1539875890835867528,NED,-0.399999976158,10.6457214355
1539875890878821896,845,1539875890877349448,NED,-0.870000004768,10.6457214355
1539875890926328264,846,1539875890922225416,NED,-1.24000000954,10.6457214355
1539875890992639368,847,1539875890991291240,NED,-1.24000000954,10.6457214355
1539875891085667112,848,1539875891080348008,NED,-1.53999996185,6.52219200134
1539875891100586120,849,1539875891097050920,NED,-1.53999996185,6.52219200134
1539875891198461992,850,1539875891197248360,NED,-1.79999995232,6.52219200134
1539875891285375880,851,1539875891275574312,NED,-2.01999998093,6.52219200134
1539875891326223880,852,1539875891322865288,NED,-2.01999998093,6.52219200134
1539875891352232616,853,1539875891351250376,NED,-2.29999995232,6.52219200134
1539875891494436744,854,1539875891488510952,NED,-2.58999991417,6.52219200134
1539875891537867048,855,1539875891537164424,NED,-2.58999991417,2.78838634491
1539875891558189960,856,1539875891555570984,NED,-2.72000002861,2.78838634491
1539875891594159720,857,1539875891590046568,NED,-2.72000002861,2.78838634491
1539875891658964136,858,1539875891655584008,NED,-2.5,2.78838634491
1539875891690259784,859,1539875891689279272,NED,-2.5,2.78838634491
1539875891765548232,860,1539875891764484616,NED,-2.54999995232,2.78838634491
1539875891806650984,861,1539875891800813768,NED,-2.54999995232,2.78838634491
1539875891838170664,862,1539875891835249480,NED,-3.26999998093,2.78838634491
1539875891893421800,863,1539875891891037128,NED,-3.26999998093,1.01815021038
1539875892031078120,864,1539875892016357512,NED,-3.58999991417,1.01815021038
1539875892095164200,865,1539875892093761128,NED,-3.59999990463,1.01815021038
1539875892123228232,866,1539875892122363112,NED,-3.59999990463,1.01815021038
1539875892176681704,867,1539875892171740168,NED,-3.52999997139,1.01815021038
1539875892231935976,868,1539875892230622920,NED,-3.55999994278,1.01815021038
1539875892289920040,869,1539875892288980840,NED,-3.55999994278,-1.33720123768
1539875892338101832,870,1539875892334944296,NED,-3.37999987602,-1.33720123768
1539875892369886440,871,1539875892368365800,NED,-3.37999987602,-1.33720123768
1539875892441058600,872,1539875892439989608,NED,-3.00999999046,-1.33720123768
1539875892491386856,873,1539875892490302952,NED,-3.00999999046,-1.33720123768
1539875892562248232,874,1539875892560317832,NED,-2.42999982834,-1.33720123768
1539875892606836712,875,1539875892602023336,NED,-2.42999982834,-1.33720123768
1539875892692880488,876,1539875892691737288,NED,-1.86000001431,-3.72425317764
1539875892774858568,877,1539875892771679528,NED,-1.44999992847,-3.72425317764
1539875892823929256,878,1539875892820697032,NED,-1.44999992847,-3.72425317764
1539875892856266440,879,1539875892853873192,NED,-1.31999993324,-3.72425317764
1539875892916963816,880,1539875892913936136,NED,-1.31999993324,-3.72425317764
1539875893003359048,881,1539875893002447944,NED,-1.82999992371,-3.72425317764
1539875893067369416,882,1539875893063287816,NED,-2.61999988556,-1.66225636005
1539875893096086216,883,1539875893092195592,NED,-2.61999988556,-1.66225636005
1539875893175367016,884,1539875893170876584,NED,-3.56999993324,-1.66225636005
1539875893251432712,885,1539875893250716168,NED,-4.2999997139,-1.66225636005
