%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1539875881034560744,656,1539875881032367176,NED,97.0,-85.0208511353
1539875881098356968,657,1539875881093201736,NED,97.0,-85.0208511353
1539875881143615272,658,1539875881142902376,NED,97.0,-85.0208511353
1539875881185305928,659,1539875881182333896,NED,97.0,-85.0208511353
1539875881256310824,660,1539875881255348936,NED,96.0,-85.7563400269
1539875881283302600,661,1539875881278980936,NED,96.0,-85.7563400269
1539875881318994952,662,1539875881315832072,NED,-44.0,-85.7563400269
1539875881376660584,663,1539875881367763304,NED,-44.0,-85.7563400269
1539875881418988104,664,1539875881414804808,NED,-44.0,-85.7563400269
1539875881502672360,665,1539875881500874696,NED,-44.0,-85.7563400269
1539875881554166216,666,1539875881553452232,NED,-44.0,-84.2490615845
1539875881608554024,667,1539875881603456392,NED,-44.0,-84.2490615845
1539875881649612872,668,1539875881648682792,NED,-44.0,-84.2490615845
1539875881717815208,669,1539875881716777960,NED,-44.0,-84.2490615845
1539875881780371816,670,1539875881779515144,NED,-44.0,-84.2490615845
1539875881819565768,671,1539875881818457096,NED,-44.0,-84.2490615845
1539875881861151784,672,1539875881860228040,NED,-44.0,-84.2490615845
1539875881892634248,673,1539875881889131592,NED,-44.0,-84.2490615845
1539875881968905064,674,1539875881968421864,NED,-44.0,-84.2490615845
1539875881999034920,675,1539875881998611400,NED,-44.0,-84.2490615845
1539875882059177768,676,1539875882057058056,NED,-44.0,-81.4939651489
1539875882093614408,677,1539875882092175240,NED,-44.0,-81.4939651489
1539875882170728424,678,1539875882170154376,NED,-44.0,-81.4939651489
1539875882216630664,679,1539875882216011368,NED,-44.0,-81.4939651489
1539875882299070824,680,1539875882298376424,NED,-44.0,-81.4939651489
1539875882369912136,681,1539875882366552712,NED,-44.0,-80.1285247803
1539875882444874248,682,1539875882444000872,NED,-44.0,-80.1285247803
1539875882495050472,683,1539875882493347816,NED,-44.0,-80.1285247803
