%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1539875881147660296,671,1539875881147414856,,1,1,1,GUIDED,4
1539875882147492328,672,1539875882147238120,,1,1,1,GUIDED,4
1539875883154462536,673,1539875883154095400,,1,1,1,GUIDED,4
1539875884146327432,674,1539875884143845896,,1,1,1,GUIDED,4
1539875885150421672,675,1539875885150090920,,1,1,1,GUIDED,4
1539875886140745576,676,1539875886140324232,,1,1,1,GUIDED,4
1539875887145205224,677,1539875887144330440,,1,1,1,GUIDED,4
1539875888142999240,678,1539875888141690568,,1,1,1,GUIDED,4
1539875889146544232,679,1539875889145609384,,1,1,1,GUIDED,4
1539875890128148968,680,1539875890127149832,,1,1,1,GUIDED,4
1539875891112227656,681,1539875891111801448,,1,1,1,GUIDED,4
1539875892127173320,682,1539875892126672552,,1,1,1,GUIDED,4
1539875893124786984,683,1539875893124328872,,1,1,1,GUIDED,4
1539875894144702472,684,1539875894144066504,,1,1,1,GUIDED,4
1539875895130165896,685,1539875895129792872,,1,1,1,GUIDED,4
1539875896138404232,686,1539875896137544520,,1,1,1,GUIDED,4
1539875897157676456,687,1539875897157330728,,1,1,1,GUIDED,4
1539875898157196168,688,1539875898156062280,,1,1,1,GUIDED,4
1539875899151547848,689,1539875899151331016,,1,1,1,GUIDED,4
1539875900139530792,690,1539875900139095944,,1,1,1,GUIDED,4
1539875901156566344,691,1539875901155974984,,1,1,1,GUIDED,4
1539875902151148616,692,1539875902147429960,,1,1,1,GUIDED,4
1539875903144696296,693,1539875903143896328,,1,1,1,GUIDED,4
1539875904134250184,694,1539875904133851272,,1,1,1,GUIDED,4
1539875905156877768,695,1539875905156124232,,1,1,1,GUIDED,4
1539875906137177448,696,1539875906136840104,,1,1,1,GUIDED,4
1539875907109782536,697,1539875907109571496,,1,1,1,GUIDED,4
