%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1539875881300858728,1626,1539875881300568104,,1539880135459000000,fcu
1539875881735812552,1627,1539875881733913288,,1539880135898000000,fcu
1539875882274867528,1628,1539875882274678152,,1539880136439000000,fcu
1539875882689143656,1629,1539875882688167752,,1539880136839000000,fcu
1539875883168224520,1630,1539875883167971080,,1539880137319000000,fcu
1539875883698474408,1631,1539875883697984936,,1539880137859000000,fcu
1539875884031016520,1632,1539875884030411528,,1539880138198000000,fcu
1539875884535016072,1633,1539875884534408584,,1539880138698000000,fcu
1539875885009672936,1634,1539875885009455912,,1539880139179000000,fcu
1539875885379463272,1635,1539875885378934376,,1539880139538000000,fcu
1539875885681195272,1636,1539875885681033512,,1539880139840000000,fcu
1539875886365225128,1637,1539875886364986952,,1539880140519000000,fcu
1539875886774238056,1638,1539875886773984488,,1539880140940000000,fcu
1539875887317722120,1639,1539875887317120648,,1539880141479000000,fcu
1539875887817868328,1640,1539875887814734056,,1539880141978000000,fcu
1539875888331202568,1641,1539875888330763720,,1539880142498000000,fcu
1539875888748625512,1642,1539875888748185064,,1539880142863000000,fcu
1539875889211087208,1643,1539875889210966984,,1539880143361000000,fcu
1539875889714127048,1644,1539875889713627944,,1539880143879000000,fcu
1539875890075559496,1645,1539875890074816968,,1539880144237000000,fcu
1539875890530871976,1646,1539875890530658888,,1539880144699000000,fcu
1539875890979984296,1647,1539875890979174536,,1539880145120000000,fcu
1539875891615009768,1648,1539875891614036360,,1539880145780000000,fcu
1539875892032563432,1649,1539875892029211688,,1539880146159000000,fcu
1539875892512286152,1650,1539875892511985448,,1539880146680000000,fcu
1539875892836521800,1651,1539875892836200392,,1539880146998000000,fcu
1539875893360201096,1652,1539875893359935720,,1539880147518000000,fcu
1539875894065019496,1653,1539875894064735880,,1539880148220000000,fcu
1539875894380931688,1654,1539875894380676072,,1539880148537000000,fcu
1539875894767535272,1655,1539875894767288072,,1539880148939000000,fcu
1539875895267957544,1656,1539875895266761800,,1539880149422000000,fcu
1539875895999756232,1657,1539875895999551304,,1539880150142000000,fcu
1539875896377268808,1658,1539875896371862376,,1539880150537000000,fcu
1539875896828067944,1659,1539875896827860680,,1539880150980000000,fcu
1539875897261567656,1660,1539875897259600200,,1539880151422000000,fcu
1539875897913514376,1661,1539875897913300968,,1539880152042000000,fcu
1539875898368514440,1662,1539875898368208456,,1539880152538000000,fcu
1539875898961021288,1663,1539875898960790152,,1539880153118000000,fcu
1539875899350180232,1664,1539875899349005736,,1539880153517000000,fcu
1539875899817320072,1665,1539875899817127432,,1539880153979000000,fcu
1539875900306522280,1666,1539875900306347112,,1539880154479000000,fcu
1539875900764204488,1667,1539875900762538568,,1539880154919000000,fcu
1539875901150034056,1668,1539875901149469928,,1539880155281000000,fcu
1539875901534720392,1669,1539875901534495016,,1539880155699000000,fcu
1539875901915811048,1670,1539875901915459912,,1539880156080000000,fcu
1539875902510556168,1671,1539875902510322120,,1539880156679000000,fcu
1539875902996626760,1672,1539875902996411624,,1539880157159000000,fcu
1539875903607237256,1673,1539875903606866152,,1539880157759000000,fcu
1539875904006363560,1674,1539875904005543336,,1539880158140000000,fcu
1539875904377274600,1675,1539875904377048488,,1539880158520000000,fcu
1539875904804831272,1676,1539875904804599720,,1539880158961000000,fcu
1539875905371449480,1677,1539875905370753160,,1539880159517000000,fcu
1539875905878908776,1678,1539875905869135464,,1539880160038000000,fcu
1539875906294731496,1679,1539875906294570664,,1539880160459000000,fcu
1539875906765718408,1680,1539875906765437576,,1539880160919000000,fcu
1539875907287844712,1681,1539875907287668616,,1539880161440000000,fcu
