%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1539875881299357704,1626,1539875881298973960,,-4.66096038822,-0.356908420475,0.0,0.0,0.0,0.0
1539875881735828104,1627,1539875881732809928,,-4.66275923016,-0.353339210882,0.0,0.0,0.0,0.0
1539875882273799688,1628,1539875882273490568,,-4.66265689528,-0.352815052079,0.0,0.0,0.0,0.0
1539875882687429448,1629,1539875882686497672,,-4.6743716064,-0.361467291728,0.0,0.0,0.0,0.0
1539875883167533576,1630,1539875883167200360,,-4.70478554775,-0.370365424898,0.0,0.0,0.0,0.0
1539875883696920264,1631,1539875883696439944,,-4.72156639015,-0.374146120608,0.0,0.0,0.0,0.0
1539875884031028584,1632,1539875884030209000,,-4.72939128879,-0.37511345644,0.0,0.0,0.0,0.0
1539875884534949768,1633,1539875884534128616,,-4.72996238929,-0.376264112041,0.0,0.0,0.0,0.0
1539875885006922568,1634,1539875885006650312,,-4.72230304529,-0.374845488529,0.0,0.0,0.0,0.0
1539875885379045544,1635,1539875885377986376,,-4.72149152743,-0.372376405136,0.0,0.0,0.0,0.0
1539875885681142184,1636,1539875885680863976,,-4.71567843218,-0.369873382369,0.0,0.0,0.0,0.0
1539875886364531528,1637,1539875886363545800,,-4.67377710314,-0.366826687043,0.0,0.0,0.0,0.0
1539875886774181128,1638,1539875886773636680,,-4.65502097334,-0.366482834744,0.0,0.0,0.0,0.0
1539875887315979112,1639,1539875887315561960,,-4.67042196588,-0.364748152198,0.0,0.0,0.0,0.0
1539875887814163976,1640,1539875887810642472,,-4.65420723336,-0.365736574433,0.0,0.0,0.0,0.0
1539875888330331432,1641,1539875888329822120,,-4.62912213974,-0.367510412513,0.0,0.0,0.0,0.0
1539875888747425000,1642,1539875888746683112,,-4.63456305882,-0.371860023035,0.0,0.0,0.0,0.0
1539875889210499400,1643,1539875889210252712,,-4.62816487605,-0.375060921854,0.0,0.0,0.0,0.0
1539875889713423528,1644,1539875889712103400,,-4.61659120792,-0.377609387941,0.0,0.0,0.0,0.0
1539875890075380808,1645,1539875890074390088,,-4.60526960066,-0.378156956984,0.0,0.0,0.0,0.0
1539875890530376520,1646,1539875890529194600,,-4.58078125942,-0.380091254966,0.0,0.0,0.0,0.0
1539875890977951144,1647,1539875890977111944,,-4.53357121401,-0.375203292011,0.0,0.0,0.0,0.0
1539875891613376008,1648,1539875891612948040,,-4.47604047608,-0.362602157683,0.0,0.0,0.0,0.0
1539875892032821160,1649,1539875892025764648,,-4.44064768285,-0.355901063572,0.0,0.0,0.0,0.0
1539875892510698952,1650,1539875892510260200,,-4.40973847105,-0.350488053715,0.0,0.0,0.0,0.0
1539875892829405000,1651,1539875892828169256,,-4.39450753882,-0.348013237074,0.0,0.0,0.0,0.0
1539875893359795016,1652,1539875893358114568,,-4.37631268281,-0.345621804388,0.0,0.0,0.0,0.0
1539875894063902568,1653,1539875894062890568,,-4.41377960146,-0.348753463959,0.0,0.0,0.0,0.0
1539875894379706440,1654,1539875894379232104,,-4.40989595854,-0.347925448353,0.0,0.0,0.0,0.0
1539875894766007720,1655,1539875894765657928,,-4.40087303591,-0.345781324927,0.0,0.0,0.0,0.0
1539875895267933768,1656,1539875895266600072,,-4.40440623012,-0.346348083631,0.0,0.0,0.0,0.0
1539875895998930472,1657,1539875895998681128,,-4.39881802774,-0.344705198074,0.0,0.0,0.0,0.0
1539875896377629544,1658,1539875896370828712,,-4.3940357161,-0.343749994573,0.0,0.0,0.0,0.0
